sample,condition
GSM602557,kidney normal
GSM602558,kidney cancer
GSM602559,kidney normal
GSM602560,kidney cancer
GSM602561,kidney normal
GSM602562,kidney cancer
GSM602563,kidney normal
GSM602564,kidney cancer
GSM602565,kidney normal
GSM602566,kidney cancer
GSM602567,kidney normal
GSM602568,kidney cancer
GSM602569,kidney normal
GSM602570,kidney cancer
GSM602571,kidney normal
GSM602572,kidney cancer
GSM602573,kidney normal
GSM602574,kidney cancer
GSM602575,kidney normal
GSM602576,kidney cancer
