"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0016054","organic acid catabolic process",202,-0.737969948022191,-2.21509801485386,1e-10,1.95933333333333e-07,1.27384490261264e-07,1356,"tags=43%, list=10%, signal=39%","54677/9673/254013/10840/122970/91452/51540/23659/27349/5264/8529/549/9942/23464/1384/1738/2110/152926/2108/5095/84693/56922/113675/84830/6652/10327/10994/8309/6342/1743/64087/1579/5053/26061/38/36/4942/11112/51084/84706/130013/55862/2639/440503/66002/27034/1800/6470/4329/5446/10841/5465/3081/64902/56603/11001/51/5825/1962/23576/501/5096/10455/7263/2326/2875/7915/3945/594/144193/112817/18/125061/2731/10247/1757/58510/26275/8659/1892/51181/445/4051/1610/189/3242",NA
"GO:0046395","carboxylic acid catabolic process",202,-0.737969948022191,-2.21509801485386,1e-10,1.95933333333333e-07,1.27384490261264e-07,1356,"tags=43%, list=10%, signal=39%","54677/9673/254013/10840/122970/91452/51540/23659/27349/5264/8529/549/9942/23464/1384/1738/2110/152926/2108/5095/84693/56922/113675/84830/6652/10327/10994/8309/6342/1743/64087/1579/5053/26061/38/36/4942/11112/51084/84706/130013/55862/2639/440503/66002/27034/1800/6470/4329/5446/10841/5465/3081/64902/56603/11001/51/5825/1962/23576/501/5096/10455/7263/2326/2875/7915/3945/594/144193/112817/18/125061/2731/10247/1757/58510/26275/8659/1892/51181/445/4051/1610/189/3242",NA
"GO:0009063","amino acid catabolic process",90,-0.789724891133361,-2.20271013924567,1.04928110737529e-08,5.1397286242933e-06,3.34155347509441e-06,1100,"tags=48%, list=8%, signal=44%","549/23464/1738/152926/2108/56922/113675/1743/64087/5053/38/36/4942/11112/84706/130013/2639/27034/6470/4329/10841/3081/64902/23576/501/2875/7915/594/144193/112817/18/125061/2731/10247/1757/58510/26275/8659/1892/445/1610/189/3242",0.747739663149885
"GO:0006520","amino acid metabolic process",225,-0.699669296736741,-2.18770156204485,1e-10,1.95933333333333e-07,1.27384490261264e-07,1234,"tags=33%, list=9%, signal=30%","51540/6567/4522/4482/549/23464/23395/1738/152926/2271/2108/5095/56922/113675/29968/2678/1743/4594/64087/5053/4953/38/339983/36/4942/11112/435/84706/130013/1497/148811/2639/3172/670/51733/27034/1733/1800/6470/4329/10841/3081/64902/23576/501/5096/635/2875/79814/7915/594/144193/1644/112817/18/125061/26227/23743/2731/10247/1757/10249/58510/5184/26275/8659/95/1491/389434/1892/445/1610/189/3242",NA
"GO:0170040","proteinogenic amino acid catabolic process",72,-0.796964599342327,-2.17423162861235,3.75509372826986e-07,8.17497812398898e-05,5.31489667176585e-05,1100,"tags=50%, list=8%, signal=46%","549/23464/1738/56922/113675/1743/64087/5053/38/36/4942/11112/84706/130013/2639/27034/6470/4329/10841/3081/64902/23576/501/2875/144193/125061/2731/10247/58510/26275/8659/1892/445/1610/189/3242",0.674962860011025
"GO:0071706","tumor necrosis factor superfamily cytokine production",132,0.634257430216235,2.15975781177937,7.36469116416532e-09,4.6778433915591e-06,3.04126248361235e-06,1902,"tags=34%, list=14%, signal=30%","2214/140885/10457/5699/3133/5696/7098/4938/64581/5788/50856/4939/54209/23208/7128/7099/7305/26191/4940/10392/914/409/7097/2212/5698/23643/942/5683/10865/29126/83786/102/2209/2213/64115/10270/8841/11006/2000/5682/1524/7040/6376/64135/9181",0.761460801445585
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",132,0.634257430216235,2.15975781177937,7.36469116416532e-09,4.6778433915591e-06,3.04126248361235e-06,1902,"tags=34%, list=14%, signal=30%","2214/140885/10457/5699/3133/5696/7098/4938/64581/5788/50856/4939/54209/23208/7128/7099/7305/26191/4940/10392/914/409/7097/2212/5698/23643/942/5683/10865/29126/83786/102/2209/2213/64115/10270/8841/11006/2000/5682/1524/7040/6376/64135/9181",0.761460801445585
"GO:0001656","metanephros development",47,-0.84252884062048,-2.15850752579182,6.02985873017628e-07,0.000104245616517577,6.77744541786123e-05,779,"tags=32%, list=6%, signal=30%","1512/6092/7849/38/3975/9356/153572/358/7490/6943/7827/7021/359/793/7369",0.659444398037935
"GO:0170035","L-amino acid catabolic process",75,-0.793810295303731,-2.15541442265085,1.43351402904429e-07,3.83008884669197e-05,2.49010164371152e-05,1100,"tags=48%, list=8%, signal=44%","549/23464/1738/56922/113675/1743/64087/5053/38/36/4942/11112/84706/130013/2639/27034/6470/4329/10841/3081/64902/23576/501/2875/144193/112817/125061/10247/58510/26275/8659/1892/445/1610/189/3242",0.690132458796796
"GO:1901605","alpha-amino acid metabolic process",152,-0.733571541246846,-2.15367519786682,8.14803232109814e-10,9.57882679668297e-07,6.22759766313235e-07,1181,"tags=38%, list=9%, signal=35%","4522/4482/549/23464/1738/2271/56922/113675/29968/2678/1743/4594/64087/5053/4953/38/339983/36/4942/11112/435/84706/130013/2639/3172/670/27034/1800/6470/4329/10841/3081/64902/23576/501/635/2875/79814/7915/144193/112817/125061/26227/23743/2731/10247/1757/10249/58510/26275/8659/1491/389434/1892/445/1610/189/3242",0.801215574617779
