"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa05169","Epstein-Barr virus infection",160,0.615215293114364,2.1070120150091,2.34826278678965e-09,8.26588500949956e-07,4.43506153968001e-07,2561,"tags=41%, list=19%, signal=34%","8819/567/3133/1643/3134/3627/919/4938/355/1026/5601/953/7979/6890/8717/864/581/4939/7188/595/7128/4940/9636/1017/7097/51135/3455/4067/890/5713/55080/916/3516/7431/3683/4193/5971/6773/5925/3665/6502/958/960/3654/2923/4791/6892/7186/3716/4794/836/811/4615/29110/578/9612/894/637/4609/9641/917/9020/7297/207/3383/5603",0.774939030136436
"hsa05168","Herpes simplex virus 1 infection",141,0.61494490784956,2.08934520890295,4.77935156692171e-08,8.41165875778221e-06,4.5132764608603e-06,2431,"tags=36%, list=18%, signal=30%","567/3133/3134/7098/4938/6352/355/330/6890/8717/581/4939/7188/1978/5501/4940/356/718/7097/51135/3455/6672/5500/55080/5371/64170/6773/3460/8683/3665/3654/2923/6892/7186/3716/836/811/7132/4615/64135/6427/6429/684/8740/29110/578/3459/637/9641/148022/7297",0.719512826338911
"hsa00630","Glyoxylate and dicarboxylate metabolism",30,-0.868797969492229,-2.04386871413518,1.37130180731587e-05,0.000804497060291979,0.000431652988976507,970,"tags=67%, list=7%, signal=62%","1738/5095/84693/4190/39/4594/847/55902/48/38/132158/6470/9380/64902/5096/112817/125061/2731/51179/189",0.593325476396405
"hsa04623","Cytosolic DNA-sensing pathway",63,0.669256824564865,2.02246576333597,1.29857743197925e-05,0.000804497060291979,0.000431652988976507,2335,"tags=30%, list=17%, signal=25%","3627/1777/6352/197259/834/25939/51428/6351/3428/11277/1687/3606/114548/3665/836/51082/29108/29110/9641",0.593325476396405
"hsa00640","Propanoate metabolism",30,-0.854519647268211,-2.01027860790937,4.16435744714128e-05,0.00113992277060393,0.000611625691901205,970,"tags=60%, list=7%, signal=56%","1738/5095/84693/4594/55902/8802/8801/55862/4329/51/1962/5096/3945/594/8803/18/26275/1892",0.557332238758646
"hsa00260","Glycine, serine and threonine metabolism",32,-0.844031651799224,-2.00524193313188,5.01423003731385e-06,0.000453765450813332,0.000243467904117337,1082,"tags=62%, list=8%, signal=58%","23464/1738/211/55349/113675/29968/4128/2628/132158/6470/9380/64902/501/635/26227/2731/1757/1491/1610/189",0.610526878385931
"hsa00280","Valine, leucine and isoleucine degradation",47,-0.796182106150234,-2.00056741337036,2.40630438061892e-05,0.000971386468128875,0.000521197519686377,1274,"tags=57%, list=9%, signal=52%","224/5019/549/1738/5095/84693/56922/39/4594/64087/38/36/11112/223/219/27034/4329/64902/1962/501/5096/594/18/217/316/26275/1892",0.575610261071129
"hsa04115","p53 signaling pathway",63,0.65942021090647,1.99273993369769,2.48365858328406e-05,0.000971386468128875,0.000521197519686377,2349,"tags=38%, list=17%, signal=32%","6241/1643/355/1026/27113/581/3486/595/1029/55240/1017/64393/891/51246/4193/64065/836/6477/84883/8795/894/637/10848/25946",0.575610261071129
"hsa04961","Endocrine and other factor-regulated calcium reabsorption",42,-0.794769665247185,-1.98738238879467,4.10468810652848e-05,0.00113992277060393,0.000611625691901205,181,"tags=14%, list=1%, signal=14%","7421/5578/476/3816/5745/793",0.557332238758646
"hsa04960","Aldosterone-regulated sodium reabsorption",30,-0.844602403667993,-1.98694804702328,8.58905586715832e-05,0.00167963759179985,0.000901209740448987,372,"tags=23%, list=3%, signal=23%","6340/6337/5578/3758/476/3291/6338",0.538434096309916
"hsa00380","Tryptophan metabolism",33,-0.816431617743822,-1.95398109018634,0.0001219892081027,0.00179481485886509,0.000963008116160655,1533,"tags=64%, list=11%, signal=57%","23498/55526/224/26/1738/4128/39/1743/847/38/130013/223/2639/219/1962/501/1644/125061/217/316/1892",0.538434096309916
"hsa05100","Bacterial invasion of epithelial cells",73,0.618266656575576,1.93192852304056,3.22462781538402e-05,0.00113506899101518,0.000609021395912158,2063,"tags=33%, list=15%, signal=28%","858/857/3059/10095/9844/4233/10552/10092/60/867/10094/391/10163/3688/10801/2335/6464/81873/8936/1731/3611/8218/10109/23176",0.557332238758646
"hsa00410","beta-Alanine metabolism",25,-0.846844395531863,-1.89819035296231,0.000329742094293503,0.0035498619445867,0.00190467882912919,489,"tags=48%, list=4%, signal=46%","223/219/51733/4329/1807/51/1962/501/18/217/26275/1892",0.49849310876659
"hsa00020","Citrate cycle (TCA cycle)",29,-0.79916179799629,-1.89402588540428,0.000465464528533459,0.00468124325839365,0.00251172160141688,1252,"tags=62%, list=9%, signal=56%","6391/55753/3417/1738/2271/4190/1743/8802/48/8801/6390/5091/5160/6392/5162/8803/5105/5106",0.49849310876659
"hsa01210","2-Oxocarboxylic acid metabolism",29,-0.795761112763757,-1.88596620853449,0.000538772425777658,0.00486276650958297,0.00260911792243782,1612,"tags=55%, list=12%, signal=49%","587/2806/55526/55753/3417/1738/1743/48/84706/5160/64902/5162/2875/594/95/189",0.477270815362862
"hsa04966","Collecting duct acid secretion",24,-0.835949589194178,-1.88454988632797,0.000273142312262194,0.00331538254883766,0.00177886888273642,1026,"tags=42%, list=8%, signal=39%","155066/526/245973/127124/523/525/50617/245972/1188/6521",0.49849310876659
"hsa05162","Measles",106,0.580320048179546,1.87862200847758,5.15642557742423e-06,0.000453765450813332,0.000243467904117337,2515,"tags=39%, list=19%, signal=32%","4938/355/5601/27113/3561/8717/581/4939/595/7128/7099/1459/4940/356/1017/7097/51135/3455/51284/916/2213/6773/4478/3665/3654/3716/836/1457/4615/64135/3310/29110/4599/578/894/8667/637/9641/917/7297/207",0.610526878385931
"hsa00350","Tyrosine metabolism",19,-0.838642124801051,-1.8759891156409,0.0011569400479796,0.00831107952834328,0.0044593106638933,777,"tags=37%, list=6%, signal=35%","4128/130/3081/1644/316/125/3242",0.45505986738723
"hsa05140","Leishmaniasis",53,0.635817229958736,1.87454342688413,0.000242840322084335,0.00305284976334593,0.00163800688689431,1866,"tags=36%, list=14%, signal=31%","2214/4688/3689/7043/7099/718/7097/51135/2212/653361/3688/2209/3676/3460/4689/3654/7040/3716/4615",0.518848077743792
"hsa00330","Arginine and proline metabolism",41,-0.762045996026294,-1.868955272709,0.000635535260095286,0.00532559899936569,0.00285745074734292,1274,"tags=41%, list=9%, signal=38%","224/84735/26/4128/4953/4942/2628/223/219/501/79814/112817/112483/217/58510/8659/1610",0.477270815362862
