"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","112/2064","325/12493",0.344615384615385,2.08589147286822,8.82405087316825,1.11824384284594e-15,6.84365231821713e-13,6.84365231821713e-13,"PARD6A/PDZK1IP1/SLC22A12/TF/HVCN1/P2RY1/KCNE1/ERBB2/AKR1A1/KL/GJA1/CLIC5/ATP6V1B1/SLC3A1/NOD1/IQGAP1/SLC22A8/SLC7A1/SLC34A1/EPCAM/PTPRO/ANO1/ARHGEF18/DRAM2/CASR/ACE2/IGFBP2/OSMR/ACY3/SLC29A4/SLC12A1/DPEP1/ECRG4/PROM2/RHCG/CUBN/ATP6V1B2/SPTBN2/ANXA1/CEACAM1/SLC15A2/NRG1/SLC52A3/MAL/SCNN1A/FOLR1/SLC39A4/SLC29A2/ATP1A1/MTCL1/SLC43A1/SLC6A19/CYP4F2/ITLN1/RAPGEF6/OCLN/SLC7A5/SLC2A1/SLC22A2/CYP4F12/CSPG4/KCNMA1/SLC5A12/PALS1/MUC13/SLC23A1/SLC13A1/STK39/SCNN1G/ATP6V1A/CLTRN/SLC5A3/AQP2/SLC2A9/CD36/SLC10A2/C2CD2L/CD34/SLC6A8/ABCB1/UMOD/PARD3B/LRP2/SLC38A1/SLC22A11/AQP1/JAG1/SLC31A1/SLC13A2/SLC47A2/SLC22A3/SLC16A3/ATP6V0A4/CAV1/SCNN1B/SLC12A3/GM2A/PTH1R/PDZK1/DCXR/SLC26A6/RAB27A/SLC26A7/CDHR5/CYP4A11/CA4/SLC2A2/SLC7A9/ATP6V0D2/SLC1A1/SLCO2B1/AMN",112
"GO:0098552","side of membrane","144/2064","484/12493",0.297520661157025,1.80083605612147,7.99396747897471,1.03764192414868e-13,3.17518428789495e-11,3.17518428789495e-11,"ITGAX/TRAF5/JUP/PALM/CD8A/PLG/CD200R1/COLEC11/CXCR4/ECE1/RGS5/BLOC1S2/IL4R/MYZAP/MCAM/RASA3/PRLR/TLR4/MYH10/FERMT2/IQGAP1/PTPN22/FCGR3A/AP2A2/ITGA1/B2M/ITGB2/GAS1/GNAI1/ITGB1/BDH1/NEGR1/BTN2A2/OSMR/GNB4/GNG11/IL2RG/FKBP1A/ENOX2/LYNX1/ABCA1/KCNJ3/DPEP1/FAS/ESYT2/C3/CCRL2/HLA-E/P4HB/LYN/CUBN/CD1D/MR1/CD86/BTN3A2/EPM2A/EPOR/HCK/ENPP6/CSF3R/PKP4/EPM2AIP1/CD2/SCNN1A/TMEM123/CNTN3/CD24/CLEC14A/CARMIL2/FOLR1/CPM/CD84/GBP5/MASP1/FCGR2A/VTCN1/CDH13/SLC4A1/CXCL10/ITLN1/AZGP1/ENTPD1/HLA-F/XPNPEP2/SLC7A5/SLAMF7/DPEP2/AMBP/CD276/FCRL6/RGS1/NCF1/FDFT1/GNA14/GNG7/SCNN1G/BTN3A1/TRADD/AQP2/RPS26/GHR/NPHS2/CD36/C2CD2L/CD34/KCNAB2/CLEC4A/PTPRC/CD27/ABCB1/UMOD/ADCY3/CD3E/LRP2/SLC38A1/IL13RA2/SLC22A11/ALPL/P2RX7/GPHN/BCAM/SERPINA5/TREH/PECAM1/RGS2/ALG13/CXCL9/SCNN1B/DEGS1/ABCG1/GM2A/PTPN4/GNAI2/CXCL12/CNTN1/CDH5/CANX/BTN3A3/BTN2A1/GPC3/CNTN4/CA4/PPP1R9B/CD274",144
"GO:0045177","apical part of cell","126/2064","407/12493",0.30958230958231,1.87384292326153,7.9733124602952,1.71272327603946e-13,3.4939554831205e-11,3.4939554831205e-11,"PARD6A/PDZK1IP1/SLC22A12/TF/HVCN1/P2RY1/KCNE1/ERBB2/AKR1A1/KL/GJA1/CLIC5/ATP6V1B1/SLC3A1/MYH10/NOD1/IQGAP1/SLC22A8/SLC7A1/SLC34A1/EPCAM/PTPRO/ANO1/ARHGEF18/DRAM2/CASR/ACE2/IGFBP2/OSMR/HOMER1/ACY3/SLC29A4/SLC12A1/DPEP1/ECRG4/SLC4A9/PROM2/RHCG/CUBN/ATP6V1B2/SPTBN2/ESPN/ANXA1/CEACAM1/SLC15A2/NRG1/SLC52A3/MAL/SCNN1A/FOLR1/SLC39A4/SLC29A2/ATP1A1/MTCL1/MME/SLC43A1/SLC6A19/CYP4F2/ITLN1/RAPGEF6/OCLN/SLC7A5/DYNC2LI1/SLC2A1/SLC22A2/CYP4F12/CSPG4/KCNMA1/SLC5A12/PALS1/MUC13/CHL1/SLC23A1/SLC13A1/STK39/SCNN1G/ATP6V1A/CLTRN/SLC5A3/AQP2/SLC2A9/CD36/CLCN5/SLC10A2/C2CD2L/CD34/SLC6A8/ABCB1/UMOD/PARD3B/LRP2/SLC38A1/PLAT/SLC22A11/ACTB/AQP1/JAG1/SLC31A1/SLC13A2/SLC47A2/SLC22A3/VASH1/SLC16A3/ATP6V0A4/CAV1/SCNN1B/SLC25A27/SLC12A3/GM2A/PTH1R/PDZK1/DCXR/SLC26A6/RAB27A/SLC26A7/MYO7B/CDHR5/ACTN1/CYP4A11/CA4/SLC2A2/SLC7A9/ATP6V0D2/SLC1A1/SLCO2B1/AMN",126
"GO:0009897","external side of plasma membrane","79/2064","233/12493",0.339055793991416,2.05224032671258,7.21268835917565,4.87160314061054e-11,7.45355280513413e-09,7.45355280513413e-09,"ITGAX/CD8A/PLG/CD200R1/COLEC11/CXCR4/ECE1/IL4R/MCAM/PRLR/TLR4/FCGR3A/ITGA1/B2M/ITGB2/ITGB1/BTN2A2/OSMR/IL2RG/ENOX2/ABCA1/KCNJ3/FAS/CCRL2/HLA-E/P4HB/CUBN/CD1D/MR1/CD86/BTN3A2/EPOR/CSF3R/CD2/SCNN1A/TMEM123/CD24/CLEC14A/FOLR1/CD84/MASP1/FCGR2A/VTCN1/CDH13/CXCL10/AZGP1/ENTPD1/HLA-F/SLC7A5/SLAMF7/CD276/FCRL6/SCNN1G/BTN3A1/GHR/CD36/CD34/CLEC4A/PTPRC/CD27/ABCB1/CD3E/LRP2/SLC38A1/IL13RA2/SLC22A11/P2RX7/BCAM/SERPINA5/PECAM1/CXCL9/SCNN1B/ABCG1/CXCL12/CDH5/BTN3A3/BTN2A1/CA4/CD274",79
"GO:0009925","basal plasma membrane","78/2064","243/12493",0.320987654320988,1.94287730883338,6.60297688833849,1.21215838299358e-09,1.48368186078415e-07,1.48368186078415e-07,"STX4/PALM/AURKA/TF/P2RY1/ABCC6/ERBB2/SLC43A2/DIO1/ATP6V1B1/HPGD/NOD1/IQGAP1/SLC22A8/SLC7A1/EPCAM/PDZD11/CASR/BSND/ANXA2/SLC29A4/CLDN19/KCNJ10/WASF2/ABCA1/SLC4A9/PROM2/RHCG/SLC22A6/CD1D/ERBB4/SLC16A12/TGFA/ANXA1/CEACAM1/SLC41A1/SLC13A3/FOLR1/SLC39A5/SLC29A2/ATP1A1/SLC4A4/SLC4A1/EGFR/SLC7A5/SLC2A1/SLC22A2/ABCA8/KCNJ16/MET/CLCNKB/SLC23A1/STK39/SLC5A3/AQP2/SLC2A9/CD34/UMOD/SLC38A1/SLC22A11/AQP1/SLC31A1/SLC16A7/SLC22A3/SLC16A3/ATP6V0A4/CAV1/RHBG/GM2A/PTH1R/SLC26A6/SLC26A7/SLC1A3/ATP2B4/SLC16A5/CA11/MEGF11/SLCO2B1",78
"GO:0016323","basolateral plasma membrane","71/2064","215/12493",0.330232558139535,1.99883495583198,6.57201655473863,1.71613090362358e-09,1.75045352169605e-07,1.75045352169605e-07,"STX4/PALM/AURKA/P2RY1/ABCC6/ERBB2/SLC43A2/DIO1/ATP6V1B1/HPGD/NOD1/IQGAP1/SLC22A8/SLC7A1/EPCAM/PDZD11/CASR/BSND/ANXA2/SLC29A4/CLDN19/KCNJ10/WASF2/ABCA1/SLC4A9/PROM2/RHCG/SLC22A6/CD1D/ERBB4/SLC16A12/TGFA/ANXA1/SLC41A1/SLC13A3/FOLR1/SLC39A5/SLC29A2/ATP1A1/SLC4A4/SLC4A1/EGFR/SLC7A5/SLC2A1/SLC22A2/ABCA8/KCNJ16/CLCNKB/STK39/SLC5A3/AQP2/SLC2A9/UMOD/SLC38A1/AQP1/SLC31A1/SLC16A7/SLC22A3/SLC16A3/ATP6V0A4/CAV1/RHBG/GM2A/PTH1R/SLC26A6/SLC26A7/ATP2B4/SLC16A5/CA11/MEGF11/SLCO2B1",71
"GO:0045178","basal part of cell","80/2064","258/12493",0.310077519379845,1.87684033411454,6.33108122759838,4.4968335142172e-09,3.93151730100133e-07,3.93151730100133e-07,"STX4/PALM/AURKA/TF/P2RY1/ABCC6/ERBB2/SLC43A2/DIO1/ATP6V1B1/HPGD/NOD1/IQGAP1/SLC22A8/SLC7A1/EPCAM/PDZD11/ITGA1/CASR/BSND/ANXA2/SLC29A4/CLDN19/KCNJ10/WASF2/ABCA1/SLC4A9/PROM2/RHCG/SLC22A6/CD1D/ERBB4/SLC16A12/TGFA/ANXA1/CEACAM1/SLC41A1/SLC13A3/FOLR1/SLC39A5/SLC29A2/ATP1A1/SLC4A4/SLC4A1/EGFR/SLC7A5/SLC2A1/SLC22A2/ABCA8/KCNJ16/MET/CLCNKB/SLC23A1/STK39/SLC5A3/AQP2/SLC2A9/CD34/UMOD/SLC38A1/SLC22A11/AQP1/SLC31A1/SLC16A7/CLDN11/SLC22A3/SLC16A3/ATP6V0A4/CAV1/RHBG/GM2A/PTH1R/SLC26A6/SLC26A7/SLC1A3/ATP2B4/SLC16A5/CA11/MEGF11/SLCO2B1",80
"GO:0030312","external encapsulating structure","90/2064","335/12493",0.26865671641791,1.62612808052759,5.16777998944105,8.50222991767101e-07,5.78151634401629e-05,5.78151634401629e-05,"FGF1/CCN2/PLG/ANXA6/KNG1/NID2/COL4A3/CRELD2/MEGF9/HPSE/CCBE1/SERPINB1/VWA1/ENAM/ADAMTS4/ANXA2/FBLN5/OLFML2B/ADAMTS16/COL9A2/CTSH/TINAG/ANGPTL1/COL4A5/SFRP1/CTSS/LOXL3/TGFB3/ANXA1/ADAMTS15/COL21A1/CD151/MST1/VEGFA/ACTA2/FBLN7/COL5A3/OLFML2A/LAD1/EDIL3/CLEC14A/COL4A1/SERAC1/LAMC1/L1CAM/LGALS3/CDH13/COL4A4/C1QC/SEMA3B/ENTPD1/SERPINB8/CTSD/S100A10/ADAMTSL2/C1QA/SERPINB9/AMBP/CSPG4/LOXL2/CRISPLD2/ANXA4/PCSK6/CPA3/RELN/EMILIN2/CCN3/FREM2/COL23A1/ANGPTL2/CTHRC1/ALPL/PLOD3/BCAM/SERPINA5/NTN4/HRG/LOX/NDNF/SPON2/ANGPTL4/CXCL12/HSPG2/TNFRSF11B/MATN2/THSD4/C1QB/GPC3/VWF/MEGF11",90
"GO:0031012","extracellular matrix","90/2064","335/12493",0.26865671641791,1.62612808052759,5.16777998944105,8.50222991767101e-07,5.78151634401629e-05,5.78151634401629e-05,"FGF1/CCN2/PLG/ANXA6/KNG1/NID2/COL4A3/CRELD2/MEGF9/HPSE/CCBE1/SERPINB1/VWA1/ENAM/ADAMTS4/ANXA2/FBLN5/OLFML2B/ADAMTS16/COL9A2/CTSH/TINAG/ANGPTL1/COL4A5/SFRP1/CTSS/LOXL3/TGFB3/ANXA1/ADAMTS15/COL21A1/CD151/MST1/VEGFA/ACTA2/FBLN7/COL5A3/OLFML2A/LAD1/EDIL3/CLEC14A/COL4A1/SERAC1/LAMC1/L1CAM/LGALS3/CDH13/COL4A4/C1QC/SEMA3B/ENTPD1/SERPINB8/CTSD/S100A10/ADAMTSL2/C1QA/SERPINB9/AMBP/CSPG4/LOXL2/CRISPLD2/ANXA4/PCSK6/CPA3/RELN/EMILIN2/CCN3/FREM2/COL23A1/ANGPTL2/CTHRC1/ALPL/PLOD3/BCAM/SERPINA5/NTN4/HRG/LOX/NDNF/SPON2/ANGPTL4/CXCL12/HSPG2/TNFRSF11B/MATN2/THSD4/C1QB/GPC3/VWF/MEGF11",90
"GO:0045121","membrane raft","68/2064","234/12493",0.290598290598291,1.75893626184324,5.21357001893047,9.51346219313235e-07,5.822238862197e-05,5.822238862197e-05,"CD8A/LDHB/RAP2B/KCNE1/SCARB1/CORO1C/GJA1/HPSE/ITGB2/ITGB1/LCP2/ACE2/ANXA2/LAT2/DMD/ABCA1/FAS/INPP5D/CBL/SORBS1/LYN/PROM2/SLC22A6/HCK/PSEN1/HK1/PGK1/MAL/CAVIN3/CD24/ATP1A1/PAG1/MME/CDH13/ITLN1/EGFR/VDAC1/CAV2/ENTPD1/MYOF/CTSD/S100A10/CAVIN1/SLC2A1/KCNMA1/GAB2/PLVAP/SPRED1/EFHD2/NPHS2/CD36/TLR2/ENO2/AHNAK/PTPRC/RFTN1/MALL/SELPLG/PECAM1/CAV1/ADTRP/ATP2B4/FASLG/TREM2/SLC1A1/STOML1/RANGRF/TUBB",68
