"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015075","monoatomic ion transmembrane transporter activity","138/2055","473/12392",0.291754756871036,1.75933087452354,7.50764195580656,2.31470529112619e-12,2.34711116520195e-09,2.34711116520195e-09,"NDUFA10/ZDHHC13/TPCN1/CNGA1/HVCN1/ANXA6/KCNJ2/KCNE1/SLC41A2/MT-ATP6/MT-ND4L/ATP5PB/ATP6V1H/GJA1/MT-ND4/CLIC5/ATP6V1B1/ATP5MC2/SLC34A1/ANO1/GRIK2/NDUFV1/BSND/NDUFS3/PLP2/GPM6A/ATP6V0E2/SLC29A4/NIPAL1/CALHM6/SLC30A7/SLC12A1/UQCRH/KCNJ10/KCNJ3/MT-CYB/SLC4A9/TRPM3/SLC30A4/CACNA2D2/ATP6V1G3/ATP6V1B2/KCNK5/NIPAL3/SLC15A2/PACC1/SLC45A4/ATP5MC3/MT-ND6/KCNS3/PSEN1/LRRC8C/TMEM38A/ATP2A2/SLC41A1/GABRA2/SCN4B/SCNN1A/MT-CO3/SLC13A3/ATP8A1/GJC1/SLC39A4/SLC39A5/ATP1A1/KCNJ1/SLC4A4/UQCRC1/CCDC51/SLC4A1/MT-ND1/VDAC1/SLC25A12/SLC25A5/MT-CO1/GRIK5/KCNJ16/KCNMA1/CLCNKB/MT-ND5/CLCC1/SLC5A12/CTNS/SLC9A9/NIPAL2/SLC23A1/TMEM63A/SLC13A1/CACNA2D3/SCNN1G/ATP6V1A/SLC5A3/SFXN5/MCOLN3/SLC2A9/CLCN5/SLC10A2/SLC6A8/LETM1/KCNAB2/COX5B/SLC38A1/CLDN16/ATP2A3/P2RX7/AQP1/SLC31A1/SLC13A2/KCNH6/SLC47A2/KCNJ15/MT-CO2/KCNE4/ATP6V1C2/SLC16A3/GHITM/ATP6V0A4/NCS1/SCNN1B/SLC25A27/GRIK3/SLC12A3/DMAC2L/SLC15A4/MT-ND2/MT-ND3/SLC26A6/SLC26A7/SLC1A3/ATP2B4/SLC1A4/SLC36A2/KCNC3/TRPV1/SCN2A/ATP6V0D2/SLC1A1/TRPV2",138
"GO:0008324","monoatomic cation transmembrane transporter activity","120/2055","407/12392",0.294840294840295,1.77793719399559,7.11515810530952,3.14482413972821e-11,1.5944258388422e-08,1.5944258388422e-08,"NDUFA10/ZDHHC13/TPCN1/CNGA1/HVCN1/KCNJ2/KCNE1/SLC41A2/MT-ATP6/MT-ND4L/ATP5PB/ATP6V1H/MT-ND4/ATP6V1B1/ATP5MC2/SLC34A1/ANO1/GRIK2/NDUFV1/NDUFS3/GPM6A/ATP6V0E2/SLC29A4/NIPAL1/CALHM6/SLC30A7/SLC12A1/UQCRH/KCNJ10/KCNJ3/MT-CYB/SLC4A9/TRPM3/SLC30A4/CACNA2D2/ATP6V1G3/ATP6V1B2/KCNK5/NIPAL3/SLC15A2/SLC45A4/ATP5MC3/MT-ND6/KCNS3/PSEN1/TMEM38A/ATP2A2/SLC41A1/SCN4B/SCNN1A/MT-CO3/SLC13A3/ATP8A1/SLC39A4/SLC39A5/ATP1A1/KCNJ1/SLC4A4/UQCRC1/CCDC51/MT-ND1/SLC25A12/SLC25A5/MT-CO1/GRIK5/KCNJ16/KCNMA1/MT-ND5/SLC5A12/CTNS/SLC9A9/NIPAL2/SLC23A1/TMEM63A/SLC13A1/CACNA2D3/SCNN1G/ATP6V1A/SLC5A3/MCOLN3/SLC2A9/SLC10A2/SLC6A8/LETM1/KCNAB2/COX5B/SLC38A1/CLDN16/ATP2A3/P2RX7/AQP1/SLC31A1/SLC13A2/KCNH6/SLC47A2/KCNJ15/MT-CO2/KCNE4/ATP6V1C2/SLC16A3/GHITM/ATP6V0A4/NCS1/SCNN1B/SLC25A27/GRIK3/SLC12A3/DMAC2L/SLC15A4/MT-ND2/MT-ND3/SLC1A3/ATP2B4/SLC36A2/KCNC3/TRPV1/SCN2A/ATP6V0D2/SLC1A1/TRPV2",120
"GO:0046943","carboxylic acid transmembrane transporter activity","46/2055","115/12392",0.4,2.41206812652068,6.78297592899141,1.65776954508939e-09,5.60326106240214e-07,5.60326106240214e-07,"SLC16A14/SLC43A2/SLC3A1/SLC7A1/GRIK2/ABCD3/SLC27A2/SLC16A4/SLC22A6/SLC16A12/MPC1/CEACAM1/SLC13A3/FABP1/SLC43A1/SLC25A29/SLC7A5/SLC25A12/SLC2A1/SLC22A2/GRIK5/SLC5A12/CTNS/SLC23A1/SLC16A9/SFXN5/CD36/SLC10A2/SLC6A8/FABP5/ABCB1/SLC38A1/SLC13A2/SLC16A7/SLC16A3/GRIK3/SLC15A4/SLC26A6/SLC26A7/SLC1A3/SLC1A4/SLC16A5/SLC36A2/SLC7A9/SLC25A10/SLC1A1",46
"GO:0022804","active transmembrane transporter activity","98/2055","339/12392",0.289085545722714,1.74323507668899,6.18643283324783,6.51066323509087e-09,1.65045313009554e-06,1.65045313009554e-06,"NDUFA10/SLC16A14/MT-ND4L/ABCC6/ATP6V1H/MT-ND4/ATP6V1B1/SLC22A8/SLC34A1/NDUFV1/NDUFS3/ATP6V0E2/SLC29A4/ABCD3/SLC12A1/UQCRH/ABCA1/MT-CYB/SLC4A9/SLC30A4/ATP6V1G3/SLC16A4/SLC22A6/ATP6V1B2/SLC16A12/SLC15A2/SLC45A4/MT-ND6/ATP2A2/SLC41A1/ABCA6/MT-CO3/SLC13A3/ATP8A1/SLC39A4/SLC39A5/ATP1A1/SLC4A4/UQCRC1/SLC4A1/SLC6A19/MT-ND1/SLC25A20/SLC7A5/SLC25A12/SLC25A5/MT-CO1/SLC22A2/ABCA8/TAP1/MT-ND5/SLC5A12/CTNS/SLC9A9/SLC23A1/SLC13A1/SLC16A9/ATP6V1A/SLC5A3/XPR1/SLC2A9/SLC17A9/CLCN5/SLC10A2/SLC6A8/LETM1/COX5B/ABCB1/SLC38A1/SLC22A11/ATP2A3/SLC13A2/SLC47A2/SLC16A7/MT-CO2/SLC22A3/ATP6V1C2/SLC16A3/GHITM/ATP6V0A4/SLC12A3/ABCG1/SLC15A4/MT-ND2/MT-ND3/SLC26A6/SLC26A7/SLC1A3/ATP2B4/ABCA3/SLC1A4/SLC16A5/SLC36A2/SLC7A9/ATP6V0D2/SLC25A10/SLC1A1/SLCO2B1",98
"GO:0019842","vitamin binding","42/2055","112/12392",0.375,2.26131386861314,5.97853577515501,7.59441971824068e-08,1.54014831885921e-05,1.54014831885921e-05,"PHYH/OGDHL/SHMT1/PC/LMBRD1/KL/GCAT/HACL1/GLDC/ALAS1/MCCC1/PYGL/CTH/CUBN/PAM/PSAT1/MMUT/ABAT/FOLR1/VDR/PCCA/AGXT/ALDH1A2/EGLN3/HACL2/UBB/TYMS/DDC/SHMT2/CALB1/SDSL/RBP4/OAT/PLOD3/P4HTM/STRA6/GPT/ALB/FTCD/AGXT2/GPT2/PHYKPL",42
"GO:0016829","lyase activity","52/2055","163/12392",0.319018404907975,1.92373531562999,5.2930708927975,9.54328177865873e-07,0.000161281462059332,0.000161281462059332,"SHMT1/ENO1/PCK1/LACC1/TKFC/TBXAS1/ECHS1/ASL/ALDOA/AUH/ECHDC1/ACMSD/HACL1/RPS3/GLDC/FH/CA10/HOGA1/PM20D1/CTH/PCK2/PAM/ODC1/MOCS1/POLG/ALDOB/EHHADH/GUCY1A1/ECHDC3/ALOX5AP/ALDOC/GUCY1B1/NPR1/DCPH1/FECH/TPI1/HACL2/DDC/SHMT2/SDSL/ALAD/BKGD/HACD3/ENO2/ADCY3/CENPV/FTCD/OGG1/CA4/CA11/PHYKPL/ACO1",52
"GO:0046906","tetrapyrrole binding","34/2055","91/12392",0.373626373626374,2.25303066762921,5.34901752464183,1.42668321859206e-06,0.000206665254807478,0.000206665254807478,"HMOX1/TBXAS1/LMBRD1/CYP4A22/CYP26B1/PTGS2/CAT/CYP4F3/CUBN/NR1D1/SLC48A1/MMUT/CYP8B1/CYP24A1/GUCY1A1/CYB5D2/GUCY1B1/SDHD/FECH/CYP4F2/AMBP/MT-CO1/CYP4F12/CYP51A1/RSAD1/PTGS1/HRG/ALB/CYP27A1/STC2/CYP27B1/CYP4A11/CYP39A1/STEAP3",34
"GO:0046873","metal ion transmembrane transporter activity","72/2055","255/12392",0.282352941176471,1.70263632460283,5.05483339154394,1.72977665282746e-06,0.000219249190745881,0.000219249190745881,"ZDHHC13/TPCN1/CNGA1/KCNJ2/KCNE1/SLC41A2/SLC34A1/GRIK2/GPM6A/NIPAL1/SLC30A7/SLC12A1/KCNJ10/KCNJ3/SLC4A9/TRPM3/SLC30A4/CACNA2D2/KCNK5/NIPAL3/KCNS3/PSEN1/TMEM38A/ATP2A2/SLC41A1/SCN4B/SCNN1A/SLC13A3/SLC39A4/SLC39A5/ATP1A1/KCNJ1/SLC4A4/CCDC51/GRIK5/KCNJ16/KCNMA1/SLC5A12/SLC9A9/NIPAL2/SLC23A1/SLC13A1/CACNA2D3/SCNN1G/SLC5A3/MCOLN3/SLC10A2/SLC6A8/LETM1/KCNAB2/SLC38A1/CLDN16/ATP2A3/P2RX7/AQP1/SLC31A1/SLC13A2/KCNH6/KCNJ15/KCNE4/GHITM/NCS1/SCNN1B/GRIK3/SLC12A3/SLC1A3/ATP2B4/KCNC3/TRPV1/SCN2A/SLC1A1/TRPV2",72
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","37/2055","104/12392",0.355769230769231,2.14534905483811,5.22968780302889,1.98411817338434e-06,0.000223543980867969,0.000223543980867969,"DHRS1/SORD/PHGDH/LDHB/DHDH/CBR4/ADH6/AKR1A1/HPGD/CYP4A22/DHRS11/RDH10/BDH1/L2HGDH/CYP4F3/MDH1/CRYL1/RDH13/EHHADH/HAO2/CHDH/PTGR1/HSD11B2/CYP4F2/ADH1B/MIOX/KCNAB2/GPD1/IDH1/MDH1B/CBR1/LDHA/DCXR/RDH12/GRHPR/HIBADH/AKR7A3",37
"GO:0020037","heme binding","31/2055","83/12392",0.373493975903614,2.25223228681148,5.10357370291524,4.14318819350702e-06,0.000420119282821612,0.000420119282821612,"HMOX1/TBXAS1/CYP4A22/CYP26B1/PTGS2/CAT/CYP4F3/NR1D1/SLC48A1/CYP8B1/CYP24A1/GUCY1A1/CYB5D2/GUCY1B1/SDHD/FECH/CYP4F2/AMBP/MT-CO1/CYP4F12/CYP51A1/RSAD1/PTGS1/HRG/ALB/CYP27A1/STC2/CYP27B1/CYP4A11/CYP39A1/STEAP3",31
