"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","57/1136","100/5969",0.57,2.9950088028169,9.75344270024287,2.03117524056245e-17,7.08880158956293e-15,7.08880158956293e-15,"1738/55753/26227/6470/2023/5091/26007/1892/5160/226/26275/2731/847/1743/2597/2271/414328/55902/3099/4190/29968/9104/2821/229/84693/4594/3098/5230/5315/8803/83440/51179/230/5095/189/39/4329/6392/7167/6472/5096/113675/2203/2026/3417/5162/2875/6390/5214/8801/38/64902/51/84706/8802/48/132158",57
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","31/1136","49/5969",0.63265306122449,3.32421313595861,7.91969238968756,1.06677544541931e-11,1.86152315225669e-09,1.86152315225669e-09,"1738/217/2023/5105/3945/5160/130/10327/226/2597/219/55902/3099/5106/2821/229/223/3098/5230/5315/83440/230/7167/125/501/2203/2026/5162/130589/3939/5214",31
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","21/1136","30/5969",0.7,3.67808098591549,7.12890530863431,1.54717917140382e-09,1.79988510273312e-07,1.79988510273312e-07,"1738/6470/2731/847/55902/112817/4190/84693/4594/51179/5095/189/125061/39/6472/5096/38/64902/9380/48/132158",21
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","21/1136","32/5969",0.65625,3.44820092429577,6.73183864125205,9.41897566444552e-09,8.21805626722871e-07,8.21805626722871e-07,"1738/26227/6470/4128/23464/2731/211/1491/29968/1610/189/55349/635/6472/501/113675/1757/2628/64902/9380/132158",21
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","26/1136","47/5969",0.553191489361702,2.90669014084507,6.36194666208688,2.87557523997057e-08,2.00715151749946e-06,2.00715151749946e-06,"1738/217/1892/549/26275/586/56922/219/84693/64087/223/4594/1962/18/27034/5095/39/4329/501/594/5096/36/316/38/64902/11112",26
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","19/1136","30/5969",0.633333333333333,3.32778755868545,6.1964433382558,1.14274800655334e-07,6.46540625256419e-06,6.46540625256419e-06,"1738/3945/1892/55862/26275/55902/84693/4594/1962/18/8803/5095/4329/594/5096/3939/8801/51/8802",19
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","23/1136","41/5969",0.560975609756098,2.94759103400893,6.06639622563937,1.2967863543825e-07,6.46540625256419e-06,6.46540625256419e-06,"1738/217/5105/3945/5091/5160/130/10327/2271/219/55902/3029/4190/5106/223/5315/39/125/501/5162/3939/38/9380",23
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","18/1136","29/5969",0.620689655172414,3.26135259834871,5.91792199298196,3.87410247215815e-07,1.69007720347899e-05,1.69007720347899e-05,"1738/55753/5105/5091/5160/1743/2271/4190/5106/8803/6392/3417/5162/6390/8801/47/8802/48",18
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","27/1136","57/5969",0.473684210526316,2.48892698295033,5.47568921676294,1.01149708823203e-06,3.92236093103308e-05,3.92236093103308e-05,"26227/6470/2023/5091/435/226/2597/586/1491/29968/229/440/5230/445/5315/230/7167/6472/113675/2026/3417/2875/5214/95/5053/84706/48",27
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","18/1136","33/5969",0.545454545454545,2.8660371318822,5.21105288387323,5.33276000055774e-06,0.000186113324019465,0.000186113324019465,"1738/217/1892/26/4128/130013/847/1743/219/223/1962/125061/39/1644/2639/501/316/38",18
