"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","small molecule catabolic process","101/1020","286/11930",0.353146853146853,4.130433292198,16.3842324819262,9.1254730886805e-38,3.86098766382072e-34,3.86098766382072e-34,"PHYH/CYP4A11/GALK1/CYP4F3/DCXR/HIBADH/ECHDC1/FMO1/CYP27B1/ACAT1/GALM/UPB1/CRYL1/AMDHD1/CYP39A1/EHHADH/HPD/PCCB/DLST/DDAH1/ABCD3/DHDH/FTCD/ALDH2/CRAT/AGXT/DPEP1/CYP27A1/BCKDHB/MIOX/SULT1B1/PNKD/HGD/ALDOB/HACL2/MCCC2/GPT/AKR1A1/ABAT/GLDC/FUT6/ETFA/ALDH5A1/RIDA/DLD/ALDH7A1/TST/LDHB/ETFDH/ACSS2/GK/AGXT2/GDA/PRODH2/CYP24A1/AFMID/PCCA/GPT2/PNP/PAH/PPM1K/TKFC/GLYCTK/ACOX2/CYP4F2/PLIN5/SLC27A2/HAGH/PON3/SULT1C4/ASS1/DAO/MCEE/CYP4F12/OAT/NQO2/SDSL/ECI2/SARDH/ACAD8/SHMT1/HIBCH/HACL1/SCP2/ACMSD/ACOX1/AUH/CYP26B1/HOGA1/ADTRP/XYLB/ACADSB/ALDH1B1/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/PPARA/SORD/GCDH",101
"GO:0016054","organic acid catabolic process","77/1020","202/11930",0.381188118811881,4.45840613473112,15.1575646358692,1.57882388845028e-31,2.22666795734438e-28,2.22666795734438e-28,"PHYH/CYP4A11/CYP4F3/DCXR/HIBADH/ECHDC1/FMO1/ACAT1/CRYL1/AMDHD1/EHHADH/HPD/PCCB/DLST/DDAH1/ABCD3/FTCD/CRAT/AGXT/DPEP1/BCKDHB/HGD/HACL2/MCCC2/GPT/AKR1A1/ABAT/GLDC/ETFA/ALDH5A1/RIDA/DLD/ALDH7A1/TST/LDHB/ETFDH/AGXT2/PRODH2/AFMID/PCCA/GPT2/PAH/PPM1K/ACOX2/CYP4F2/PLIN5/SLC27A2/PON3/ASS1/DAO/MCEE/CYP4F12/OAT/SDSL/ECI2/SARDH/ACAD8/SHMT1/HIBCH/HACL1/SCP2/ACMSD/ACOX1/AUH/CYP26B1/HOGA1/ADTRP/XYLB/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/PPARA/SORD/GCDH",77
"GO:0046395","carboxylic acid catabolic process","77/1020","202/11930",0.381188118811881,4.45840613473112,15.1575646358692,1.57882388845028e-31,2.22666795734438e-28,2.22666795734438e-28,"PHYH/CYP4A11/CYP4F3/DCXR/HIBADH/ECHDC1/FMO1/ACAT1/CRYL1/AMDHD1/EHHADH/HPD/PCCB/DLST/DDAH1/ABCD3/FTCD/CRAT/AGXT/DPEP1/BCKDHB/HGD/HACL2/MCCC2/GPT/AKR1A1/ABAT/GLDC/ETFA/ALDH5A1/RIDA/DLD/ALDH7A1/TST/LDHB/ETFDH/AGXT2/PRODH2/AFMID/PCCA/GPT2/PAH/PPM1K/ACOX2/CYP4F2/PLIN5/SLC27A2/PON3/ASS1/DAO/MCEE/CYP4F12/OAT/SDSL/ECI2/SARDH/ACAD8/SHMT1/HIBCH/HACL1/SCP2/ACMSD/ACOX1/AUH/CYP26B1/HOGA1/ADTRP/XYLB/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/PPARA/SORD/GCDH",77
"GO:0009063","amino acid catabolic process","43/1020","90/11930",0.477777777777778,5.58812636165577,13.3588939963035,9.65689638850162e-23,9.4536866871513e-20,9.4536866871513e-20,"HIBADH/ACAT1/AMDHD1/HPD/DLST/DDAH1/FTCD/AGXT/BCKDHB/HGD/MCCC2/GPT/ABAT/GLDC/ETFA/ALDH5A1/RIDA/DLD/ALDH7A1/AGXT2/PRODH2/AFMID/GPT2/PAH/PPM1K/ASS1/DAO/OAT/SDSL/SARDH/ACAD8/SHMT1/HIBCH/ACMSD/AUH/HOGA1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH",43
"GO:0006520","amino acid metabolic process","70/1020","225/11930",0.311111111111111,3.63877995642702,12.2179531795083,1.11719294341188e-22,9.4536866871513e-20,9.4536866871513e-20,"HIBADH/ACAT1/UPB1/PEPD/AMDHD1/ASL/HPD/ODC1/PCCB/DLST/CTH/DDAH1/FTCD/AGMAT/PSAT1/AGXT/DPEP1/BCKDHB/HGD/FH/MCCC2/PHGDH/DDC/GPT/ABAT/GLDC/ETFA/ALDH5A1/RIDA/DLD/ALDH7A1/ACY1/MMUT/GGT1/NAT8L/AGXT2/PRODH2/BHMT2/CTNS/AFMID/PCCA/GPT2/PAH/BPHL/PPM1K/LARS2/HNF4A/ASS1/DAO/OAT/SDSL/SARDH/ACAD8/SHMT1/HIBCH/GLYAT/ACMSD/AUH/PM20D1/HOGA1/DIO1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH/IYD/BHMT",70
"GO:1901605","alpha-amino acid metabolic process","56/1020","152/11930",0.368421052631579,4.30908152734778,12.5540315587903,2.3590912872142e-22,1.66355253936721e-19,1.66355253936721e-19,"HIBADH/ACAT1/AMDHD1/ASL/HPD/ODC1/DLST/CTH/DDAH1/FTCD/AGMAT/PSAT1/AGXT/DPEP1/HGD/FH/MCCC2/PHGDH/GPT/GLDC/ALDH5A1/RIDA/DLD/ALDH7A1/MMUT/GGT1/NAT8L/AGXT2/PRODH2/BHMT2/AFMID/GPT2/PAH/BPHL/HNF4A/ASS1/DAO/OAT/SDSL/SARDH/ACAD8/SHMT1/HIBCH/GLYAT/ACMSD/AUH/HOGA1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH/IYD/BHMT",56
"GO:0170039","proteinogenic amino acid metabolic process","47/1020","116/11930",0.405172413793103,4.73892832995267,12.3727825875894,5.63234701078139e-21,3.40435145751658e-18,3.40435145751658e-18,"HIBADH/ACAT1/AMDHD1/ASL/HPD/ODC1/DLST/CTH/DDAH1/FTCD/AGMAT/PSAT1/AGXT/HGD/MCCC2/PHGDH/GPT/GLDC/RIDA/DLD/ALDH7A1/GGT1/AGXT2/PRODH2/BHMT2/AFMID/GPT2/PAH/ASS1/DAO/OAT/SDSL/ACAD8/SHMT1/HIBCH/GLYAT/ACMSD/AUH/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH/IYD/BHMT",47
"GO:1901606","alpha-amino acid catabolic process","38/1020","80/11930",0.475,5.55563725490196,12.5004222736795,3.93428299529372e-20,2.03159871268209e-17,2.03159871268209e-17,"HIBADH/ACAT1/AMDHD1/HPD/DLST/DDAH1/FTCD/AGXT/HGD/MCCC2/GPT/GLDC/RIDA/DLD/ALDH7A1/AGXT2/PRODH2/AFMID/GPT2/PAH/ASS1/DAO/OAT/SDSL/SARDH/ACAD8/SHMT1/HIBCH/ACMSD/AUH/HOGA1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH",38
"GO:0170040","proteinogenic amino acid catabolic process","36/1020","72/11930",0.5,5.84803921568627,12.6158460082612,4.32152881449747e-20,2.03159871268209e-17,2.03159871268209e-17,"HIBADH/ACAT1/AMDHD1/HPD/DLST/DDAH1/FTCD/AGXT/HGD/MCCC2/GPT/GLDC/RIDA/DLD/ALDH7A1/AGXT2/PRODH2/AFMID/GPT2/PAH/ASS1/DAO/OAT/SDSL/ACAD8/SHMT1/HIBCH/ACMSD/AUH/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH",36
"GO:0170033","L-amino acid metabolic process","47/1020","124/11930",0.379032258064516,4.43319101834282,11.7502511873565,1.50706878838692e-19,6.37640804366504e-17,6.37640804366504e-17,"HIBADH/ACAT1/AMDHD1/ASL/HPD/ODC1/DLST/CTH/DDAH1/FTCD/AGMAT/PSAT1/AGXT/HGD/MCCC2/PHGDH/GPT/RIDA/DLD/ALDH7A1/GGT1/NAT8L/AGXT2/PRODH2/BHMT2/AFMID/GPT2/PAH/ASS1/DAO/OAT/SDSL/ACAD8/SHMT1/HIBCH/ACMSD/AUH/HOGA1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH/IYD/BHMT",47
