"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","83/1061","325/12493",0.255384615384615,3.0070876531574,11.1689151373831,1.2845852933435e-20,6.5385391431184e-18,6.5385391431184e-18,"CUBN/MAL/ATP6V0D2/CYP4A11/SLC22A12/MUC13/ERBB2/DCXR/SLC7A9/SLC52A3/SLC22A11/ABCB1/IGFBP2/LRP2/PARD3B/EPCAM/UMOD/SLC13A2/PALS1/PTH1R/CDHR5/AQP1/ARHGEF18/SLC22A3/SLC15A2/SLC5A3/SLC2A9/SLC26A6/CEACAM1/SLC23A1/SLC43A1/SLC6A19/ATP1A1/SLC29A2/DPEP1/SLC12A3/SLC47A2/RHCG/SCNN1G/AQP2/PDZK1/CA4/SCNN1A/SLC10A2/ITLN1/ATP6V1A/AKR1A1/CLTRN/SLC22A2/ATP6V1B2/SLC39A4/KCNE1/SCNN1B/NRG1/SLC3A1/SPTBN2/SLC2A2/SLC1A1/CYP4F2/SLC26A7/ECRG4/FOLR1/CYP4F12/PROM2/SLC5A12/PDZK1IP1/ACE2/CASR/SLC12A1/AMN/PTPRO/SLC34A1/C2CD2L/SLC13A1/ATP6V1B1/ATP6V0A4/SLC22A8/SLC31A1/CLIC5/ACY3/KL/OCLN/PARD6A",83
"GO:0045177","apical part of cell","94/1061","407/12493",0.230958230958231,2.71947330759772,10.7439485488455,6.24903717838734e-20,1.59037996189958e-17,1.59037996189958e-17,"CUBN/MAL/ATP6V0D2/CYP4A11/SLC22A12/MUC13/ERBB2/DCXR/SLC7A9/SLC52A3/SLC22A11/ABCB1/IGFBP2/SLC25A27/ESPN/LRP2/PARD3B/MME/EPCAM/UMOD/SLC13A2/PALS1/PTH1R/CDHR5/AQP1/ARHGEF18/SLC22A3/SLC15A2/SLC5A3/SLC2A9/SLC26A6/CEACAM1/SLC23A1/SLC43A1/SLC6A19/ATP1A1/SLC29A2/DPEP1/SLC12A3/SLC47A2/RHCG/SCNN1G/MYO7B/AQP2/PDZK1/CA4/SCNN1A/CLCN5/SLC10A2/ITLN1/CHL1/ATP6V1A/AKR1A1/SLC4A9/CLTRN/DYNC2LI1/SLC22A2/ATP6V1B2/PLAT/SLC39A4/KCNE1/SCNN1B/NRG1/SLC3A1/SPTBN2/SLC2A2/SLC1A1/CYP4F2/SLC26A7/ECRG4/FOLR1/CYP4F12/PROM2/SLC5A12/HOMER1/PDZK1IP1/ACE2/CASR/SLC12A1/AMN/PTPRO/SLC34A1/C2CD2L/MYH10/SLC13A1/ATP6V1B1/ATP6V0A4/SLC22A8/SLC31A1/CLIC5/ACY3/KL/OCLN/PARD6A",94
"GO:1902495","transmembrane transporter complex","61/1061","294/12493",0.207482993197279,2.44305846749633,7.62795370997944,3.39767074977954e-11,5.76471470545929e-09,5.76471470545929e-09,"NDUFA10/ATP6V0D2/MT-ND4L/MT-ND3/MT-ND1/ATP6V0E2/GRIK5/CACNA2D2/KCNH6/SLC26A6/MT-ND5/ATP1A1/ATP6V1H/CLCNKB/SCNN1G/SCNN1A/CNGA1/ATP6V1A/PTK2B/PACC1/KCNAB2/ATP6V1B2/CACNA2D3/KCNE1/SCNN1B/ATP5MC3/MT-ND6/MT-CO1/KCNJ15/KCNC3/SCN2A/MT-CO2/COX5B/MT-CYB/DMAC2L/NDUFS3/KCNJ3/HSPA2/VAMP2/KCNJ16/KCNK5/UQCRC1/NDUFV1/UQCRC2/CCDC51/GRIK2/ATP6V1B1/ATP6V0A4/ATP5PB/MT-ND4/MT-ATP6/CLIC5/KCNJ1/MT-CO3/ATP6V1C2/KCNJ10/UQCRH/MT-ND2/TPCN1/ATP6V1G3/GABRA2",61
"GO:1990351","transporter complex","61/1061","313/12493",0.194888178913738,2.29475779375055,7.06723658902189,4.91858664897401e-10,6.25890151081942e-08,6.25890151081942e-08,"NDUFA10/ATP6V0D2/MT-ND4L/MT-ND3/MT-ND1/ATP6V0E2/GRIK5/CACNA2D2/KCNH6/SLC26A6/MT-ND5/ATP1A1/ATP6V1H/CLCNKB/SCNN1G/SCNN1A/CNGA1/ATP6V1A/PTK2B/PACC1/KCNAB2/ATP6V1B2/CACNA2D3/KCNE1/SCNN1B/ATP5MC3/MT-ND6/MT-CO1/KCNJ15/KCNC3/SCN2A/MT-CO2/COX5B/MT-CYB/DMAC2L/NDUFS3/KCNJ3/HSPA2/VAMP2/KCNJ16/KCNK5/UQCRC1/NDUFV1/UQCRC2/CCDC51/GRIK2/ATP6V1B1/ATP6V0A4/ATP5PB/MT-ND4/MT-ATP6/CLIC5/KCNJ1/MT-CO3/ATP6V1C2/KCNJ10/UQCRH/MT-ND2/TPCN1/ATP6V1G3/GABRA2",61
"GO:0016323","basolateral plasma membrane","46/1061","215/12493",0.213953488372093,2.51924687109572,6.84536071060292,3.29404499845882e-09,3.35333780843108e-07,3.35333780843108e-07,"ERBB4/ERBB2/ABCA8/EPCAM/UMOD/SLC22A6/PTH1R/AQP1/SLC22A3/SLC5A3/SLC41A1/SLC2A9/SLC16A7/SLC43A2/SLC39A5/SLC26A6/ATP1A1/RHBG/SLC29A2/SLC4A1/CLCNKB/RHCG/SLC13A3/AQP2/ABCC6/SLC4A9/SLC22A2/SLC4A4/SLC16A12/CA11/SLC26A7/BSND/FOLR1/KCNJ16/CLDN19/PROM2/SLC16A5/CASR/HPGD/ATP6V1B1/DIO1/ATP6V0A4/SLC22A8/SLC31A1/KCNJ10/PALM",46
"GO:0009925","basal plasma membrane","49/1061","243/12493",0.201646090534979,2.37433045151131,6.5908106332991,8.07603354287648e-09,5.47116610010419e-07,5.47116610010419e-07,"ERBB4/ERBB2/ABCA8/SLC22A11/EPCAM/UMOD/SLC22A6/PTH1R/AQP1/SLC22A3/SLC5A3/SLC41A1/SLC2A9/SLC16A7/SLC43A2/SLC39A5/SLC26A6/CEACAM1/SLC23A1/ATP1A1/RHBG/SLC29A2/SLC4A1/CLCNKB/RHCG/SLC13A3/AQP2/ABCC6/SLC4A9/SLC22A2/SLC4A4/SLC16A12/CA11/SLC26A7/BSND/FOLR1/KCNJ16/CLDN19/PROM2/SLC16A5/CASR/HPGD/ATP6V1B1/DIO1/ATP6V0A4/SLC22A8/SLC31A1/KCNJ10/PALM",49
"GO:0005782","peroxisomal matrix","18/1061","45/12493",0.4,4.70989632422243,7.59505305587288,8.59908227914214e-09,5.47116610010419e-07,5.47116610010419e-07,"PHYH/EHHADH/HAO2/ABCD3/IDH1/CRAT/CRYM/AGXT/FABP1/EPHX2/GRHPR/ACOX2/DAO/ECI2/CAT/HACL1/SCP2/ACOX1",18
"GO:0031907","microbody lumen","18/1061","45/12493",0.4,4.70989632422243,7.59505305587288,8.59908227914214e-09,5.47116610010419e-07,5.47116610010419e-07,"PHYH/EHHADH/HAO2/ABCD3/IDH1/CRAT/CRYM/AGXT/FABP1/EPHX2/GRHPR/ACOX2/DAO/ECI2/CAT/HACL1/SCP2/ACOX1",18
"GO:0045178","basal part of cell","50/1061","258/12493",0.193798449612403,2.28192651367366,6.33845728535703,2.23093084945877e-08,1.26171533597168e-06,1.26171533597168e-06,"ERBB4/ERBB2/ABCA8/SLC22A11/CLDN11/EPCAM/UMOD/SLC22A6/PTH1R/AQP1/SLC22A3/SLC5A3/SLC41A1/SLC2A9/SLC16A7/SLC43A2/SLC39A5/SLC26A6/CEACAM1/SLC23A1/ATP1A1/RHBG/SLC29A2/SLC4A1/CLCNKB/RHCG/SLC13A3/AQP2/ABCC6/SLC4A9/SLC22A2/SLC4A4/SLC16A12/CA11/SLC26A7/BSND/FOLR1/KCNJ16/CLDN19/PROM2/SLC16A5/CASR/HPGD/ATP6V1B1/DIO1/ATP6V0A4/SLC22A8/SLC31A1/KCNJ10/PALM",50
"GO:0031526","brush border membrane","18/1061","49/12493",0.36734693877551,4.32541499163284,7.10520251694632,4.1703667897254e-08,2.12271669597023e-06,2.12271669597023e-06,"CUBN/SLC22A12/SLC7A9/LRP2/CDHR5/AQP1/SLC26A6/SLC6A19/PDZK1/CA4/ITLN1/CLTRN/SLC3A1/FOLR1/ACE2/AMN/SLC34A1/ATP6V0A4",18
