"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015075","monoatomic ion transmembrane transporter activity","102/1066","473/12392",0.215644820295983,2.50682046257769,10.250986744812,7.56450254346048e-19,6.67189124333214e-16,6.67189124333214e-16,"NDUFA10/TRPV1/ATP6V0D2/SLC36A2/MT-ND4L/MT-ND3/CLDN16/GPM6A/SLC25A27/MT-ND1/ATP6V0E2/TRPM3/TMEM38A/GRIK5/SLC30A4/SLC13A2/CACNA2D2/AQP1/KCNH6/MCOLN3/SLC15A2/SLC5A3/PSEN1/SLC41A1/SLC2A9/SLC39A5/SLC26A6/MT-ND5/SLC23A1/SLC25A5/ATP1A1/ATP6V1H/SFXN5/SLC4A1/CLCNKB/LETM1/SLC12A3/SLC47A2/SLC13A3/SCNN1G/SCNN1A/CLCN5/SLC10A2/CNGA1/ATP6V1A/PACC1/SLC4A9/TMEM63A/KCNAB2/SLC45A4/SLC25A12/ATP6V1B2/CACNA2D3/SLC39A4/KCNE1/NCS1/SCNN1B/SLC4A4/ATP5MC3/MT-ND6/MT-CO1/CTNS/KCNJ15/KCNC3/SCN2A/MT-CO2/COX5B/SLC1A1/MT-CYB/SLC26A7/DMAC2L/NDUFS3/BSND/KCNJ3/KCNJ16/KCNK5/SLC5A12/UQCRC1/NDUFV1/CCDC51/GRIK2/SLC12A1/NIPAL1/SLC34A1/SLC13A1/ATP6V1B1/ATP6V0A4/ATP5PB/MT-ND4/MT-ATP6/SLC31A1/CLIC5/KCNJ1/MT-CO3/GHITM/ATP6V1C2/KCNJ10/UQCRH/MT-ND2/TPCN1/ATP6V1G3/GABRA2",102
"GO:0008324","monoatomic cation transmembrane transporter activity","92/1066","407/12392",0.226044226044226,2.62771111551599,10.2435152156769,1.70916982330764e-18,7.5374389207867e-16,7.5374389207867e-16,"NDUFA10/TRPV1/ATP6V0D2/SLC36A2/MT-ND4L/MT-ND3/CLDN16/GPM6A/SLC25A27/MT-ND1/ATP6V0E2/TRPM3/TMEM38A/GRIK5/SLC30A4/SLC13A2/CACNA2D2/AQP1/KCNH6/MCOLN3/SLC15A2/SLC5A3/PSEN1/SLC41A1/SLC2A9/SLC39A5/MT-ND5/SLC23A1/SLC25A5/ATP1A1/ATP6V1H/LETM1/SLC12A3/SLC47A2/SLC13A3/SCNN1G/SCNN1A/SLC10A2/CNGA1/ATP6V1A/SLC4A9/TMEM63A/KCNAB2/SLC45A4/SLC25A12/ATP6V1B2/CACNA2D3/SLC39A4/KCNE1/NCS1/SCNN1B/SLC4A4/ATP5MC3/MT-ND6/MT-CO1/CTNS/KCNJ15/KCNC3/SCN2A/MT-CO2/COX5B/SLC1A1/MT-CYB/DMAC2L/NDUFS3/KCNJ3/KCNJ16/KCNK5/SLC5A12/UQCRC1/NDUFV1/CCDC51/GRIK2/SLC12A1/NIPAL1/SLC34A1/SLC13A1/ATP6V1B1/ATP6V0A4/ATP5PB/MT-ND4/MT-ATP6/SLC31A1/KCNJ1/MT-CO3/GHITM/ATP6V1C2/KCNJ10/UQCRH/MT-ND2/TPCN1/ATP6V1G3",92
"GO:0022804","active transmembrane transporter activity","78/1066","339/12392",0.230088495575221,2.67472480034535,9.59155948775481,2.74120248295515e-16,8.05913529988813e-14,8.05913529988813e-14,"NDUFA10/ATP6V0D2/SLC36A2/MT-ND4L/ABCA8/ABCA6/MT-ND3/SLC7A9/SLC22A11/ABCB1/MT-ND1/ATP6V0E2/SLC30A4/SLC13A2/SLC22A6/XPR1/SLC22A3/ABCD3/SLC15A2/SLC5A3/SLC41A1/SLC2A9/SLC16A7/SLC39A5/SLC26A6/MT-ND5/SLC23A1/SLC6A19/SLC25A5/ATP1A1/ATP6V1H/SLC16A4/SLC4A1/LETM1/SLC12A3/SLC47A2/SLC13A3/CLCN5/SLC10A2/ATP6V1A/ABCC6/SLC4A9/SLC45A4/SLC25A12/SLC22A2/ATP6V1B2/SLC39A4/SLC4A4/SLC16A9/MT-ND6/SLC16A12/MT-CO1/CTNS/SLC25A10/MT-CO2/COX5B/SLC1A1/MT-CYB/SLC26A7/NDUFS3/SLC5A12/SLC16A5/UQCRC1/NDUFV1/SLC12A1/SLC34A1/SLC25A20/SLC13A1/ATP6V1B1/ATP6V0A4/MT-ND4/SLC22A8/MT-CO3/GHITM/ATP6V1C2/UQCRH/MT-ND2/ATP6V1G3",78
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","35/1066","104/12392",0.336538461538462,3.91218068985424,9.14930042616744,5.21656182701923e-13,1.15025188285774e-10,1.15025188285774e-10,"BDH1/DHRS1/CYP4F3/DCXR/HIBADH/PTGR1/ADH1B/CRYL1/RDH12/EHHADH/HAO2/DHDH/IDH1/CHDH/ADH6/MIOX/GPD1/PHGDH/AKR1A1/CBR1/KCNAB2/LDHB/GRHPR/CYP4A22/AKR7A3/CYP4F2/L2HGDH/HSD11B2/RDH10/MDH1/DHRS11/HPGD/CBR4/MDH1B/SORD",35
"GO:0019842","vitamin binding","35/1066","112/12392",0.3125,3.6327392120075,8.58640109993966,5.9923853812412e-12,1.05705678125095e-09,1.05705678125095e-09,"CUBN/PHYH/RBP4/P4HTM/VDR/UBB/CTH/FTCD/PSAT1/AGXT/ALB/HACL2/DDC/GPT/ABAT/GLDC/CALB1/MMUT/AGXT2/PCCA/GPT2/FOLR1/LMBRD1/OAT/SDSL/ALDH1A2/SHMT1/ALAS1/HACL1/STRA6/PC/KL/OGDHL/GCAT/MCCC1",35
"GO:0015078","proton transmembrane transporter activity","41/1066","150/12392",0.273333333333333,3.1774358974359,8.23110842678646,1.19880296187756e-11,1.76224035396001e-09,1.76224035396001e-09,"NDUFA10/ATP6V0D2/SLC36A2/MT-ND4L/MT-ND3/SLC25A27/MT-ND1/ATP6V0E2/SLC15A2/SLC2A9/MT-ND5/SLC25A5/ATP6V1H/LETM1/SLC47A2/ATP6V1A/SLC45A4/SLC25A12/ATP6V1B2/ATP5MC3/MT-ND6/MT-CO1/CTNS/MT-CO2/COX5B/MT-CYB/DMAC2L/NDUFS3/UQCRC1/NDUFV1/ATP6V1B1/ATP6V0A4/ATP5PB/MT-ND4/MT-ATP6/MT-CO3/GHITM/ATP6V1C2/UQCRH/MT-ND2/ATP6V1G3",41
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","30/1066","96/12392",0.3125,3.6327392120075,7.94428897518746,1.94750687892362e-10,2.45385866744377e-08,2.45385866744377e-08,"BDH1/DHRS1/DCXR/HIBADH/PTGR1/ADH1B/CRYL1/RDH12/EHHADH/DHDH/IDH1/ADH6/MIOX/GPD1/PHGDH/AKR1A1/CBR1/KCNAB2/LDHB/GRHPR/CYP4A22/AKR7A3/HSD11B2/RDH10/MDH1/DHRS11/HPGD/CBR4/MDH1B/SORD",30
"GO:0046943","carboxylic acid transmembrane transporter activity","33/1066","115/12392",0.28695652173913,3.33580226772167,7.72026788559856,3.0357600053057e-10,3.34692540584953e-08,3.34692540584953e-08,"SLC36A2/SLC7A9/ABCB1/SLC25A29/GRIK5/SLC13A2/SLC22A6/ABCD3/SLC16A7/SLC43A2/SLC26A6/CEACAM1/SLC23A1/SLC43A1/SLC16A4/SFXN5/FABP1/MPC1/SLC13A3/SLC10A2/SLC25A12/SLC22A2/SLC16A9/SLC16A12/SLC3A1/CTNS/SLC25A10/SLC1A1/SLC27A2/SLC26A7/SLC5A12/SLC16A5/GRIK2",33
"GO:0015291","secondary active transmembrane transporter activity","44/1066","197/12392",0.223350253807107,2.59639432005409,6.92908496701962,2.63265922515445e-09,2.55453860460885e-07,2.55453860460885e-07,"SLC36A2/SLC7A9/SLC22A11/SLC30A4/SLC13A2/SLC22A6/XPR1/SLC15A2/SLC5A3/SLC41A1/SLC2A9/SLC16A7/SLC39A5/SLC26A6/SLC23A1/SLC6A19/SLC25A5/SLC16A4/SLC4A1/LETM1/SLC12A3/SLC47A2/SLC13A3/CLCN5/SLC10A2/SLC4A9/SLC45A4/SLC25A12/SLC39A4/SLC4A4/SLC16A9/SLC16A12/CTNS/SLC25A10/SLC1A1/SLC26A7/SLC5A12/SLC16A5/SLC12A1/SLC34A1/SLC25A20/SLC13A1/SLC22A8/GHITM",44
"GO:0046873","metal ion transmembrane transporter activity","52/1066","255/12392",0.203921568627451,2.37054041128647,6.78421748648155,2.89630227279915e-09,2.55453860460885e-07,2.55453860460885e-07,"TRPV1/CLDN16/GPM6A/TRPM3/TMEM38A/GRIK5/SLC30A4/SLC13A2/CACNA2D2/AQP1/KCNH6/MCOLN3/SLC5A3/PSEN1/SLC41A1/SLC39A5/SLC23A1/ATP1A1/LETM1/SLC12A3/SLC13A3/SCNN1G/SCNN1A/SLC10A2/CNGA1/SLC4A9/KCNAB2/CACNA2D3/SLC39A4/KCNE1/NCS1/SCNN1B/SLC4A4/KCNJ15/KCNC3/SCN2A/SLC1A1/KCNJ3/KCNJ16/KCNK5/SLC5A12/CCDC51/GRIK2/SLC12A1/NIPAL1/SLC34A1/SLC13A1/SLC31A1/KCNJ1/GHITM/KCNJ10/TPCN1",52
"GO:0009055","electron transfer activity","28/1066","101/12392",0.277227722772277,3.22270726134527,6.88086200246981,1.55403196859086e-08,1.24605108754285e-06,1.24605108754285e-06,"NDUFA10/MT-ND4L/MT-ND3/MT-ND1/FDX1/SDHB/ALDH2/MT-ND5/SDHD/PHGDH/GLDC/ETFA/ETFDH/MT-ND6/MT-CO1/MT-CO2/COX5B/AKR7A3/MT-CYB/NDUFS3/NQO2/UQCRC1/NDUFV1/MT-ND4/ALDH4A1/MT-CO3/UQCRH/MT-ND2",28
"GO:0046906","tetrapyrrole binding","26/1066","91/12392",0.285714285714286,3.321361565264,6.81846756073909,2.55722277993153e-08,1.87955874324968e-06,1.87955874324968e-06,"CUBN/CYP4A11/CYP4F3/CYP27B1/CYP39A1/RSAD1/PTGS2/AMBP/SDHD/FECH/CYP51A1/CYP27A1/CYP8B1/ALB/MMUT/CYP24A1/MT-CO1/CYP4A22/CYB5D2/CYP4F2/SLC48A1/LMBRD1/CYP4F12/HRG/CAT/CYP26B1",26
