"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","43/582","100/5969",0.43,4.41008591065292,11.3027904860464,1.48657629532491e-18,4.81650719685271e-16,4.81650719685271e-16,"5162/8801/38/9104/5096/51179/1743/6390/8803/3417/8802/6392/29968/189/229/2271/26227/2875/2731/1738/55902/4594/39/64902/5095/84706/48/26007/132158/84693/113675/6470/847/26275/51/2203/4190/5160/1892/5091/4329/55753/414328",43
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","20/582","30/5969",0.666666666666667,6.83734249713631,10.5346849497063,5.24007051583791e-14,6.64890303139324e-12,6.64890303139324e-12,"38/5096/51179/189/2731/1738/55902/4594/39/64902/9380/125061/5095/48/132158/84693/6470/847/4190/112817",20
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","25/582","47/5969",0.531914893617021,5.4553264604811,10.0785178969381,6.15639169573449e-14,6.64890303139324e-12,6.64890303139324e-12,"11112/38/223/1962/5096/217/594/64087/18/1738/501/4594/39/64902/5095/84693/27034/26275/549/36/219/1892/4329/316/56922",25
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","20/582","32/5969",0.625,6.41000859106529,10.0853698961437,3.26176531667488e-13,2.64202990650665e-11,2.64202990650665e-11,"1491/55349/29968/189/26227/2731/1738/501/64902/9380/132158/1610/113675/1757/6470/211/23464/4128/2628/635",20
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","18/582","30/5969",0.6,6.15360824742268,9.30074589034998,1.39718003375536e-11,9.05372661873476e-10,9.05372661873476e-10,"8801/55862/1962/5096/8803/8802/594/18/1738/3945/55902/4594/5095/84693/26275/51/1892/4329",18
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","21/582","41/5969",0.51219512195122,5.25308021121448,8.98139539408816,1.72633075353407e-11,9.32218606908396e-10,9.32218606908396e-10,"5162/38/223/125/5105/217/130/5106/2271/10327/1738/501/3945/55902/39/9380/3029/4190/5160/219/5091",21
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","17/582","29/5969",0.586206896551724,6.01214598886124,8.89266435196261,8.8485976242266e-11,4.09563661464202e-09,4.09563661464202e-09,"5162/8801/1743/6390/8803/5105/3417/8802/6392/5106/2271/1738/48/4190/5160/5091/55753",17
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","18/582","33/5969",0.545454545454545,5.5941893158388,8.69803844861754,1.26405593146353e-10,5.11942652242732e-09,5.11942652242732e-09,"38/223/1962/1743/217/1644/1738/501/39/125061/847/130013/26/219/1892/316/4128/2639",18
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","35/582","120/5969",0.291666666666667,2.99133734249714,7.2426427214261,1.23050982917113e-09,4.42983538501606e-08,4.42983538501606e-08,"4705/245972/4539/4537/4535/155066/1352/6390/27068/4540/51606/6392/523/64077/526/518/4541/4512/4513/1329/4519/4722/7384/4723/7385/525/50617/515/4538/4508/4514/245973/7388/4536/127124",35
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","15/582","37/5969",0.405405405405405,4.15784341042073,6.33276384799176,6.98943714884233e-07,2.26457763622491e-05,2.26457763622492e-05,"38/223/125/1962/217/130/23205/501/39/10455/51/36/219/1892/2639",15
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","13/582","29/5969",0.448275862068966,4.59752340324683,6.38280852044232,9.82578906050159e-07,2.82014097431891e-05,2.82014097431891e-05,"5162/1743/3417/189/594/2875/1738/95/64902/84706/48/5160/55753",13
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","12/582","25/5969",0.48,4.92288659793814,6.46009299070852,1.04449665715515e-06,2.82014097431891e-05,2.82014097431891e-05,"223/51733/1962/1807/217/18/501/26275/51/219/1892/4329",12
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","17/582","49/5969",0.346938775510204,3.55820885055053,5.90983826337073,1.70659455784284e-06,4.25335874416217e-05,4.25335874416217e-05,"5162/223/130589/125/5105/217/130/5106/229/10327/1738/501/3945/55902/2203/5160/219",17
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","15/582","41/5969",0.365853658536585,3.75220015086749,5.81192842153135,3.26545700613086e-06,7.55720049990284e-05,7.55720049990284e-05,"223/4953/79814/217/501/58510/112483/1610/4942/112817/26/219/8659/4128/2628",15
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","10/582","21/5969",0.476190476190476,4.88381606938308,5.85983292370372,9.38649426077218e-06,0.000202748276032679,0.000202748276032679,"622/38/1962/6296/18/7915/348158/39/79944/1892",10
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","17/582","58/5969",0.293103448275862,3.00607299443062,5.04583053312895,2.24235782669036e-05,0.000454077459904799,0.000454077459904799,"79966/4023/1962/7314/5105/5106/1593/1582/2168/23205/2710/8309/440503/11001/6342/51/5465",17
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","9/582","19/5969",0.473684210526316,4.85811177428106,5.53599303354734,2.82427590969328e-05,0.000516621086262183,0.000516621086262183,"223/9104/54600/217/55586/10327/501/219/9365",9
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","17/582","59/5969",0.288135593220339,2.95512260469451,4.96030834477408,2.87011714590102e-05,0.000516621086262183,0.000516621086262183,"38/223/1962/1743/123688/84444/217/2122/1738/501/39/8424/79813/79823/219/1892/2639",17
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","10/582","24/5969",0.416666666666667,4.2733390607102,5.28108425247081,3.97840603234708e-05,0.000678422923410766,0.000678422923410766,"245972/155066/6521/1188/523/526/525/50617/245973/127124",10
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","8/582","16/5969",0.5,5.12800687285223,5.4341906830538,4.93312742192327e-05,0.000761111087953876,0.000761111087953876,"223/144193/10841/217/501/26/219/4128",8
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","8/582","16/5969",0.5,5.12800687285223,5.4341906830538,4.93312742192327e-05,0.000761111087953876,0.000761111087953876,"358/5105/476/5106/762/8671/1468/4190",8
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","37/582","201/5969",0.18407960199005,1.88792292831376,4.20884648385933,9.23354684997077e-05,0.00135984962699569,0.00135984962699569,"4705/4539/4537/5587/4535/3091/6390/65010/1950/4540/2052/292/6392/10327/873/2053/518/4541/4512/4513/1329/4519/4722/2939/7384/4723/7385/847/5602/4780/2947/515/4538/4508/4514/7388/4536",37
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","9/582","22/5969",0.409090909090909,4.1956419868791,4.9354061914607,0.000116236770542161,0.00163742233285479,0.00163742233285479,"51181/51084/27294/54600/28970/10327/9942/9365/6652",9
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","18/582","74/5969",0.243243243243243,2.49470604625244,4.25238089435195,0.000191825144837508,0.00258963945530636,0.00258963945530636,"5264/1962/51179/5825/3417/1384/189/2053/55825/5827/8309/11001/1610/10455/847/26061/6342/51",18
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","14/582","50/5969",0.28,2.87168384879725,4.36813182821492,0.00020326844019016,0.00263435898486447,0.00263435898486447,"223/196051/4023/217/1056/1607/10327/501/2710/26007/132158/84649/219/129642",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","8/582","19/5969",0.421052631578947,4.31832157713872,4.76144969582509,0.000222118015972788,0.00276793219904552,0.00276793219904552,"249/873/8836/4337/5053/4338/10243/2643",8
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","11/582","34/5969",0.323529411764706,3.3181220941985,4.45520625825652,0.00024332653408465,0.0029199184090158,0.0029199184090158,"191/1491/10841/55349/2731/1738/501/23743/1757/6470/635",11
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","15/582","57/5969",0.263157894736842,2.6989509857117,4.23597586207322,0.00025847159416526,0.00299088558962658,0.00299088558962658,"435/1491/3417/29968/229/26227/2875/95/84706/5053/48/445/113675/6470/5091",15
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","13/582","48/5969",0.270833333333333,2.77767038946163,4.06421559900997,0.000487770587630972,0.00544957484111845,0.00544957484111845,"245972/155066/161/51606/523/440279/526/6505/6844/525/50617/245973/127124",13
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","25/582","128/5969",0.1953125,2.0031276847079,3.77068288659294,0.000505783668961976,0.00546246362478934,0.00546246362478934,"9104/249/145226/1352/3242/54600/210/217/29968/2235/554235/10327/8836/1738/4337/125061/50808/205/4338/6470/211/219/10243/53354/2643",25
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","32/582","181/5969",0.176795580110497,1.81321789979305,3.651609828646,0.000576178353254407,0.00602199311143316,0.00602199311143316,"4705/5162/4539/4537/5578/4535/185/6390/4540/292/6392/51660/5164/518/4541/4512/4513/1329/4519/4722/7384/4723/7385/5602/5160/515/4538/4508/4514/7388/4536/5465",32
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","10/582","32/5969",0.3125,3.20500429553265,4.11058200161816,0.000636673190542749,0.00644631605424534,0.00644631605424534,"435/189/2875/18/7915/339983/64902/84706/445/8659",10
"Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","7/582","17/5969",0.411764705882353,4.22306448352537,4.37385524450097,0.000656785060231532,0.00644843513681867,0.00644843513681867,"5162/1743/594/2731/1738/5160/55753",7
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","7/582","19/5969",0.368421052631579,3.77853137999638,3.98690635810285,0.00143055092143899,0.0136323087807715,0.0136323087807715,"125/3242/130/3081/1644/316/4128",7
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","14/582","60/5969",0.233333333333333,2.39306987399771,3.56446161650133,0.00150341650602177,0.0139173413700301,0.0139173413700301,"9254/7139/476/4634/55799/4512/4513/1329/4519/7134/7384/7385/4514/7388",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","9/582","31/5969",0.290322580645161,2.97755237778517,3.62819948371319,0.00211462517701685,0.0190316265931516,0.0190316265931516,"125/145226/54600/130/8228/8854/157506/56603/316",9
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","5/582","11/5969",0.454545454545455,4.66182442986567,3.99526897375279,0.00242852616668371,0.0212660129190682,0.0212660129190682,"51302/1593/1582/8309/6342",5
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","11/582","44/5969",0.25,2.56400343642612,3.42233308384559,0.00264632532017729,0.0225634053615116,0.0225634053615116,"191/1491/29968/26227/7263/3945/64902/23743/113675/4190/635",11
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","14/582","64/5969",0.21875,2.24350300687285,3.28722391306975,0.00287921933089932,0.0239196682874713,0.0239196682874713,"153201/11136/4311/1287/1286/1298/340024/476/7512/6519/6505/1285/8645/59272",14
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","12/582","52/5969",0.230769230769231,2.36677240285488,3.25349017919075,0.00354057241570269,0.0286786365671918,0.0286786365671918,"79966/38/1962/23205/39/6342/51/36/1892/84869/51495/9524",12
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","35/582","229/5969",0.152838427947598,1.56751301790243,2.87832635857157,0.00446300201634279,0.0352686012998796,0.0352686012998796,"4705/79861/4539/4537/4535/7314/6390/283375/4540/292/6392/347733/5071/55630/518/4541/4512/4513/1329/4519/4722/7280/7384/4723/7385/5602/4780/2770/515/4538/4508/4514/7388/4536/4128",35
"Organismal Systems","Sensory system","hsa04742","Taste transduction","7/582","24/5969",0.291666666666667,2.99133734249714,3.21275006523064,0.00638399351368368,0.0492479499627027,0.0492479499627027,"6340/6337/6338/6326/5136/8645/2555",7
