"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-211859","Biological oxidations","44/744","141/8123",0.312056737588652,3.4070388164417,9.15495035642808,8.66244344247306e-14,1.04035945744101e-10,1.04035945744101e-10,"CYP4A11/CYP4F3/FMO1/CYP27B1/FDX1/ADH1B/CYP39A1/NAT1/AHCY/UGT1A9/ALDH2/TPMT/EPHX1/ADH6/DPEP1/CYP51A1/CYP27A1/CYP8B1/SULT1B1/AKR1A1/ACSM2B/ACY1/ACSS2/GGT1/CYP24A1/ARNT2/CYP4A22/BPHL/AKR7A3/CYP4F2/SULT1C4/CYP4F12/NQO2/ABHD10/GSTA2/GLYAT/CYP26B1/AOC1/GSTM3/ALDH1B1/ACY3/ABHD14B/MAOA/GLYATL1",44
"R-HSA-71291","Metabolism of amino acids and derivatives","67/744","301/8123",0.222591362126246,2.43025488514986,8.02891734409365,2.45586933477974e-12,1.47474953553523e-09,1.47474953553523e-09,"HIBADH/FMO1/ACAT1/ALDH9A1/AMDHD1/ASL/HPD/ODC1/AHCY/DLST/CTH/FTCD/AGMAT/HYKK/CHDH/CRAT/CRYM/PSAT1/AGXT/BCKDHB/HGD/MCCC2/PHGDH/DDC/GPT/GLDC/SLC25A12/RIDA/DLD/ALDH7A1/TST/NAT8L/AGXT2/BBOX1/PRODH2/GRHPR/BHMT2/PXMP2/AFMID/GPT2/SLC25A10/PAH/PPM1K/ASS1/DAO/OAT/SDSL/SARDH/ACAD8/SHMT1/HIBCH/GLYAT/ACMSD/AUH/HOGA1/AOC1/DIO1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/MCCC1/GATM/SERINC1/GCDH/IYD/BHMT",67
"R-HSA-8978868","Fatty acid metabolism","41/744","142/8123",0.288732394366197,3.15238338633954,8.21588502759942,1.04721630063436e-11,4.19235592353956e-09,4.19235592353956e-09,"PHYH/SCD5/CYP4A11/CYP4F3/PTGDS/PTGR1/EHHADH/PCCB/HAO2/ACSM3/PTGS2/CRAT/DPEP1/CYP8B1/ACSBG1/CBR1/EPHX2/MMUT/GGT1/PECR/CYP4A22/PCCA/ACOT1/ACOX2/CYP4F2/SLC27A2/PON3/PCTP/MCEE/THEM4/ECI2/ACOT13/HACL1/SCP2/ACOX1/SLC25A20/HPGD/ECHS1/CBR4/HACD3/TECR",41
"R-HSA-70895","Branched-chain amino acid catabolism","15/744","23/8123",0.652173913043478,7.12044179523142,9.33304556142086,5.70933116136113e-11,1.71422668119868e-08,1.71422668119868e-08,"HIBADH/ACAT1/CRAT/BCKDHB/MCCC2/DLD/PPM1K/ACAD8/HIBCH/GLYAT/AUH/ACADSB/ECHS1/ALDH6A1/MCCC1",15
"R-HSA-211945","Phase I - Functionalization of compounds","25/744","65/8123",0.384615384615385,4.19923490488007,8.22258518550163,1.41334953787171e-10,3.39486558996785e-08,3.39486558996785e-08,"CYP4A11/CYP4F3/FMO1/CYP27B1/FDX1/ADH1B/CYP39A1/ALDH2/EPHX1/ADH6/CYP51A1/CYP27A1/CYP8B1/ACSS2/CYP24A1/ARNT2/CYP4A22/BPHL/CYP4F2/CYP4F12/NQO2/CYP26B1/AOC1/ALDH1B1/MAOA",25
"R-HSA-5668914","Diseases of metabolism","49/744","207/8123",0.236714975845411,2.58445665160251,7.33215854376582,2.626422136529e-10,5.25722164328556e-08,5.25722164328556e-08,"CUBN/MUC13/GALK1/DCXR/CYP27B1/ACAT1/GALM/FDX1/EPM2A/ASL/UBB/PCCB/AHCY/HYAL1/GALNT3/TPMT/IDH1/ADAMTS15/CYP27A1/BCKDHB/ADAMTSL1/ALDOB/SEMA5A/MCCC2/DLD/ACY1/MMUT/GGT1/KHK/CYP24A1/PCCA/GPC3/PNP/PAH/PPM1K/ADAMTSL2/ASS1/LMBRD1/ADAMTS16/MUC15/AMN/HIBCH/THSD4/AUH/CYP26B1/ECHS1/PC/MAOA/MCCC1",49
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","53/744","241/8123",0.219917012448133,2.40105630660777,7.01076000705392,8.58095008484088e-10,1.47224586455627e-07,1.47224586455627e-07,"NDUFA10/PDHB/SUCLG2/MT-ND3/ACAT1/NDUFAF3/NUBPL/SLC25A27/MT-ND1/UBB/DLST/SDHB/SUCLA2/MT-ND5/SUCLG1/SDHD/LETM1/PNKD/MPC1/FH/GPT/ETFA/SLC25A12/DLD/LDHB/PDK2/ETFDH/ATP5MC3/MT-ND6/MT-CO1/MT-CO2/COX5B/HAGH/MT-CYB/DMAC2L/NDUFS3/HIGD1A/L2HGDH/COX20/UQCRC1/NDUFV1/UQCRC2/PDP2/PM20D1/MDH1/PDHA1/ATP5PB/MT-ND4/MT-ATP6/PC/MT-CO3/UQCRH/MT-ND2",53
"R-HSA-425407","SLC-mediated transmembrane transport","42/744","175/8123",0.24,2.62032258064516,6.88035401584721,3.31472865614196e-09,4.97623639503312e-07,4.97623639503312e-07,"SLC22A12/SLC36A2/SLC7A9/SLC22A11/SLC25A29/SLC13A2/SLC22A6/ARL2/SLC22A3/SLC5A3/SLC41A1/SLC2A9/SLC16A7/SLC43A2/SLC39A5/SLC26A6/SLC43A1/SLC6A19/SLC25A5/SLC29A2/SLC4A1/SLC12A3/SLC47A2/SLC13A3/SLC4A9/SLC22A2/SLC39A4/SLC4A4/SLC3A1/CTNS/SLC2A2/SLC25A10/SLC1A1/SLC26A7/SLC5A12/SLC12A1/SLC34A1/SLC2A12/SLC13A1/LCN12/SLC22A8/SLC31A1",42
"R-HSA-389661","Glyoxylate metabolism and glycine degradation","11/744","17/8123",0.647058823529412,7.06459519291588,7.94771313916102,2.62238604933163e-08,3.49942849471921e-06,3.49942849471921e-06,"DLST/AGXT/GLDC/DLD/AGXT2/PRODH2/GRHPR/PXMP2/DAO/HOGA1/ALDH4A1",11
"R-HSA-9748784","Drug ADME","23/744","71/8123",0.323943661971831,3.53682038467363,6.81688888766396,3.58558707705969e-08,4.30629007954868e-06,4.30629007954868e-06,"NT5C2/ABCB1/NAT1/SLC22A3/PCK1/UGT1A9/TPMT/SLC29A2/ALB/SLC22A2/ACSM2B/ACY1/GGT1/ADK/PNP/SERPINA6/PON3/SULT1C4/GSTA2/HSD11B2/GLYAT/SLC22A8/GLYATL1",23
"R-HSA-9865118","Diseases of branched-chain amino acid catabolism","9/744","13/8123",0.692307692307692,7.55862282878412,7.51437925854448,2.2095130145254e-07,2.41238648222274e-05,2.41238648222274e-05,"ACAT1/BCKDHB/MCCC2/DLD/PPM1K/HIBCH/AUH/ECHS1/MCCC1",9
"R-HSA-9837999","Mitochondrial protein degradation","26/744","97/8123",0.268041237113402,2.92647710896796,6.06065199771532,3.40919602709705e-07,3.41203702378629e-05,3.41203702378629e-05,"BDH1/PDHB/SUCLG2/ACAT1/MT-ND1/PCCB/ALDH2/MT-ND5/SLC25A5/FECH/FH/DLD/MT-ND6/MT-CO1/MT-CO2/COX5B/NDUFS3/ACAD8/NDUFV1/UQCRC2/ALAS1/ACADSB/PDHA1/ALDH1B1/MT-ATP6/MT-ND2",26
"R-HSA-211897","Cytochrome P450 - arranged by substrate type","14/744","35/8123",0.4,4.36720430107527,6.33872810660454,9.66475366382961e-07,8.92874550019951e-05,8.9287455001995e-05,"CYP4A11/CYP4F3/CYP27B1/FDX1/CYP39A1/CYP51A1/CYP27A1/CYP8B1/CYP24A1/ARNT2/CYP4A22/CYP4F2/CYP4F12/CYP26B1",14
