"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002252","immune effector process","73/962","381/11930",0.191601049868766,2.37609202176131,8.08469440396963,1.6663499971271e-12,5.39082757100699e-09,3.99427629252275e-09,"CBL/SERPINB9/CD8A/NMI/C1QB/CD1D/MASP1/TGFB3/LACC1/PSMB10/BTN3A2/SLAMF7/GZMK/PTPRC/PSMB8/SLAMF8/B2M/CD274/IRAK4/GPI/STX4/CRTAM/CD300A/IL2RG/CD2/EIF2AK4/HCK/ARID5A/INPP5D/NCKAP1L/CALHM6/DYSF/SPI1/FCGR2A/LAPTM5/SLC15A4/C1QC/PRF1/PCYT1A/MR1/LGALS3/PSMA2/C1QA/DOCK2/CD84/CYRIB/DOCK10/GAB2/CD86/JAG1/ITGB2/LAT2/ARRB2/LOXL3/CLEC7A/NCF1/TREM2/ANXA1/LYN/SLC7A5/PSMB9/HK1/CD27/TYROBP/HLA-F/HLA-E/LCP1/FCGR3A/RFTN1/BTN3A3/IRF8/TUBB/C3",73
"GO:0002683","negative regulation of immune system process","70/962","362/11930",0.193370165745856,2.39803126543458,7.9995924851835,3.11043779040649e-12,5.39082757100699e-09,3.99427629252275e-09,"CBL/SERPINB9/CD200/NMI/MASP1/TGFB3/LPXN/PSMB10/CSNK1A1/OGT/TLR4/PTPRC/PSMB8/SLAMF8/RHBDF2/CD274/CRTAM/CD300A/HCK/INPP5D/NCKAP1L/CCN3/SPI1/GRAMD4/LAPTM5/CDKN2A/C1QC/TLR3/PAG1/TNFAIP3/MNDA/LGALS3/CD200R1/NCK1/PSMA2/CD84/BTN2A2/TRIM21/SYT11/IL18BP/ISG15/CD86/RAB7B/ARRB2/TAPBPL/LOXL3/GPNMB/CBFB/NLRC5/TREM2/OAS1/ANXA1/DDX39A/LYN/PSMB9/PTPN22/HMOX1/IFI16/RUNX3/TYROBP/HLA-F/HLA-E/MAFB/ATG12/WDR41/OAS3/CSK/SAMSN1/NR1D1/SAMHD1",70
"GO:0002764","immune response-regulating signaling pathway","76/962","411/11930",0.184914841849148,2.29317470193383,7.90126369788637,3.65397259670605e-12,5.39082757100699e-09,3.99427629252275e-09,"CBL/DDX41/CD8A/NMI/CD247/CD24/CD36/MASP1/LPXN/LACC1/CSNK1A1/BTN3A2/OGT/TLR4/BIRC3/PTPRC/LCP2/CD274/IRAK4/CD300A/HCK/INPP5D/NCKAP1L/CTSS/FCGR2A/GRAMD4/LAPTM5/SLC15A4/NOD1/TLR3/TNFAIP3/MNDA/CD3E/LGALS3/CD200R1/NCK1/LAIR1/CLEC2B/BTN2A2/MSR1/MAPK9/TLR2/CD86/LAT2/GBP5/RAB7B/ARRB2/CLEC7A/LY96/TREM2/CD276/OAS1/LYN/PRKCH/PTPN22/EGFR/P2RX7/IFI16/BTN3A1/TYROBP/TRAF3IP3/BAX/TLR7/FCGR3A/MEF2C/CASP1/RFTN1/FYB1/BTN3A3/BTN2A1/GDI1/OAS3/CSK/GBP2/NR1D1/C3",76
"GO:0002250","adaptive immune response","61/962","301/11930",0.20265780730897,2.51320960623286,7.8747538346223,1.05504341369699e-11,1.16740553725572e-08,8.64976703446906e-09,"CD8A/PRR7/CD247/C1QB/CD1D/PSMB10/BTN3A2/TLR4/SLAMF7/PTPRC/PSMB8/B2M/CD274/PRDM1/CRTAM/IL2RG/EIF2AK4/ARID5A/NCKAP1L/CLEC4A/TAP1/CTSS/FCGR2A/IL17RA/SLC15A4/C1QC/PRF1/PAG1/TNFAIP3/PCYT1A/CD3E/MR1/PSMA2/C1QA/LAIR1/CD84/CYRIB/IL18BP/CD86/JAG1/LAT2/LOXL3/CLEC7A/TREM2/ANXA1/LYN/PSMB9/CD27/BTN3A1/HLA-F/HLA-E/FCGR3A/MEF2C/RFTN1/BTN3A3/CSK/SAMSN1/LAMP3/DBNL/C3/CD6",61
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","54/962","256/11930",0.2109375,2.61588812370062,7.74011229604827,3.39230270060698e-11,3.0028663505773e-08,2.22494185090114e-08,"CBL/CD8A/NMI/CD247/CD24/CD36/MASP1/LPXN/BTN3A2/TLR4/PTPRC/LCP2/CD274/IRAK4/CD300A/HCK/INPP5D/NCKAP1L/FCGR2A/LAPTM5/TNFAIP3/MNDA/CD3E/LGALS3/CD200R1/NCK1/LAIR1/CLEC2B/BTN2A2/MAPK9/TLR2/CD86/LAT2/RAB7B/CLEC7A/LY96/TREM2/CD276/OAS1/LYN/PRKCH/PTPN22/BTN3A1/TYROBP/BAX/FCGR3A/MEF2C/RFTN1/FYB1/BTN3A3/BTN2A1/CSK/NR1D1/C3",54
"GO:0002757","immune response-activating signaling pathway","70/962","390/11930",0.179487179487179,2.22586491817261,7.28950184299421,1.09909539086603e-10,8.10766033328844e-08,6.00728460157962e-08,"CBL/DDX41/CD8A/NMI/CD247/CD36/MASP1/LPXN/LACC1/CSNK1A1/BTN3A2/OGT/TLR4/BIRC3/PTPRC/LCP2/CD274/IRAK4/CD300A/HCK/INPP5D/NCKAP1L/CTSS/GRAMD4/LAPTM5/SLC15A4/NOD1/TLR3/TNFAIP3/MNDA/CD3E/LGALS3/NCK1/CLEC2B/BTN2A2/MSR1/TLR2/CD86/LAT2/GBP5/RAB7B/ARRB2/CLEC7A/LY96/TREM2/CD276/OAS1/LYN/PRKCH/PTPN22/EGFR/P2RX7/IFI16/BTN3A1/TYROBP/TRAF3IP3/BAX/TLR7/MEF2C/CASP1/RFTN1/FYB1/BTN3A3/BTN2A1/GDI1/OAS3/CSK/GBP2/NR1D1/C3",70
"GO:0002253","activation of immune response","74/962","433/11930",0.170900692840647,2.11938177296145,7.02677015231143,3.315422524537e-10,2.09629429908582e-07,1.55322694163357e-07,"CBL/DDX41/CD8A/NMI/CD247/C1QB/CD36/MASP1/LPXN/LACC1/CSNK1A1/BTN3A2/OGT/TLR4/BIRC3/GZMK/PTPRC/LCP2/CD274/IRAK4/CD300A/HCK/INPP5D/NCKAP1L/CTSS/GRAMD4/LAPTM5/SLC15A4/C1QC/NOD1/TLR3/TNFAIP3/MNDA/CD3E/LGALS3/NCK1/C1QA/CLEC2B/BTN2A2/MSR1/TLR2/CD86/LAT2/GBP5/RAB7B/ARRB2/CLEC7A/LY96/TREM2/CD276/OAS1/LYN/PRKCH/PTPN22/EGFR/P2RX7/IFI16/BTN3A1/TYROBP/TRAF3IP3/BAX/TLR7/MEF2C/CASP1/RFTN1/FYB1/BTN3A3/BTN2A1/GDI1/OAS3/CSK/GBP2/NR1D1/C3",74
"GO:0002831","regulation of response to biotic stimulus","73/962","433/11930",0.168591224018476,2.09074147873224,6.84698451571776,8.22546495914954e-10,4.5385939270386e-07,3.36282284776764e-07,"DDX41/SERPINB9/NMI/CD1D/DTX3L/CD36/MASP1/LACC1/PARP9/CSNK1A1/OGT/TLR4/BIRC3/SLAMF8/APOBEC3F/B2M/CD274/IRAK4/PML/CRTAM/CD300A/EIF2AK4/HCK/INPP5D/CALHM6/SIRPA/SPI1/CTSS/GRAMD4/SLC15A4/NOD1/TLR3/TNFAIP3/MNDA/MR1/TRIM21/MSR1/SYT11/CCL5/ISG15/TLR2/GBP5/RAB7B/ARRB2/CLEC7A/LY96/NCF1/NLRC5/TREM2/EMILIN2/OAS1/DDX39A/LYN/PTPN22/EGFR/P2RX7/IFI16/TYROBP/TRAF3IP3/HLA-F/HLA-E/TLR7/CASP1/ATG12/RFTN1/GDI1/OAS3/GBP2/TRIM22/TIGAR/NR1D1/C3/SAMHD1",73
"GO:0050866","negative regulation of cell activation","35/962","140/11930",0.25,3.10031185031185,7.40315312733482,9.2289528566081e-10,4.5385939270386e-07,3.36282284776764e-07,"CBL/CD200/PSMB10/PTPRC/PSMB8/CD274/CRTAM/CD300A/LAPTM5/CDKN2A/PAG1/TNFAIP3/MNDA/LGALS3/PDGFA/PSMA2/CD84/BTN2A2/SYT11/CD86/LOXL3/SH2B3/GPNMB/CBFB/TREM2/ANXA1/LYN/PSMB9/PTPN22/RUNX3/TYROBP/HLA-E/CSK/SAMSN1/NR1D1",35
"GO:0002695","negative regulation of leukocyte activation","32/962","122/11930",0.262295081967213,3.25278620360588,7.40691831695306,1.32820619275322e-09,5.20643837669141e-07,3.8576550821889e-07,"CBL/CD200/PSMB10/PTPRC/PSMB8/CD274/CRTAM/CD300A/LAPTM5/CDKN2A/PAG1/TNFAIP3/MNDA/LGALS3/PSMA2/CD84/BTN2A2/SYT11/CD86/LOXL3/GPNMB/CBFB/ANXA1/LYN/PSMB9/PTPN22/RUNX3/TYROBP/HLA-E/CSK/SAMSN1/NR1D1",32
