"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030545","signaling receptor regulator activity","49/989","278/12392",0.176258992805755,2.20849488255705,6.0015743560079,9.75489524714293e-08,4.41812208279552e-05,4.41812208279552e-05,"P2RY1/ADA2/IL16/TGFB3/VEGFC/MANF/JAG2/CD274/SEMA6A/GPI/SEMA4F/VEGFB/NRXN3/CCN3/CKLF/DLL4/SEMA5B/INHBB/ADM/NAMPT/EFNB2/LGALS3/PDGFA/APLN/PDGFD/LAMC1/CLEC2B/TYMP/FGF11/NMB/CCL5/IL18BP/FASLG/CD86/JAG1/GPNMB/SELPLG/LYN/VEGFA/CXCL9/STC2/HLA-E/CCL4/TNFSF13B/FKBP1A/TGFA/PECAM1/CXCL10/C3",49
"GO:0038187","pattern recognition receptor activity","13/989","29/12392",0.448275862068966,5.61681949722813,7.33029954211495,9.99575131854189e-08,4.41812208279552e-05,4.41812208279552e-05,"SCARB1/CD36/TLR4/GZMK/PTAFR/CLEC4A/NOD1/TLR3/MSR1/TLR2/CLEC7A/LY96/TLR7",13
"GO:0048018","receptor ligand activity","44/989","247/12392",0.178137651821862,2.23203415710467,5.75989050533345,3.23275787618145e-07,7.78597326741136e-05,7.78597326741136e-05,"ADA2/IL16/TGFB3/VEGFC/MANF/JAG2/CD274/SEMA6A/GPI/SEMA4F/VEGFB/CCN3/CKLF/DLL4/SEMA5B/INHBB/ADM/NAMPT/EFNB2/LGALS3/PDGFA/APLN/PDGFD/LAMC1/CLEC2B/TYMP/FGF11/NMB/CCL5/FASLG/CD86/JAG1/GPNMB/SELPLG/VEGFA/CXCL9/STC2/HLA-E/CCL4/TNFSF13B/TGFA/PECAM1/CXCL10/C3",44
"GO:0030546","signaling receptor activator activity","45/989","256/12392",0.17578125,2.20250884732053,5.72548447278043,3.52306482688297e-07,7.78597326741136e-05,7.78597326741136e-05,"ADA2/IL16/TGFB3/VEGFC/MANF/JAG2/CD274/SEMA6A/GPI/SEMA4F/VEGFB/CCN3/CKLF/DLL4/SEMA5B/INHBB/ADM/NAMPT/EFNB2/LGALS3/PDGFA/APLN/PDGFD/LAMC1/CLEC2B/TYMP/FGF11/NMB/CCL5/FASLG/CD86/JAG1/GPNMB/SELPLG/LYN/VEGFA/CXCL9/STC2/HLA-E/CCL4/TNFSF13B/TGFA/PECAM1/CXCL10/C3",45
"GO:0071813","lipoprotein particle binding","9/989","23/12392",0.391304347826087,4.90297621664395,5.51739770920245,3.70852560227147e-05,0.00546389438734663,0.00546389438734663,"SCARB1/CD36/CDH13/APOL2/ABCA1/MSR1/VLDLR/TREM2/SCARF1",9
"GO:0071814","protein-lipid complex binding","9/989","23/12392",0.391304347826087,4.90297621664395,5.51739770920245,3.70852560227147e-05,0.00546389438734663,0.00546389438734663,"SCARB1/CD36/CDH13/APOL2/ABCA1/MSR1/VLDLR/TREM2/SCARF1",9
"GO:0001530","lipopolysaccharide binding","9/989","24/12392",0.375,4.69868554095045,5.34127642271258,5.51552613785408e-05,0.0061011704091776,0.0061011704091776,"SCARB1/TLR4/PTAFR/TLR2/LY96/TREM2/P2RX7/SPON2/CD6",9
"GO:0005544","calcium-dependent phospholipid binding","11/989","35/12392",0.314285714285714,3.93794597717752,5.12581664116433,5.52142118477611e-05,0.0061011704091776,0.0061011704091776,"CPNE2/ESYT2/ANXA2/ESYT1/ANXA6/DYSF/SYT11/ANXA1/DOC2A/SYT13/ANXA4",11
"GO:0042287","MHC protein binding","8/989","22/12392",0.363636363636364,4.55630113061862,4.91662155216271,0.000185674470386639,0.0182373590913098,0.0182373590913098,"CD8A/TAP1/CYRIB/CLEC7A/HLA-E/DERL1/FCRL6/TUBB",8
"GO:0050839","cell adhesion molecule binding","62/989","497/12392",0.124748490945674,1.56307714843154,3.7731635978841,0.00026333826735484,0.0232791028341679,0.0232791028341679,"GOLGA3/P4HB/CBL/CD200/CD1D/FMNL2/CEMIP2/CDH13/PDLIM1/IQGAP1/ITGA1/ITGBL1/ESYT2/ANXA2/PLIN3/NOTCH3/TNKS1BP1/ALDOA/NRXN3/CCN3/TAGLN2/RPS26/CD151/SIRPA/WASF2/EIF4H/AHNAK/PCDHGC3/HSPG2/CDH5/ARHGAP1/NCK1/PCDH17/EDIL3/CAPZA1/ITGAX/EMB/CPE/ISG15/ITGB2/RAN/TES/PFKP/GPNMB/ANXA1/LYN/PKM/LDHA/PTPRM/VWF/EGFR/EFHD2/ENO1/LCP1/CDH6/NLGN1/ACTN1/BZW2/RARS1/ASAP1/DBNL/ITGB1",62
