"Gene_Symbol","Gene_ID","log2FC","Regulation","Degree","Betweenness","Closeness","Eigenvector","PageRank"
"UMOD","7369",-10.5786119343522,"Downregulated",22,0.0183357622158095,0.381978452497551,0.185495351726698,0.00537166107713001
"KNG1","3827",-9.47486028945941,"Downregulated",26,0.0162497294528405,0.387673956262425,0.322845654499751,0.00603041909590432
"CALB1","793",-7.41503129326829,"Downregulated",11,0.00692021467650837,0.346975088967972,0.111082092658313,0.00313484872486171
"SLC13A3","64849",-7.20102871747702,"Downregulated",1,0,0.260695187165775,0.0043388702099197,0.000654488412064972
"SLC4A1","6521",-6.06158241957373,"Downregulated",15,0.00712149275234177,0.331350892098556,0.121435018464002,0.00367415108590808
"AQP2","359",-10.5640984061768,"Downregulated",17,0.00522085755622019,0.357798165137615,0.123147095294103,0.00411206399610853
"XPNPEP2","7512",-7.04561130199108,"Downregulated",6,0.00122252656757045,0.305164319248826,0.0479007753544431,0.00162553918035462
"SCNN1B","6338",-5.72175201735246,"Downregulated",15,0.00642730854835776,0.323920265780731,0.0422586416338558,0.0041734400263227
"HILPDA","29923",4.42707912911912,"Upregulated",3,0.00337143279291434,0.276203966005666,0.014411140298855,0.00129754025309772
"TFAP2B","7021",-5.00297344771917,"Downregulated",3,0.000925117816450899,0.304449648711944,0.0308639217254705,0.0011288390194618
"HPD","3242",-6.03583582538791,"Downregulated",15,0.00262444263605742,0.359778597785978,0.264859819826958,0.00303523390730996
"PTH1R","5745",-4.93734564766356,"Downregulated",3,0.000362065402122195,0.279369627507163,0.0115189081279683,0.00116051996619161
"NPHS2","7827",-8.17116924825161,"Downregulated",14,0.00785127564280097,0.358126721763085,0.108549803426664,0.0037559086699967
"HS6ST2","90161",-5.43919331403613,"Downregulated",1,0,0.264586160108548,0.00900750280033409,0.000595836843520073
"MUC15","143662",-7.71187950989447,"Downregulated",4,0.000254577365390992,0.288248337028825,0.0198360496186771,0.00129962725735101
"PRR35","146325",-6.95709957826448,"Downregulated",1,0,0.5,1.39182465564841e-17,0.0016979297990944
"TCF21","6943",-3.30911442982546,"Downregulated",3,0.00669421416309383,0.28996282527881,0.0191487496963469,0.00154462386667931
"AGXT","189",-5.19198828574683,"Downregulated",34,0.018563089034702,0.391959798994975,0.513736505966516,0.0067303549642194
"ALB","213",-7.16626456015287,"Downregulated",80,0.139140515225313,0.482076637824475,1,0.0178466032909718
"SLC36A2","153201",-6.54024526707557,"Downregulated",2,4.11547092045018e-05,0.23650697392359,0.001953164052693,0.000966514049926122
"HSPA2","3306",-3.41169503560073,"Downregulated",2,0.00022463152472528,0.268595041322314,0.0112051662786425,0.00104270174345261
"PPP1R3C","5507",2.73497276837117,"Upregulated",2,4.96142629664658e-05,0.326086956521739,0.057912690095714,0.000739848587549316
"SMIM5","643008",-3.62277983616632,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"SLC26A7","115111",-4.40073643983777,"Downregulated",6,0.00157279632275647,0.268965517241379,0.0107795875840379,0.0020324066936251
"CAV2","858",2.23482499286998,"Upregulated",5,0.000452329279390284,0.330508474576271,0.0751638798906044,0.00160582604271843
"KLK1","3816",-6.3314759561255,"Downregulated",7,0.000777411729310889,0.340314136125654,0.0954670989735934,0.00188754139257463
"HK2","3099",4.50705934515503,"Upregulated",18,0.00164429436613455,0.371075166508088,0.423215352171148,0.00358883369619848
"SLC4A9","83697",-6.12067042511849,"Downregulated",5,0.000654666965405907,0.293674698795181,0.0164314984834214,0.00157136910779785
"GLYATL1","92292",-3.9488056312013,"Downregulated",1,0,0.191364082433759,0.00036261004709187,0.0009447372209901
"COL23A1","91522",4.56038740424975,"Upregulated",6,0.000582564167120089,0.278571428571429,0.0122207788611498,0.00199514830728862
"DAO","1610",-4.89781177673276,"Downregulated",16,0.00169999332260433,0.312,0.173463930335248,0.00339948387941009
"RANBP3L","202151",-4.30458444420891,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"FCGR3A","2214",3.67747180294929,"Upregulated",30,0.00955279745650228,0.384615384615385,0.429224372266284,0.00648053938673905
"DACH1","1602",-2.61403967910812,"Downregulated",1,0,0.183875530410184,3.96262350705758e-05,0.00110086459807975
"FBP1","2203",-4.92991761152472,"Downregulated",26,0.00182169624008283,0.372137404580153,0.586971854969199,0.00475320979147194
"PAPPA","5069",-3.03561775205818,"Downregulated",2,0.00335573364619008,0.279770444763271,0.017131247456011,0.00135739722230055
"PCK2","5106",-3.74773579580912,"Downregulated",21,0.00150207357218857,0.350089766606822,0.487633973519711,0.0039888573178235
"GPC3","2719",-3.77233673115724,"Downregulated",13,0.00820228747207579,0.359447004608295,0.198212988374247,0.00356206651354791
"GATA3","2625",-3.2567845695145,"Downregulated",19,0.00377064004316575,0.365853658536585,0.282699930208684,0.00429481059326329
"ALDOB","229",-7.05795377643419,"Downregulated",27,0.00369098875956583,0.38160469667319,0.589292549441629,0.00502629625490571
"SLC2A12","154091",-4.13705805484585,"Downregulated",2,5.47854012758641e-05,0.299539170506912,0.0385755973123268,0.000719328597732881
"HSD11B2","3291",-3.54978037674533,"Downregulated",7,0.00133157993163207,0.288888888888889,0.0139372487541259,0.00213880238612706
"TMCC1","23023",1.93560605281175,"Upregulated",1,0,0.190989226248776,7.92360460718326e-05,0.000972999038465452
"EFHD1","80303",-2.81725351341615,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"CYP4F3","4051",-3.24959481321941,"Downregulated",3,0.000124812600287396,0.266393442622951,0.0155504885470293,0.00115828426504948
"TLN2","83660",-1.84034084120724,"Downregulated",10,0.0057673870354761,0.350404312668464,0.167536573543256,0.00273814773413864
"NOL3","8996",2.81293970842562,"Upregulated",1,0,0.221843003412969,0.000639641922975565,0.00102094840869596
"EDA2R","60401",3.07626046107802,"Upregulated",1,0,0.217028380634391,0.00048135711940595,0.000917326014737603
"KCNJ15","3772",-2.78799307683714,"Downregulated",3,0.000818794374284812,0.280575539568345,0.0152159606173014,0.00114321016255152
"RAPGEF3","10411",-2.20509713775782,"Downregulated",4,0.000976097123803309,0.299769408147579,0.0310081936117418,0.00138042403374955
"COL4A4","1286",-2.10561742744766,"Downregulated",7,0.00151207872427879,0.29082774049217,0.0169392439743207,0.0022344995423138
"ASS1","445",-3.81933950467554,"Downregulated",19,0.0185017971740457,0.343612334801762,0.333618445202534,0.00407330069506177
"S100A2","6273",-2.50546336536736,"Downregulated",2,7.02795993175289e-05,0.257936507936508,0.00330486256465509,0.00103911933795806
"GSTM3","2947",-2.04678205604937,"Downregulated",1,0,0.253411306042885,0.00862275900388019,0.00057911713112372
"SLC60A1","148808",-3.62993163595699,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"SLC16A9","220963",-3.74260137865683,"Downregulated",3,0.0166406431966598,0.262449528936743,0.00435688385356436,0.00242474161513929
"SLC2A1","6513",2.63981207308841,"Upregulated",32,0.0289206631955402,0.410094637223975,0.59373718033973,0.00705256520777733
"PLG","5340",-5.0565993366673,"Downregulated",25,0.0123934732800996,0.387288977159881,0.376200090517779,0.00575330472980742
"MECOM","2122",-2.27275769257302,"Downregulated",2,1.9100098005605e-05,0.281385281385281,0.0164179443024527,0.000849519461056937
"CRHBP","1393",-4.21077843451597,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"ANKRD2","26287",-4.81194476932906,"Downregulated",2,0.000222753981442843,0.286554004408523,0.0139059241826608,0.000837816154716608
"ESRRB","2103",-4.25675570203748,"Downregulated",5,0.00285253662443426,0.324729392173189,0.0738072733463601,0.00166197192496262
"PROC","5624",-4.78190803563161,"Downregulated",7,1.47331800777757e-05,0.337370242214533,0.113002125806602,0.00178066102318011
"TSPAN8","7103",-3.84413826570611,"Downregulated",3,3.90432158913513e-05,0.279569892473118,0.0210832865868801,0.0010824314580424
"ATP1A1","476",-1.80310022899694,"Downregulated",7,0.00151163893959867,0.323383084577114,0.0383920016087145,0.00186225355774926
"SELENBP1","8991",-2.81943724755396,"Downregulated",5,0.00078585788143687,0.276203966005666,0.0247204722181062,0.00142446174956946
"COL9A2","1298",-3.08575722085492,"Downregulated",7,0.00109809760003092,0.28343023255814,0.0177963076211926,0.00221094987296503
"SIRPA","140885",1.59845155996621,"Upregulated",11,0.000121559878906982,0.318367346938775,0.170909687217826,0.00243484419743169
"FUT3","2525",-4.67779540496361,"Downregulated",3,0.00359273456234577,0.297709923664122,0.0259921190690719,0.00163135549800093
"PROM2","150696",-2.63246074321479,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"CDKN2B","1030",2.53826876019249,"Upregulated",7,0.00135101067042312,0.33106960950764,0.0980255303685112,0.00212463592035381
"S100A14","57402",-2.46675365608154,"Downregulated",5,0.00199932295800152,0.301158301158301,0.0334081265220681,0.00173053132479801
"DCXR","51181",-2.91757539225644,"Downregulated",1,0,0.217028380634391,0.000481357119405948,0.000917326014737799
"CAV1","857",2.58546833345491,"Upregulated",31,0.0343810915769428,0.396341463414634,0.308457173773427,0.00816446341283507
"WNK4","65266",-2.84625065909167,"Downregulated",11,0.0033386658183601,0.309033280507132,0.0364681652366598,0.0029272989857709
"MAP1B","4131",2.05697420967274,"Upregulated",2,0,0.329391891891892,0.0549531005521416,0.000787606700411988
"RASL11B","65997",-3.20823208499361,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"CLUL1","27098",-2.61165650905894,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"ECHS1","1892",-1.92521254910206,"Downregulated",22,0.0009869277741611,0.334190231362468,0.388669197004887,0.00410023311252598
"C7","730",-3.90888708888991,"Downregulated",3,0.000283337572967805,0.336787564766839,0.0711621832405691,0.000964349651903032
"IYD","389434",-3.94134171286875,"Downregulated",4,0.00192104471016664,0.280575539568345,0.0175540747216365,0.00148560579744546
"KCNJ1","3758",-7.9785062214119,"Downregulated",16,0.00233739564346921,0.311252992817239,0.0459314552802366,0.00419768001122501
"SCD5","79966",-2.39449502727315,"Downregulated",4,0.00010285230660549,0.319148936170213,0.0902449922629556,0.0010598386919894
"CSPG4","1464",2.27540649693363,"Upregulated",11,0.00148104048666929,0.342405618964004,0.131713225843615,0.00282970899172832
