GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
7105,3046,1655,1506,1861
64102,9,18,0,18
8813,842,259,492,539
57147,206,129,480,333
55732,93,26,133,55
2268,281,28,851,132
3075,5283,876,494,948
2519,2470,1544,2170,2391
2729,357,471,1967,629
4800,310,69,959,287
90529,276,335,179,201
57185,823,260,1211,595
81887,1828,1361,1298,1085
22875,398,411,614,663
6405,1111,248,1840,324
1080,12,36,394,43
54467,582,340,1128,883
1595,684,517,892,859
889,438,98,1210,623
5893,264,58,383,134
572,3648,4105,1909,1444
51056,3009,2131,2216,3895
4267,13052,1188,5301,1400
9957,289,38,40,146
26,18306,20493,11505,18832
51384,5,2,2,2
23072,979,486,1,1325
8379,1266,1578,308,415
3927,5416,1786,3881,2685
29916,1046,686,760,644
55365,31389,18823,23690,13281
4074,8420,4020,3430,1904
90293,190,262,229,479
56603,13,22,532,92
3382,211,203,211,436
79007,179,309,546,236
57679,313,228,1133,610
843,486,224,504,226
8837,3322,2647,3514,3126
7035,4124,1139,5336,1855
55471,252,194,425,304
10181,2021,1579,3496,2244
9108,66,18,133,49
6542,279,163,10824,408
381,8165,4376,2982,2782
23098,476,89,1936,469
26073,3990,5169,5138,5468
23129,8975,1881,2643,523
204,6268,5989,7905,6035
952,138,6,88,22
2288,6480,7586,4079,4485
23028,1616,898,2199,1077
10180,1748,3403,3482,1610
84254,174,36,2509,68
5965,258,28,1018,226
55610,393,182,516,481
126393,187,83,81,165
115703,205,62,847,187
4706,4207,8950,1624,2844
5166,811,274,27750,12515
85413,45,12,19,26
51364,95,135,27,40
340273,3,4,47,7
170302,1,2,3,0
10165,818,720,1180,1211
7982,943,833,1093,963
93655,943,833,1093,963
996,709,257,2401,516
6521,16,1628,12,1085
799,84,19,827,60
3052,636,307,726,406
1856,513,174,2087,497
64063,2,13,5,35
5976,2296,1093,2883,1712
8935,1339,220,1637,755
292,17851,10480,11005,22273
55013,541,57,194,31
3207,71,13,330,50
5439,8009,4444,1961,2331
56919,247,169,617,217
4222,9,3,0,4
221981,251,205,976,331
3980,588,158,1448,465
79657,383,355,302,220
6296,645,6650,1478,2959
81691,67,33,113,29
57019,1296,1034,930,1043
56928,2256,631,2780,1321
80256,769,449,642,443
51226,2493,1312,1052,535
5577,70,62,21,176
10943,785,194,680,278
1387,1015,1037,2437,680
9256,311,251,2491,477
4353,2,3,5,6
5444,20,9,5,5
6936,349,834,196,205
84058,1751,2114,1077,424
54677,435,176,348,489
5244,561,28,20,32
55904,710,227,2379,513
57414,3671,6228,3288,2789
30812,7,3,515,9
25998,654,528,480,426
7748,555,223,583,268
23077,763,330,1375,527
26224,604,543,1523,781
3683,498,36,702,58
5164,2334,3389,5620,4944
3675,11938,1056,1288,1302
7543,519,235,1278,394
3920,6439,4391,3696,5691
3674,118,49,57,6
51666,274,8,20,52
51573,1662,1491,1120,1500
55049,4299,4012,1026,1159
9244,117,32,17,23
114881,475,92,946,169
26022,3797,469,2451,1920
51087,130,24,21,66
3883,1,0,11,0
9020,1249,131,1018,177
6833,5,0,1,35
10368,0,0,0,0
54972,1023,131,363,54
163,4074,2471,4960,3696
6863,144,29,0,227
10127,860,588,1323,495
6376,2384,808,3927,1065
64847,3532,1345,5510,2151
8913,3,4,10,4
51330,8394,290,1827,426
1750,28,2,5,1
4293,69,38,368,194
5898,1380,610,780,619
55971,778,190,99,242
80853,292,36,666,185
2115,158,47,57,52
55750,308,61,613,360
221,677,964,1377,1435
55001,533,248,2579,406
57157,695,192,383,218
10344,58,31,5,12
9855,221,562,822,512
10083,7137,7195,4192,4401
79017,1298,1087,613,1016
10926,131,10,108,41
6915,209,58,101,72
3475,727,411,802,425
56891,0,0,10,0
1352,269,251,492,451
9569,781,448,717,333
54623,3113,2085,2368,1661
27072,1614,476,2457,878
9912,207,43,907,164
60528,1144,602,2419,1248
85477,270,916,784,1496
414,2224,2792,3593,3538
8228,1891,822,1606,2289
8735,0,1,137,0
79602,1679,460,2216,1148
51265,177,64,80,42
151531,14,496,9,766
10942,3,0,1,0
57787,1074,320,895,401
8842,1051,1196,57,389
115098,3433,1889,2169,1442
90273,49,17,21,14
5048,2633,2030,3068,1768
4843,47,28,28,28
1770,94,77,56,39
9703,3113,1435,6360,5074
9058,10,6064,12,6650
8522,310,16,218,41
79090,3362,5500,1067,1572
4145,99,32,60,31
1087,0,0,0,1
974,182,162,158,58
6329,2,5,111,34
54879,243,385,388,276
8277,1,0,1,3
5080,81,59,86,68
113000,1590,592,583,393
64285,1099,115,1352,214
55692,1137,1085,2013,881
9254,26,32,112,112
8938,102,180,2014,334
115939,2503,2436,928,1084
9091,1804,2230,1639,1362
57585,266,34,1192,267
7005,358,54,659,414
6401,8,6,4,6
55735,500,819,3296,1382
2328,1103,79,133,353
29116,679,243,1176,456
27035,86,38,15,33
1870,20,3,3,1
5689,10058,10386,3593,4107
6853,33,6,48,3
3720,256,89,764,226
6792,298,186,567,403
57172,117,49,59,85
728642,417,247,867,370
65220,1221,610,2375,907
7021,6,103,1,290
83741,0,0,0,0
9940,21,45,34,77
9265,732,156,1228,461
53616,834,82,433,203
6856,3138,1916,3676,3031
1534,1844,1323,1071,1393
9043,1451,918,5819,1901
1951,15,6,130,30
10157,93,87,167,574
55200,191,15,18,34
51188,746,651,168,354
84954,1484,2521,403,832
4257,11855,5040,33,5065
1407,279,119,1020,375
8993,0,2,3,6
4784,703,78,961,339
6482,1023,2312,2461,2140
64386,63,7,84,22
9235,19494,8206,19668,4743
5310,1602,248,8304,1097
23542,66,38,119,63
9862,1123,305,2355,811
23221,238,297,2393,877
54497,391,107,1492,444
7095,5758,20802,1753,2219
6224,145502,65754,18179,18206
7812,4963,4571,13618,8111
9690,948,329,1647,834
5980,424,166,224,315
10178,33,135,1784,175
5081,1,0,0,0
10747,7,7,79,13
389434,103,1230,6,1990
199870,162,189,681,243
80342,468,277,147,80
29954,774,630,1298,310
51534,633,337,424,838
51085,1410,2415,91,1497
9031,1312,359,2453,969
10048,658,325,881,632
51513,319,24,51,29
83932,132,60,182,129
51603,866,698,713,603
8798,1213,606,511,323
7756,2909,929,3092,1902
7384,10398,29330,5282,11253
83930,1936,786,2476,866
928,9623,2419,13410,4308
57467,1,9,6,5
9918,809,118,1182,434
25900,1514,176,1585,397
2696,41,18,71,14
51533,70,66,229,132
56920,156,251,142,1172
11188,1334,1510,2411,1628
23166,12343,2241,1366,806
80199,834,1584,979,930
6540,7865,11116,20602,11247
3423,2298,491,4031,1035
5646,110,174,0,58
7752,125,71,194,100
920,3412,198,1151,410
10233,1645,2623,590,371
695,328,9,237,53
