"Pathway_ID","Pathway","Gene_ID"
"GO:0016054","organic acid catabolic process","54677"
"GO:0016054","organic acid catabolic process","9673"
"GO:0016054","organic acid catabolic process","254013"
"GO:0016054","organic acid catabolic process","10840"
"GO:0016054","organic acid catabolic process","122970"
"GO:0016054","organic acid catabolic process","91452"
"GO:0016054","organic acid catabolic process","51540"
"GO:0016054","organic acid catabolic process","23659"
"GO:0016054","organic acid catabolic process","27349"
"GO:0016054","organic acid catabolic process","5264"
"GO:0016054","organic acid catabolic process","8529"
"GO:0016054","organic acid catabolic process","549"
"GO:0016054","organic acid catabolic process","9942"
"GO:0016054","organic acid catabolic process","23464"
"GO:0016054","organic acid catabolic process","1384"
"GO:0016054","organic acid catabolic process","1738"
"GO:0016054","organic acid catabolic process","2110"
"GO:0016054","organic acid catabolic process","152926"
"GO:0016054","organic acid catabolic process","2108"
"GO:0016054","organic acid catabolic process","5095"
"GO:0016054","organic acid catabolic process","84693"
"GO:0016054","organic acid catabolic process","56922"
"GO:0016054","organic acid catabolic process","113675"
"GO:0016054","organic acid catabolic process","84830"
"GO:0016054","organic acid catabolic process","6652"
"GO:0016054","organic acid catabolic process","10327"
"GO:0016054","organic acid catabolic process","10994"
"GO:0016054","organic acid catabolic process","8309"
"GO:0016054","organic acid catabolic process","6342"
"GO:0016054","organic acid catabolic process","1743"
"GO:0016054","organic acid catabolic process","64087"
"GO:0016054","organic acid catabolic process","1579"
"GO:0016054","organic acid catabolic process","5053"
"GO:0016054","organic acid catabolic process","26061"
"GO:0016054","organic acid catabolic process","38"
"GO:0016054","organic acid catabolic process","36"
"GO:0016054","organic acid catabolic process","4942"
"GO:0016054","organic acid catabolic process","11112"
"GO:0016054","organic acid catabolic process","51084"
"GO:0016054","organic acid catabolic process","84706"
"GO:0016054","organic acid catabolic process","130013"
"GO:0016054","organic acid catabolic process","55862"
"GO:0016054","organic acid catabolic process","2639"
"GO:0016054","organic acid catabolic process","440503"
"GO:0016054","organic acid catabolic process","66002"
"GO:0016054","organic acid catabolic process","27034"
"GO:0016054","organic acid catabolic process","1800"
"GO:0016054","organic acid catabolic process","6470"
"GO:0016054","organic acid catabolic process","4329"
"GO:0016054","organic acid catabolic process","5446"
"GO:0016054","organic acid catabolic process","10841"
"GO:0016054","organic acid catabolic process","5465"
"GO:0016054","organic acid catabolic process","3081"
"GO:0016054","organic acid catabolic process","64902"
"GO:0016054","organic acid catabolic process","56603"
"GO:0016054","organic acid catabolic process","11001"
"GO:0016054","organic acid catabolic process","51"
"GO:0016054","organic acid catabolic process","5825"
"GO:0016054","organic acid catabolic process","1962"
"GO:0016054","organic acid catabolic process","23576"
"GO:0016054","organic acid catabolic process","501"
"GO:0016054","organic acid catabolic process","5096"
"GO:0016054","organic acid catabolic process","10455"
"GO:0016054","organic acid catabolic process","7263"
"GO:0016054","organic acid catabolic process","2326"
"GO:0016054","organic acid catabolic process","2875"
"GO:0016054","organic acid catabolic process","7915"
"GO:0016054","organic acid catabolic process","3945"
"GO:0016054","organic acid catabolic process","594"
"GO:0016054","organic acid catabolic process","144193"
"GO:0016054","organic acid catabolic process","112817"
"GO:0016054","organic acid catabolic process","18"
"GO:0016054","organic acid catabolic process","125061"
"GO:0016054","organic acid catabolic process","2731"
"GO:0016054","organic acid catabolic process","10247"
"GO:0016054","organic acid catabolic process","1757"
"GO:0016054","organic acid catabolic process","58510"
"GO:0016054","organic acid catabolic process","26275"
"GO:0016054","organic acid catabolic process","8659"
"GO:0016054","organic acid catabolic process","1892"
"GO:0016054","organic acid catabolic process","51181"
"GO:0016054","organic acid catabolic process","445"
"GO:0016054","organic acid catabolic process","4051"
"GO:0016054","organic acid catabolic process","1610"
"GO:0016054","organic acid catabolic process","189"
"GO:0016054","organic acid catabolic process","3242"
"GO:0046395","carboxylic acid catabolic process","54677"
"GO:0046395","carboxylic acid catabolic process","9673"
"GO:0046395","carboxylic acid catabolic process","254013"
"GO:0046395","carboxylic acid catabolic process","10840"
"GO:0046395","carboxylic acid catabolic process","122970"
"GO:0046395","carboxylic acid catabolic process","91452"
"GO:0046395","carboxylic acid catabolic process","51540"
"GO:0046395","carboxylic acid catabolic process","23659"
"GO:0046395","carboxylic acid catabolic process","27349"
"GO:0046395","carboxylic acid catabolic process","5264"
"GO:0046395","carboxylic acid catabolic process","8529"
"GO:0046395","carboxylic acid catabolic process","549"
"GO:0046395","carboxylic acid catabolic process","9942"
"GO:0046395","carboxylic acid catabolic process","23464"
"GO:0046395","carboxylic acid catabolic process","1384"
"GO:0046395","carboxylic acid catabolic process","1738"
"GO:0046395","carboxylic acid catabolic process","2110"
"GO:0046395","carboxylic acid catabolic process","152926"
"GO:0046395","carboxylic acid catabolic process","2108"
"GO:0046395","carboxylic acid catabolic process","5095"
"GO:0046395","carboxylic acid catabolic process","84693"
"GO:0046395","carboxylic acid catabolic process","56922"
"GO:0046395","carboxylic acid catabolic process","113675"
"GO:0046395","carboxylic acid catabolic process","84830"
"GO:0046395","carboxylic acid catabolic process","6652"
"GO:0046395","carboxylic acid catabolic process","10327"
"GO:0046395","carboxylic acid catabolic process","10994"
"GO:0046395","carboxylic acid catabolic process","8309"
"GO:0046395","carboxylic acid catabolic process","6342"
"GO:0046395","carboxylic acid catabolic process","1743"
"GO:0046395","carboxylic acid catabolic process","64087"
"GO:0046395","carboxylic acid catabolic process","1579"
"GO:0046395","carboxylic acid catabolic process","5053"
"GO:0046395","carboxylic acid catabolic process","26061"
"GO:0046395","carboxylic acid catabolic process","38"
"GO:0046395","carboxylic acid catabolic process","36"
"GO:0046395","carboxylic acid catabolic process","4942"
"GO:0046395","carboxylic acid catabolic process","11112"
"GO:0046395","carboxylic acid catabolic process","51084"
"GO:0046395","carboxylic acid catabolic process","84706"
"GO:0046395","carboxylic acid catabolic process","130013"
"GO:0046395","carboxylic acid catabolic process","55862"
"GO:0046395","carboxylic acid catabolic process","2639"
"GO:0046395","carboxylic acid catabolic process","440503"
"GO:0046395","carboxylic acid catabolic process","66002"
"GO:0046395","carboxylic acid catabolic process","27034"
"GO:0046395","carboxylic acid catabolic process","1800"
"GO:0046395","carboxylic acid catabolic process","6470"
"GO:0046395","carboxylic acid catabolic process","4329"
"GO:0046395","carboxylic acid catabolic process","5446"
"GO:0046395","carboxylic acid catabolic process","10841"
"GO:0046395","carboxylic acid catabolic process","5465"
"GO:0046395","carboxylic acid catabolic process","3081"
"GO:0046395","carboxylic acid catabolic process","64902"
"GO:0046395","carboxylic acid catabolic process","56603"
"GO:0046395","carboxylic acid catabolic process","11001"
"GO:0046395","carboxylic acid catabolic process","51"
"GO:0046395","carboxylic acid catabolic process","5825"
"GO:0046395","carboxylic acid catabolic process","1962"
"GO:0046395","carboxylic acid catabolic process","23576"
"GO:0046395","carboxylic acid catabolic process","501"
"GO:0046395","carboxylic acid catabolic process","5096"
"GO:0046395","carboxylic acid catabolic process","10455"
"GO:0046395","carboxylic acid catabolic process","7263"
"GO:0046395","carboxylic acid catabolic process","2326"
"GO:0046395","carboxylic acid catabolic process","2875"
"GO:0046395","carboxylic acid catabolic process","7915"
"GO:0046395","carboxylic acid catabolic process","3945"
"GO:0046395","carboxylic acid catabolic process","594"
"GO:0046395","carboxylic acid catabolic process","144193"
"GO:0046395","carboxylic acid catabolic process","112817"
"GO:0046395","carboxylic acid catabolic process","18"
"GO:0046395","carboxylic acid catabolic process","125061"
"GO:0046395","carboxylic acid catabolic process","2731"
"GO:0046395","carboxylic acid catabolic process","10247"
"GO:0046395","carboxylic acid catabolic process","1757"
"GO:0046395","carboxylic acid catabolic process","58510"
"GO:0046395","carboxylic acid catabolic process","26275"
"GO:0046395","carboxylic acid catabolic process","8659"
"GO:0046395","carboxylic acid catabolic process","1892"
"GO:0046395","carboxylic acid catabolic process","51181"
"GO:0046395","carboxylic acid catabolic process","445"
"GO:0046395","carboxylic acid catabolic process","4051"
"GO:0046395","carboxylic acid catabolic process","1610"
"GO:0046395","carboxylic acid catabolic process","189"
"GO:0046395","carboxylic acid catabolic process","3242"
"GO:0009063","amino acid catabolic process","549"
"GO:0009063","amino acid catabolic process","23464"
"GO:0009063","amino acid catabolic process","1738"
"GO:0009063","amino acid catabolic process","152926"
"GO:0009063","amino acid catabolic process","2108"
"GO:0009063","amino acid catabolic process","56922"
"GO:0009063","amino acid catabolic process","113675"
"GO:0009063","amino acid catabolic process","1743"
"GO:0009063","amino acid catabolic process","64087"
"GO:0009063","amino acid catabolic process","5053"
"GO:0009063","amino acid catabolic process","38"
"GO:0009063","amino acid catabolic process","36"
"GO:0009063","amino acid catabolic process","4942"
"GO:0009063","amino acid catabolic process","11112"
"GO:0009063","amino acid catabolic process","84706"
"GO:0009063","amino acid catabolic process","130013"
"GO:0009063","amino acid catabolic process","2639"
"GO:0009063","amino acid catabolic process","27034"
"GO:0009063","amino acid catabolic process","6470"
"GO:0009063","amino acid catabolic process","4329"
"GO:0009063","amino acid catabolic process","10841"
"GO:0009063","amino acid catabolic process","3081"
"GO:0009063","amino acid catabolic process","64902"
"GO:0009063","amino acid catabolic process","23576"
"GO:0009063","amino acid catabolic process","501"
"GO:0009063","amino acid catabolic process","2875"
"GO:0009063","amino acid catabolic process","7915"
"GO:0009063","amino acid catabolic process","594"
"GO:0009063","amino acid catabolic process","144193"
"GO:0009063","amino acid catabolic process","112817"
"GO:0009063","amino acid catabolic process","18"
"GO:0009063","amino acid catabolic process","125061"
"GO:0009063","amino acid catabolic process","2731"
"GO:0009063","amino acid catabolic process","10247"
"GO:0009063","amino acid catabolic process","1757"
"GO:0009063","amino acid catabolic process","58510"
"GO:0009063","amino acid catabolic process","26275"
"GO:0009063","amino acid catabolic process","8659"
"GO:0009063","amino acid catabolic process","1892"
"GO:0009063","amino acid catabolic process","445"
"GO:0009063","amino acid catabolic process","1610"
"GO:0009063","amino acid catabolic process","189"
"GO:0009063","amino acid catabolic process","3242"
"GO:0006520","amino acid metabolic process","51540"
"GO:0006520","amino acid metabolic process","6567"
"GO:0006520","amino acid metabolic process","4522"
"GO:0006520","amino acid metabolic process","4482"
"GO:0006520","amino acid metabolic process","549"
"GO:0006520","amino acid metabolic process","23464"
"GO:0006520","amino acid metabolic process","23395"
"GO:0006520","amino acid metabolic process","1738"
"GO:0006520","amino acid metabolic process","152926"
"GO:0006520","amino acid metabolic process","2271"
"GO:0006520","amino acid metabolic process","2108"
"GO:0006520","amino acid metabolic process","5095"
"GO:0006520","amino acid metabolic process","56922"
"GO:0006520","amino acid metabolic process","113675"
"GO:0006520","amino acid metabolic process","29968"
"GO:0006520","amino acid metabolic process","2678"
"GO:0006520","amino acid metabolic process","1743"
"GO:0006520","amino acid metabolic process","4594"
"GO:0006520","amino acid metabolic process","64087"
"GO:0006520","amino acid metabolic process","5053"
"GO:0006520","amino acid metabolic process","4953"
"GO:0006520","amino acid metabolic process","38"
"GO:0006520","amino acid metabolic process","339983"
"GO:0006520","amino acid metabolic process","36"
"GO:0006520","amino acid metabolic process","4942"
"GO:0006520","amino acid metabolic process","11112"
"GO:0006520","amino acid metabolic process","435"
"GO:0006520","amino acid metabolic process","84706"
"GO:0006520","amino acid metabolic process","130013"
"GO:0006520","amino acid metabolic process","1497"
"GO:0006520","amino acid metabolic process","148811"
"GO:0006520","amino acid metabolic process","2639"
"GO:0006520","amino acid metabolic process","3172"
"GO:0006520","amino acid metabolic process","670"
"GO:0006520","amino acid metabolic process","51733"
"GO:0006520","amino acid metabolic process","27034"
"GO:0006520","amino acid metabolic process","1733"
"GO:0006520","amino acid metabolic process","1800"
"GO:0006520","amino acid metabolic process","6470"
"GO:0006520","amino acid metabolic process","4329"
"GO:0006520","amino acid metabolic process","10841"
"GO:0006520","amino acid metabolic process","3081"
"GO:0006520","amino acid metabolic process","64902"
"GO:0006520","amino acid metabolic process","23576"
"GO:0006520","amino acid metabolic process","501"
"GO:0006520","amino acid metabolic process","5096"
"GO:0006520","amino acid metabolic process","635"
"GO:0006520","amino acid metabolic process","2875"
"GO:0006520","amino acid metabolic process","79814"
"GO:0006520","amino acid metabolic process","7915"
"GO:0006520","amino acid metabolic process","594"
"GO:0006520","amino acid metabolic process","144193"
"GO:0006520","amino acid metabolic process","1644"
"GO:0006520","amino acid metabolic process","112817"
"GO:0006520","amino acid metabolic process","18"
"GO:0006520","amino acid metabolic process","125061"
"GO:0006520","amino acid metabolic process","26227"
"GO:0006520","amino acid metabolic process","23743"
"GO:0006520","amino acid metabolic process","2731"
"GO:0006520","amino acid metabolic process","10247"
"GO:0006520","amino acid metabolic process","1757"
"GO:0006520","amino acid metabolic process","10249"
"GO:0006520","amino acid metabolic process","58510"
"GO:0006520","amino acid metabolic process","5184"
"GO:0006520","amino acid metabolic process","26275"
"GO:0006520","amino acid metabolic process","8659"
"GO:0006520","amino acid metabolic process","95"
"GO:0006520","amino acid metabolic process","1491"
"GO:0006520","amino acid metabolic process","389434"
"GO:0006520","amino acid metabolic process","1892"
"GO:0006520","amino acid metabolic process","445"
"GO:0006520","amino acid metabolic process","1610"
"GO:0006520","amino acid metabolic process","189"
"GO:0006520","amino acid metabolic process","3242"
"GO:0170040","proteinogenic amino acid catabolic process","549"
"GO:0170040","proteinogenic amino acid catabolic process","23464"
"GO:0170040","proteinogenic amino acid catabolic process","1738"
"GO:0170040","proteinogenic amino acid catabolic process","56922"
"GO:0170040","proteinogenic amino acid catabolic process","113675"
"GO:0170040","proteinogenic amino acid catabolic process","1743"
"GO:0170040","proteinogenic amino acid catabolic process","64087"
"GO:0170040","proteinogenic amino acid catabolic process","5053"
"GO:0170040","proteinogenic amino acid catabolic process","38"
"GO:0170040","proteinogenic amino acid catabolic process","36"
"GO:0170040","proteinogenic amino acid catabolic process","4942"
"GO:0170040","proteinogenic amino acid catabolic process","11112"
"GO:0170040","proteinogenic amino acid catabolic process","84706"
"GO:0170040","proteinogenic amino acid catabolic process","130013"
"GO:0170040","proteinogenic amino acid catabolic process","2639"
"GO:0170040","proteinogenic amino acid catabolic process","27034"
"GO:0170040","proteinogenic amino acid catabolic process","6470"
"GO:0170040","proteinogenic amino acid catabolic process","4329"
"GO:0170040","proteinogenic amino acid catabolic process","10841"
"GO:0170040","proteinogenic amino acid catabolic process","3081"
"GO:0170040","proteinogenic amino acid catabolic process","64902"
"GO:0170040","proteinogenic amino acid catabolic process","23576"
"GO:0170040","proteinogenic amino acid catabolic process","501"
"GO:0170040","proteinogenic amino acid catabolic process","2875"
"GO:0170040","proteinogenic amino acid catabolic process","144193"
"GO:0170040","proteinogenic amino acid catabolic process","125061"
"GO:0170040","proteinogenic amino acid catabolic process","2731"
"GO:0170040","proteinogenic amino acid catabolic process","10247"
"GO:0170040","proteinogenic amino acid catabolic process","58510"
"GO:0170040","proteinogenic amino acid catabolic process","26275"
"GO:0170040","proteinogenic amino acid catabolic process","8659"
"GO:0170040","proteinogenic amino acid catabolic process","1892"
"GO:0170040","proteinogenic amino acid catabolic process","445"
"GO:0170040","proteinogenic amino acid catabolic process","1610"
"GO:0170040","proteinogenic amino acid catabolic process","189"
"GO:0170040","proteinogenic amino acid catabolic process","3242"
"GO:0071706","tumor necrosis factor superfamily cytokine production","2214"
"GO:0071706","tumor necrosis factor superfamily cytokine production","140885"
"GO:0071706","tumor necrosis factor superfamily cytokine production","10457"
"GO:0071706","tumor necrosis factor superfamily cytokine production","5699"
"GO:0071706","tumor necrosis factor superfamily cytokine production","3133"
"GO:0071706","tumor necrosis factor superfamily cytokine production","5696"
"GO:0071706","tumor necrosis factor superfamily cytokine production","7098"
"GO:0071706","tumor necrosis factor superfamily cytokine production","4938"
