"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0016054","organic acid catabolic process",202,-0.737969948022191,-2.23359765790164,1e-10,2.939e-07,1.97359593550605e-07,1356,"tags=43%, list=10%, signal=39%","54677/9673/254013/10840/122970/91452/51540/23659/27349/5264/8529/549/9942/23464/1384/1738/2110/152926/2108/5095/84693/56922/113675/84830/6652/10327/10994/8309/6342/1743/64087/1579/5053/26061/38/36/4942/11112/51084/84706/130013/55862/2639/440503/66002/27034/1800/6470/4329/5446/10841/5465/3081/64902/56603/11001/51/5825/1962/23576/501/5096/10455/7263/2326/2875/7915/3945/594/144193/112817/18/125061/2731/10247/1757/58510/26275/8659/1892/51181/445/4051/1610/189/3242",NA
"GO:0046395","carboxylic acid catabolic process",202,-0.737969948022191,-2.23359765790164,1e-10,2.939e-07,1.97359593550605e-07,1356,"tags=43%, list=10%, signal=39%","54677/9673/254013/10840/122970/91452/51540/23659/27349/5264/8529/549/9942/23464/1384/1738/2110/152926/2108/5095/84693/56922/113675/84830/6652/10327/10994/8309/6342/1743/64087/1579/5053/26061/38/36/4942/11112/51084/84706/130013/55862/2639/440503/66002/27034/1800/6470/4329/5446/10841/5465/3081/64902/56603/11001/51/5825/1962/23576/501/5096/10455/7263/2326/2875/7915/3945/594/144193/112817/18/125061/2731/10247/1757/58510/26275/8659/1892/51181/445/4051/1610/189/3242",NA
"GO:1901606","alpha-amino acid catabolic process",80,-0.791239849924535,-2.17767185635184,5.93466673426347e-08,2.18024819150004e-05,1.46407926816566e-05,1100,"tags=48%, list=8%, signal=44%","549/23464/1738/56922/113675/1743/64087/5053/38/36/4942/11112/84706/130013/2639/27034/6470/4329/10841/3081/64902/23576/501/2875/144193/112817/125061/2731/10247/1757/58510/26275/8659/1892/445/1610/189/3242",0.719512826338911
"GO:0009063","amino acid catabolic process",90,-0.789724891133361,-2.16498037449372,1.97006009529362e-08,8.90770249241223e-06,5.98169630272945e-06,1100,"tags=48%, list=8%, signal=44%","549/23464/1738/152926/2108/56922/113675/1743/64087/5053/38/36/4942/11112/84706/130013/2639/27034/6470/4329/10841/3081/64902/23576/501/2875/7915/594/144193/112817/18/125061/2731/10247/1757/58510/26275/8659/1892/445/1610/189/3242",0.73376198835648
"GO:0170039","proteinogenic amino acid metabolic process",116,-0.762148751037768,-2.16464893573215,3.59717792863155e-09,3.02060169492804e-06,2.02839306835408e-06,884,"tags=38%, list=7%, signal=36%","56922/113675/29968/2678/1743/64087/5053/4953/38/36/4942/11112/435/84706/130013/2639/27034/6470/4329/10841/3081/64902/23576/501/635/2875/79814/144193/125061/26227/23743/2731/10247/10249/58510/26275/8659/1491/389434/1892/445/1610/189/3242",0.774939030136436
"GO:1901605","alpha-amino acid metabolic process",152,-0.733571541246846,-2.15110586359485,4.52282529777085e-10,6.64629177507426e-07,4.46311481234223e-07,1181,"tags=38%, list=9%, signal=35%","4522/4482/549/23464/1738/2271/56922/113675/29968/2678/1743/4594/64087/5053/4953/38/339983/36/4942/11112/435/84706/130013/2639/3172/670/27034/1800/6470/4329/10841/3081/64902/23576/501/635/2875/79814/7915/144193/112817/125061/26227/23743/2731/10247/1757/10249/58510/26275/8659/1491/389434/1892/445/1610/189/3242",0.814035837847908
"GO:0006520","amino acid metabolic process",225,-0.699669296736741,-2.15046501862054,1.58202560749778e-10,3.09971550695731e-07,2.08151953921607e-07,1234,"tags=33%, list=9%, signal=30%","51540/6567/4522/4482/549/23464/23395/1738/152926/2271/2108/5095/56922/113675/29968/2678/1743/4594/64087/5053/4953/38/339983/36/4942/11112/435/84706/130013/1497/148811/2639/3172/670/51733/27034/1733/1800/6470/4329/10841/3081/64902/23576/501/5096/635/2875/79814/7915/594/144193/1644/112817/18/125061/26227/23743/2731/10247/1757/10249/58510/5184/26275/8659/95/1491/389434/1892/445/1610/189/3242",0.826657301178302
"GO:0071706","tumor necrosis factor superfamily cytokine production",132,0.634257430216235,2.14672137099838,9.68455495054217e-09,5.69258139992869e-06,3.822679657515e-06,1902,"tags=34%, list=14%, signal=30%","2214/140885/10457/5699/3133/5696/7098/4938/64581/5788/50856/4939/54209/23208/7128/7099/7305/26191/4940/10392/914/409/7097/2212/5698/23643/942/5683/10865/29126/83786/102/2209/2213/64115/10270/8841/11006/2000/5682/1524/7040/6376/64135/9181",0.747739663149885
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",132,0.634257430216235,2.14672137099838,9.68455495054217e-09,5.69258139992869e-06,3.822679657515e-06,1902,"tags=34%, list=14%, signal=30%","2214/140885/10457/5699/3133/5696/7098/4938/64581/5788/50856/4939/54209/23208/7128/7099/7305/26191/4940/10392/914/409/7097/2212/5698/23643/942/5683/10865/29126/83786/102/2209/2213/64115/10270/8841/11006/2000/5682/1524/7040/6376/64135/9181",0.747739663149885
"GO:0032640","tumor necrosis factor production",128,0.631583936546894,2.13712310341377,1.90260893438115e-08,8.90770249241223e-06,5.98169630272945e-06,1902,"tags=34%, list=14%, signal=29%","2214/140885/10457/5699/3133/5696/7098/4938/64581/5788/50856/4939/54209/23208/7128/7099/7305/26191/4940/10392/914/409/7097/2212/5698/23643/5683/10865/83786/102/2209/2213/64115/10270/8841/11006/2000/5682/1524/7040/6376/64135/9181",0.73376198835648
