"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","Genes up-regulated during transplant rejection.",149,0.698439970795462,2.38862921064362,1e-10,2.5e-09,9.47368421052632e-10,2832,"tags=62%, list=21%, signal=50%","2634/1520/567/5699/3133/3059/3937/7098/6688/919/1956/925/6352/7903/355/4869/3689/5551/3603/4690/2533/4283/6890/5788/912/3561/1029/356/8560/3625/56253/6189/1445/3394/586/5917/914/7097/6351/3455/4067/2113/942/3566/3001/916/2589/7454/9450/3606/3683/2213/3702/114548/3460/4689/3665/2000/5552/958/7076/7321/7040/6892/7186/1615/3600/8477/6223/3976/1435/3459/894/4065/3574/7096/3824/917/4830/207/5777/3383/6203/8672/10261/7042/920/3932/822/972/729230/3624/23166",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Genes up-regulated in response to IFNG [GeneID=3458].",186,0.632600282108993,2.22261682747327,1e-10,2.5e-09,9.47368421052632e-10,2738,"tags=54%, list=20%, signal=44%","5214/10068/57674/567/5699/84166/3627/5696/3937/6352/7903/9246/355/1026/7378/834/80830/4283/10561/6890/9111/25939/4939/10437/10791/64108/3601/51735/7128/219285/3669/4940/9636/10135/3394/10392/6737/3455/5698/942/57823/3566/3001/5683/8082/5371/129607/29126/2209/7127/3431/7130/8869/115361/3437/54625/6773/10906/2357/10124/3429/3075/3665/10616/952/958/3659/6892/1439/3600/3587/836/4615/55016/64135/837/7412/4261/3660/10410/11054/684/4061/5142/4599/3574/81894/710/1240/5777/6398/9688/55601/3383/10964/5359/9830/5720/8202/10797/3959",NA
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Genes up-regulated in response to alpha interferon proteins.",93,0.642918759820656,2.08633860191927,6.42584581767434e-07,6.42584581767434e-06,2.43505736248712e-06,2738,"tags=58%, list=20%, signal=47%","2634/567/3627/5696/4938/9246/834/10561/6890/9111/9034/10437/64108/219285/3669/9636/83666/6737/55281/5698/54809/3566/27074/129607/3431/51667/115361/3437/54625/6773/10906/10161/3429/3665/3659/3600/64135/3660/10410/11054/684/4061/1435/4599/3574/81894/85363/6402/55601/10964/5359/9830/5720/3959",0.659444398037935
"HALLMARK_E2F_TARGETS","Genes encoding cell cycle related targets of E2F transcription factors.",176,0.570585720156704,1.99837440262903,2.00870553687848e-07,2.5108819210981e-06,9.51492096416121e-07,2708,"tags=44%, list=20%, signal=36%","6241/24137/4174/9833/10460/1026/1033/55723/4001/6790/5901/4175/675/10051/10733/29028/1029/1633/4171/9232/5982/203068/4176/10212/9319/6749/83463/79075/4673/10606/5036/57122/3014/4683/10111/10248/7083/2146/8914/5111/9125/55646/8726/4288/7037/7153/29089/10664/79077/7112/10549/3838/5983/994/6427/5902/6117/6119/6118/4609/29980/580/6628/3364/1031/1164/3015/54556/4830/5889/4361/3978/9918/9238/5425/1111/3148/10797",0.690132458796796
"HALLMARK_HYPOXIA","Genes up-regulated in response to low oxygen levels (hypoxia).",174,0.559325068827691,1.95698809560498,9.199806855439e-08,1.53330114257317e-06,5.81040432975095e-07,1087,"tags=29%, list=8%, signal=27%","5507/3099/6513/857/7422/133/7852/2026/123/8614/5230/8819/5214/226/1356/7167/5163/8497/1956/230/1026/7436/30001/302/26136/5066/3486/2023/7043/55818/3423/3939/7128/2821/51129/3669/112464/284119/3162/7511/6478/4015/2113/949/2597/56925/3098/3516/5033/57007/2908",0.704975715167238
"HALLMARK_KRAS_SIGNALING_DN","Genes down-regulated by KRAS activation.",94,-0.661905060908272,-1.85740769234626,0.000435675352609856,0.0013614854769058,0.000515931338616935,2247,"tags=38%, list=17%, signal=32%","6414/54901/1014/2813/4842/6927/727/5737/55610/29799/29903/22849/56997/9073/5324/658/51302/2649/55890/3485/9194/56848/5164/6712/29842/1950/525/7832/10686/5071/7068/2261/6559/80303/3291/7021",0.49849310876659
"HALLMARK_MTORC1_SIGNALING","Genes up-regulated through activation of mTORC1 complex.",197,0.519393122295154,1.85100269272021,9.46152690070487e-07,7.88460575058739e-06,2.98785060022259e-06,1630,"tags=25%, list=12%, signal=23%","3099/6513/6241/7852/5230/226/7167/5163/112399/47/6509/116496/1026/6319/7436/30001/3689/26136/6790/488/821/440/2023/54843/10437/3939/2821/6472/4171/10135/57761/2232/586/699/26471/2597/10212/8140/928/5033/4199/11151/134429/8553/7494/81873/54541/11333/6515/5352",0.659444398037935
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",68,0.594939938815766,1.82163661283762,0.000401866260463203,0.00133955420154401,0.000507620539532467,2517,"tags=51%, list=19%, signal=42%","3627/355/4283/3561/948/1441/3601/867/3162/23765/7097/9180/3566/928/3676/2/6773/3460/4055/952/3659/960/7040/1439/94/7132/4615/7133/1435/578/3459/3574/7297/51330/3597",0.49849310876659
"HALLMARK_G2M_CHECKPOINT","Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.",175,0.523657478673434,1.81498436421106,7.39288150409712e-06,5.28062964578366e-05,2.00108070787591e-05,2446,"tags=35%, list=18%, signal=29%","51203/81539/8819/24137/4174/10460/1033/4001/6541/6790/4175/675/10051/10733/595/4171/22974/9232/55872/699/890/10212/1756/8140/8317/5371/5001/2130/990/10036/3014/26271/11044/8454/2146/4288/7153/7040/10664/7112/9994/4082/3838/3151/51659/7371/994/6427/5933/9585/6118/51776/4928/4609/580/3364/1031/1063/1736/1164/3015",0.610526878385931
"HALLMARK_BILE_ACID_METABOLISM","Genes involve in metabolism of bile acids and salts.",89,-0.651523918383253,-1.80270483214746,0.00113258822597213,0.0029804953315056,0.00112945086246528,1657,"tags=37%, list=12%, signal=33%","10858/2180/4734/4306/51170/10350/51015/54677/5264/51302/3422/1582/3417/8424/27284/6342/654/847/23460/26061/1593/5827/223/29842/9963/1733/55825/11001/866/5825/10351/2053/189",0.45505986738723
