"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","small molecule catabolic process","122/1982","286/11930",0.426573426573427,2.56761906106003,11.9772857182842,5.86554919993929e-26,2.87118633337028e-22,2.87118633337028e-22,"PHYH/SORD/PPARA/DLD/ALDH2/SHMT1/ENO1/LDHB/DHDH/TKFC/ECHS1/AKR1A1/ALDOA/ADA2/GCAT/CYP26B1/AUH/ECHDC1/ACMSD/XYLB/HIBCH/HACL1/PRODH2/GLDC/DLST/GAPDH/BCAT1/ALDH4A1/MCCC1/ECI2/ALDH1B1/ACSS2/NQO2/ABCD3/SULT1C4/DPEP1/PON3/HAGH/HOGA1/SLC27A2/HK2/CYP4F3/CRYL1/DDAH1/FMO1/HGD/HPD/ALDOB/MCEE/MCCC2/LPIN3/PNKD/GK/HK1/PGK1/CYP24A1/DAO/EHHADH/GDA/ABAT/ASS1/PKM/ACAD8/PCCA/AGXT/AFMID/ALDH6A1/ETFDH/CYP4F2/TPI1/HACL2/CRAT/DPEP2/RIDA/CYP4F12/GALK1/SHMT2/GCDH/UPP1/ETFA/ALDH7A1/BCKDHB/PCCB/SDSL/UPB1/SCARF1/ALDH5A1/MIOX/OAT/ENO2/FUT6/SCP2/TST/SARDH/AMDHD1/GALM/SULT1B1/GPT/PNP/LDHA/SLC16A3/ACADSB/CYP27A1/FTCD/PFKP/ADTRP/PAH/DCXR/ACAT1/CYP27B1/AGXT2/PPM1K/ACOX1/ATP2B4/CYP4A11/GPT2/CYP39A1/HIBADH/GLYCTK/ACOX2/PLIN5/BCKDK",122
"GO:0016054","organic acid catabolic process","85/1982","202/11930",0.420792079207921,2.53282013367835,9.8071057516897,5.59373011514495e-18,9.00162509219165e-15,9.00162509219165e-15,"PHYH/SORD/PPARA/DLD/SHMT1/LDHB/ECHS1/AKR1A1/GCAT/CYP26B1/AUH/ECHDC1/ACMSD/XYLB/HIBCH/HACL1/PRODH2/GLDC/DLST/BCAT1/ALDH4A1/MCCC1/ECI2/ABCD3/DPEP1/PON3/HOGA1/SLC27A2/CYP4F3/CRYL1/DDAH1/FMO1/HGD/HPD/MCEE/MCCC2/LPIN3/DAO/EHHADH/ABAT/ASS1/ACAD8/PCCA/AGXT/AFMID/ALDH6A1/ETFDH/CYP4F2/HACL2/CRAT/DPEP2/RIDA/CYP4F12/SHMT2/GCDH/ETFA/ALDH7A1/BCKDHB/PCCB/SDSL/ALDH5A1/OAT/SCP2/TST/SARDH/AMDHD1/GPT/LDHA/SLC16A3/ACADSB/FTCD/ADTRP/PAH/DCXR/ACAT1/AGXT2/PPM1K/ACOX1/ATP2B4/CYP4A11/GPT2/HIBADH/ACOX2/PLIN5/BCKDK",85
"GO:0046395","carboxylic acid catabolic process","85/1982","202/11930",0.420792079207921,2.53282013367835,9.8071057516897,5.59373011514495e-18,9.00162509219165e-15,9.00162509219165e-15,"PHYH/SORD/PPARA/DLD/SHMT1/LDHB/ECHS1/AKR1A1/GCAT/CYP26B1/AUH/ECHDC1/ACMSD/XYLB/HIBCH/HACL1/PRODH2/GLDC/DLST/BCAT1/ALDH4A1/MCCC1/ECI2/ABCD3/DPEP1/PON3/HOGA1/SLC27A2/CYP4F3/CRYL1/DDAH1/FMO1/HGD/HPD/MCEE/MCCC2/LPIN3/DAO/EHHADH/ABAT/ASS1/ACAD8/PCCA/AGXT/AFMID/ALDH6A1/ETFDH/CYP4F2/HACL2/CRAT/DPEP2/RIDA/CYP4F12/SHMT2/GCDH/ETFA/ALDH7A1/BCKDHB/PCCB/SDSL/ALDH5A1/OAT/SCP2/TST/SARDH/AMDHD1/GPT/LDHA/SLC16A3/ACADSB/FTCD/ADTRP/PAH/DCXR/ACAT1/AGXT2/PPM1K/ACOX1/ATP2B4/CYP4A11/GPT2/HIBADH/ACOX2/PLIN5/BCKDK",85
"GO:0032787","monocarboxylic acid metabolic process","148/1982","452/11930",0.327433628318584,1.97087950849683,9.39263396837215,7.3557712704324e-18,9.00162509219165e-15,9.00162509219165e-15,"PHYH/SORD/PPARA/DLD/OGDHL/ENO1/PCK1/LDHB/GLYAT/CBR4/TBXAS1/ECHS1/PDHA1/ADH6/OGT/AKR1A1/ALDOA/HPGD/CYP4A22/CYP26B1/AUH/ECHDC1/SCD/ACMSD/XYLB/HACL1/PTGS2/RDH10/GAPDH/FADS3/ABHD10/TECR/MCCC1/LPGAT1/ECI2/ACSS2/ABCD3/ALOX5/TMEM135/THEM4/HOGA1/SLC27A2/HK2/C3/CYP4F3/HIF1A/PM20D1/CRYL1/PCK2/SCD5/NR1D1/CEACAM1/GPI/TIGAR/ALDOB/MCEE/PSEN1/LPIN3/MMUT/HK1/PGK1/CYP8B1/PECR/NUPR1/EHHADH/ACSM3/ABAT/ECHDC3/ACSM2B/PKM/ADPGK/HAO2/ALDOC/PCCA/ARL2/AGXT/ACAT2/ACSBG1/SLC4A4/PTGR1/ETFDH/ALDH1A2/CYP4F2/TPI1/VDAC1/HACL2/GGT1/CRAT/PTGDS/CYP4F12/SHMT2/GCDH/ADH1B/ETFA/PCCB/UGT1A9/TRIB3/NAMPT/FBP1/ALDH5A1/HACD3/CD36/ENO2/SCP2/SLC6A8/LPL/FABP5/PARP9/NR5A2/MTHFD1L/KIF12/SLC38A1/IDH1/CTHRC1/GATM/P2RX7/PDHB/PTGS1/CBR1/LDHA/PDK2/SLC16A3/SLC25A42/CAV1/ACADSB/ANGPTL4/CYP27A1/DEGS1/DGAT2/NNMT/PFKP/EPHX1/ADTRP/DCXR/ACAT1/AGXT2/ACOX1/ACLY/CYP4A11/GRHPR/PDK1/CYP39A1/ACOT1/MGAT4A/APOC1/ACOX2/PLIN5/BCKDK",148
"GO:0009063","amino acid catabolic process","47/1982","90/11930",0.522222222222222,3.14334566655455,9.1101090754841,7.90030308525453e-15,7.73439672046419e-12,7.73439672046419e-12,"DLD/SHMT1/ECHS1/GCAT/AUH/ACMSD/HIBCH/PRODH2/GLDC/DLST/BCAT1/ALDH4A1/MCCC1/HOGA1/DDAH1/HGD/HPD/MCCC2/DAO/ABAT/ASS1/ACAD8/AGXT/AFMID/ALDH6A1/RIDA/SHMT2/GCDH/ETFA/ALDH7A1/BCKDHB/SDSL/ALDH5A1/OAT/SARDH/AMDHD1/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/PPM1K/ATP2B4/GPT2/HIBADH/BCKDK",47
"GO:0170040","proteinogenic amino acid catabolic process","40/1982","72/11930",0.555555555555556,3.34398475165377,8.90433033964707,5.24248781846486e-14,4.27699631189758e-11,4.27699631189758e-11,"DLD/SHMT1/ECHS1/GCAT/AUH/ACMSD/HIBCH/PRODH2/GLDC/DLST/BCAT1/ALDH4A1/MCCC1/DDAH1/HGD/HPD/MCCC2/DAO/ASS1/ACAD8/AGXT/AFMID/ALDH6A1/RIDA/SHMT2/GCDH/ALDH7A1/SDSL/OAT/AMDHD1/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/ATP2B4/GPT2/HIBADH/BCKDK",40
"GO:1901605","alpha-amino acid metabolic process","64/1982","152/11930",0.421052631578947,2.53438844335865,8.49781542562003,7.0584800548759e-14,4.93589426694536e-11,4.93589426694536e-11,"IYD/DLD/PHGDH/NADSYN1/SHMT1/GLYAT/ECHS1/ASL/GCAT/AUH/ACMSD/HIBCH/PRODH2/GLDC/DLST/BCAT1/FH/ALDH4A1/MCCC1/DPEP1/HOGA1/P4HB/CTH/DDAH1/PSAT1/HGD/ODC1/HPD/MCCC2/ASNS/MMUT/DAO/ASS1/NAT8L/ACAD8/AGXT/AFMID/ALDH6A1/BHMT/GGT1/RIDA/SHMT2/GCDH/HNF4A/ALDH7A1/SDSL/AGMAT/RIMKLA/ALDH5A1/OAT/BPHL/SARDH/AMDHD1/BHMT2/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/ATP2B4/GPT2/HIBADH/BCKDK",64
"GO:1901606","alpha-amino acid catabolic process","42/1982","80/11930",0.525,3.16006559031282,8.65244232498792,1.68174494212267e-13,1.02901768646131e-10,1.02901768646131e-10,"DLD/SHMT1/ECHS1/GCAT/AUH/ACMSD/HIBCH/PRODH2/GLDC/DLST/BCAT1/ALDH4A1/MCCC1/HOGA1/DDAH1/HGD/HPD/MCCC2/DAO/ASS1/ACAD8/AGXT/AFMID/ALDH6A1/RIDA/SHMT2/GCDH/ALDH7A1/SDSL/OAT/SARDH/AMDHD1/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/ATP2B4/GPT2/HIBADH/BCKDK",42
"GO:0170039","proteinogenic amino acid metabolic process","53/1982","116/11930",0.456896551724138,2.75013918368767,8.45452194415793,1.90737451542087e-13,1.03739980588724e-10,1.03739980588724e-10,"IYD/DLD/PHGDH/NADSYN1/SHMT1/GLYAT/ECHS1/ASL/GCAT/AUH/ACMSD/HIBCH/PRODH2/GLDC/DLST/BCAT1/ALDH4A1/MCCC1/CTH/DDAH1/PSAT1/HGD/ODC1/HPD/MCCC2/ASNS/DAO/ASS1/ACAD8/AGXT/AFMID/ALDH6A1/BHMT/GGT1/RIDA/SHMT2/GCDH/ALDH7A1/SDSL/AGMAT/OAT/AMDHD1/BHMT2/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/ATP2B4/GPT2/HIBADH/BCKDK",53
"GO:0170033","L-amino acid metabolic process","55/1982","124/11930",0.443548387096774,2.66979427753003,8.34273363177903,3.07221103970121e-13,1.43122531310594e-10,1.43122531310594e-10,"IYD/DLD/PHGDH/NADSYN1/SHMT1/ECHS1/ASL/GCAT/AUH/ACMSD/HIBCH/PRODH2/DLST/BCAT1/ALDH4A1/MCCC1/HOGA1/P4HB/CTH/DDAH1/PSAT1/HGD/ODC1/HPD/MCCC2/ASNS/DAO/ASS1/NAT8L/ACAD8/AGXT/AFMID/ALDH6A1/BHMT/GGT1/RIDA/SHMT2/GCDH/ALDH7A1/SDSL/AGMAT/RIMKLA/OAT/AMDHD1/BHMT2/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/ATP2B4/GPT2/HIBADH/BCKDK",55
"GO:0170035","L-amino acid catabolic process","40/1982","75/11930",0.533333333333333,3.21022536158762,8.57042515481444,3.21623665866504e-13,1.43122531310594e-10,1.43122531310594e-10,"DLD/SHMT1/ECHS1/GCAT/AUH/ACMSD/HIBCH/PRODH2/DLST/BCAT1/ALDH4A1/MCCC1/HOGA1/DDAH1/HGD/HPD/MCCC2/DAO/ASS1/ACAD8/AGXT/AFMID/ALDH6A1/RIDA/SHMT2/GCDH/ALDH7A1/SDSL/OAT/AMDHD1/GPT/ACADSB/FTCD/PAH/ACAT1/AGXT2/ATP2B4/GPT2/HIBADH/BCKDK",40
"GO:0006520","amino acid metabolic process","80/1982","225/11930",0.355555555555556,2.14015024105841,7.70643623887365,3.03324466315657e-12,1.23731105217928e-09,1.23731105217928e-09,"IYD/DLD/PHGDH/NADSYN1/SHMT1/GLYAT/ECHS1/ASL/DIO1/GCAT/AUH/ACMSD/HIBCH/PRODH2/GLDC/DLST/BCAT1/FH/ALDH4A1/MCCC1/DPEP1/HOGA1/P4HB/PM20D1/CTH/DDAH1/PSAT1/HGD/ODC1/HPD/MCCC2/ASNS/MMUT/DAO/ABAT/ASS1/NAT8L/ACAD8/PCCA/AGXT/AFMID/ALDH6A1/BHMT/GGT1/RIDA/DDC/SHMT2/GCDH/ETFA/HNF4A/ALDH7A1/BCKDHB/PCCB/SDSL/CTNS/AGMAT/UPB1/RIMKLA/ALDH5A1/OAT/BPHL/SARDH/SLC38A1/AMDHD1/BHMT2/GPT/ACADSB/FTCD/ACY1/RARS1/PAH/PEPD/ACAT1/AGXT2/PPM1K/ATP2B4/GPT2/HIBADH/LARS2/BCKDK",80
