"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-71291","Metabolism of amino acids and derivatives","94/1429","301/8123",0.312292358803987,1.7751930234883,6.33197148596764,2.96036281670933e-09,3.48383293737483e-06,3.48383293737483e-06,"IYD/RPL39L/SERINC1/RPS3A/DLD/PHGDH/SHMT1/GLYAT/CRYM/ECHS1/ASL/DIO1/AOC1/RPLP0/AUH/ACMSD/AHCY/HIBCH/RPS3/PRODH2/GLDC/DLST/BCAT1/SQOR/ALDH4A1/MCCC1/SMOX/HOGA1/CTH/PSAT1/FMO1/HGD/ODC1/HPD/RPL27A/MCCC2/ASNS/RPL41/ALDH9A1/DAO/RPL8/ASS1/NAT8L/ACAD8/AGXT/AFMID/CHDH/ALDH6A1/BHMT/SLC7A5/SLC25A12/CRAT/RIDA/DDC/GCDH/PSMD7/PSMA2/ALDH7A1/BCKDHB/SDSL/HYKK/AGMAT/RPL19/RIMKLA/RPS26/OAT/SLC6A8/TST/SARDH/GATM/AMDHD1/BHMT2/GPT/SEM1/CAV1/ACADSB/PXMP2/RPL13/FTCD/NNMT/RARS1/PAH/RPS8/ACAT1/AGXT2/BBOX1/PPM1K/GPT2/GRHPR/PHYKPL/RPL17/SLC25A10/HIBADH/BCKDK",94
"R-HSA-70895","Branched-chain amino acid catabolism","17/1429","23/8123",0.739130434782609,4.20150911248365,7.10363934217589,4.7047034940916e-09,3.48383293737483e-06,3.48383293737483e-06,"DLD/GLYAT/ECHS1/AUH/HIBCH/BCAT1/MCCC1/MCCC2/ACAD8/ALDH6A1/CRAT/BCKDHB/ACADSB/ACAT1/PPM1K/HIBADH/BCKDK",17
"R-HSA-211859","Biological oxidations","51/1429","141/8123",0.361702127659574,2.05605765078987,5.84448266445779,8.55698925586911e-08,3.31327770242626e-05,3.31327770242626e-05,"ALDH2/GSTM3/GLYAT/TBXAS1/ADH6/AKR1A1/AOC1/MAOA/CYP4A22/CYP26B1/AHCY/FDX1/ABHD14B/GSTA2/ABHD10/ALDH1B1/ACY3/ACSS2/NQO2/SMOX/SULT1C4/DPEP1/CYP4F3/FMO1/CYP8B1/CYP24A1/FDXR/ACSM2B/CYP4F2/NAT1/TPMT/GGT1/DPEP2/CYP4F12/ADH1B/CYB5R3/UGT1A9/CYP51A1/BPHL/PTGS1/SULT1B1/CYP27A1/NNMT/EPHX1/ACY1/GLYATL1/CYP27B1/CYP4A11/CYP39A1/AKR7A3/ARNT2",51
"R-HSA-211945","Phase I - Functionalization of compounds","30/1429","65/8123",0.461538461538462,2.62356677612101,6.0718069551273,8.94875814294737e-08,3.31327770242626e-05,3.31327770242626e-05,"ALDH2/TBXAS1/ADH6/AOC1/MAOA/CYP4A22/CYP26B1/FDX1/ALDH1B1/ACSS2/NQO2/SMOX/CYP4F3/FMO1/CYP8B1/CYP24A1/FDXR/CYP4F2/CYP4F12/ADH1B/CYB5R3/CYP51A1/BPHL/PTGS1/CYP27A1/EPHX1/CYP27B1/CYP4A11/CYP39A1/ARNT2",30
"R-HSA-5668914","Diseases of metabolism","67/1429","207/8123",0.323671497584541,1.83987653945362,5.65525878504302,1.29938868114138e-07,3.74302002460848e-05,3.74302002460848e-05,"GYG1/DLD/PC/TBXAS1/ECHS1/ASL/LMBRD1/MAOA/CYP26B1/AUH/AHCY/HIBCH/MUC15/FDX1/ADAMTS4/MCCC1/ADAMTS16/SEMA5B/CUBN/HYAL1/EPM2A/ADAMTS15/ALDOB/MCCC2/PPP1R3C/ADAMTSL1/KHK/MMUT/CYP24A1/FDXR/NOTCH3/ASS1/PCCA/HEXB/SEMA5A/UBB/GALNT3/TPMT/ADAMTSL2/GGT1/GALK1/CSPG4/BCKDHB/PCCB/MUC13/UBC/CHSY1/IDS/IDH1/GALM/PNP/THSD1/SPON2/ALG13/CYP27A1/ACY1/HSPG2/PAH/DCXR/ACAT1/CYP27B1/PPM1K/THSD4/ABCA3/GPC3/AMN/BCKDK",67
"R-HSA-425407","SLC-mediated transmembrane transport","59/1429","175/8123",0.337142857142857,1.91645306408078,5.66245906804834,1.51641594514861e-07,3.74302002460848e-05,3.74302002460848e-05,"SLC22A12/SLC41A2/SLC43A2/SLC3A1/SLC22A8/SLC7A1/SLC34A1/PDZD11/SLC2A12/SLC29A4/SLC12A1/SLC4A9/SLC22A6/SLC2A8/SLC41A1/CP/SLC13A3/SLC39A4/SLC39A5/EMB/SLC29A2/ARL2/SLC4A4/SLC4A1/SLC43A1/SLC6A19/SLC25A29/SLC7A5/SLC2A1/SLC25A5/SLC22A2/SLC5A12/CTNS/SLC9A9/SLC13A1/SLC33A1/SLC5A3/SLC2A9/LCN12/SLC38A1/SLC22A11/SLC31A1/SLC13A2/SLC47A2/SLC16A7/SLC22A3/SLC16A3/SLC12A3/SLC15A4/SLC26A6/SLC26A7/SLC1A3/SLC1A4/SLC36A2/SLC2A2/SLC7A9/SLC25A10/SLC1A1/SLCO2B1",59
"R-HSA-8978868","Fatty acid metabolism","48/1429","142/8123",0.338028169014085,1.92148552617313,5.11810024479242,1.99816672929631e-06,0.00042275498944112,0.00042275498944112,"PHYH/EPHX2/CBR4/TBXAS1/ECHS1/HPGD/CYP4A22/SCD/HACL1/PTGS2/ACOT13/TECR/ECI2/ALOX5/THEM4/DPEP1/PON3/SLC27A2/CYP4F3/SCD5/MCEE/MMUT/CYP8B1/PECR/EHHADH/ACSM3/ALOX5AP/HAO2/PCTP/PCCA/ACSBG1/PTGR1/CYP4F2/SLC25A20/GGT1/CRAT/DPEP2/PTGDS/PCCB/HACD3/SCP2/PTGS1/CBR1/ACOX1/ACLY/CYP4A11/ACOT1/ACOX2",48
"R-HSA-416700","Other semaphorin interactions","11/1429","15/8123",0.733333333333333,4.16855609983672,5.67485688234625,3.28881676935431e-06,0.000548392545946599,0.000548392545946599,"PLXNA2/ITGA1/ITGB1/PLXNA4/SEMA6A/SEMA5A/TYROBP/PTPRC/PLXNC1/SEMA6D/TREM2",11
"R-HSA-70263","Gluconeogenesis","13/1429","20/8123",0.65,3.69485654303709,5.57484096180727,3.33256780116097e-06,0.000548392545946599,0.000548392545946599,"ENO1/PCK1/PC/ALDOA/GAPDH/PCK2/GPI/ALDOB/PGK1/ALDOC/TPI1/FBP1/ENO2",13
"R-HSA-9865118","Diseases of branched-chain amino acid catabolism","10/1429","13/8123",0.769230769230769,4.37261129353502,5.62253661040553,4.70944640303847e-06,0.000697469012289997,0.000697469012289997,"DLD/ECHS1/AUH/HIBCH/MCCC1/MCCC2/BCKDHB/ACAT1/PPM1K/BCKDK",10
