"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","58/1003","233/12493",0.248927038626609,3.1005438619763,9.56248836951107,2.70399325843862e-15,1.49530827191656e-12,1.49530827191656e-12,"P4HB/CD8A/IL4R/CD24/CD1D/CXCR4/ECE1/CD36/MASP1/BTN3A2/CDH13/TLR4/SLAMF7/PTPRC/ITGA1/B2M/CD274/IL2RG/CD2/ENOX2/ABCA1/FAS/CLEC4A/FCGR2A/CD34/CDH5/CD3E/MR1/TMEM123/CD200R1/CD84/BTN2A2/ITGAX/CD86/CSF3R/ITGB2/CLEC14A/CCRL2/CD276/MCAM/SLC7A5/CD27/CXCL9/P2RX7/ABCG1/BTN3A1/HLA-F/HLA-E/FCGR3A/OSMR/SLC38A1/BTN3A3/BTN2A1/ENTPD1/FCRL6/PECAM1/ITGB1/CXCL10",58
"GO:0045121","membrane raft","54/1003","234/12493",0.230769230769231,2.87437686939182,8.55152879377724,7.00706200701513e-13,1.85866178436945e-10,1.85866178436945e-10,"CBL/CD8A/CD24/SCARB1/CD36/CORO1C/CDH13/PTPRC/HPSE/LCP2/ANXA2/DMD/HCK/ABCA1/STOML1/FAS/INPP5D/S100A10/VDAC1/MALL/GJA1/MYOF/AHNAK/KCNMA1/PAG1/SLC2A1/CAV2/CAVIN3/ATP2B4/FASLG/GAB2/SPRED1/PLVAP/TLR2/ENO2/ITGB2/LAT2/SORBS1/TREM2/SELPLG/LYN/HK1/EGFR/RAP2B/CAVIN1/EFHD2/CAV1/PGK1/RFTN1/ENTPD1/PECAM1/TUBB/ITGB1/CTSD",54
"GO:0098857","membrane microdomain","54/1003","236/12493",0.228813559322034,2.85001774338003,8.47707922672993,1.0083156153903e-12,1.85866178436945e-10,1.85866178436945e-10,"CBL/CD8A/CD24/SCARB1/CD36/CORO1C/CDH13/PTPRC/HPSE/LCP2/ANXA2/DMD/HCK/ABCA1/STOML1/FAS/INPP5D/S100A10/VDAC1/MALL/GJA1/MYOF/AHNAK/KCNMA1/PAG1/SLC2A1/CAV2/CAVIN3/ATP2B4/FASLG/GAB2/SPRED1/PLVAP/TLR2/ENO2/ITGB2/LAT2/SORBS1/TREM2/SELPLG/LYN/HK1/EGFR/RAP2B/CAVIN1/EFHD2/CAV1/PGK1/RFTN1/ENTPD1/PECAM1/TUBB/ITGB1/CTSD",54
"GO:0098552","side of membrane","84/1003","484/12493",0.173553719008264,2.16172144722856,7.7015423083633,7.17522787402724e-12,9.91975253584265e-10,9.91975253584265e-10,"P4HB/CD8A/IL4R/CD24/CD1D/CXCR4/ECE1/CD36/MASP1/BLOC1S2/BTN3A2/CDH13/TLR4/SLAMF7/PTPRC/IQGAP1/ITGA1/ALG13/B2M/CANX/GM2A/CD274/ESYT2/GNB4/GNG11/IL2RG/CD2/ENOX2/HCK/ABCA1/FAS/RPS26/CLEC4A/FCGR2A/DPEP2/CD34/RGS1/CDH5/CD3E/MR1/TMEM123/CD200R1/CD84/BTN2A2/ITGAX/GNAI2/CD86/CSF3R/ITGB2/CLEC14A/GBP5/CCRL2/PPP1R9B/NCF1/CD276/MCAM/LYN/SLC7A5/PTPN22/CD27/CXCL9/DEGS1/P2RX7/ABCG1/BTN3A1/RASA3/HLA-F/HLA-E/FCGR3A/OSMR/SLC38A1/TRADD/BTN3A3/BTN2A1/ENTPD1/RGS5/ADCY3/TRAF5/FCRL6/FKBP1A/PECAM1/ITGB1/CXCL10/C3",84
"GO:0044853","plasma membrane raft","25/1003","90/12493",0.277777777777778,3.4598980835272,6.91960712133348,2.24417786188416e-08,2.48206071524388e-06,2.48206071524388e-06,"CBL/CD8A/SCARB1/CD36/CORO1C/CDH13/LCP2/HCK/MYOF/KCNMA1/SLC2A1/CAV2/CAVIN3/ATP2B4/FASLG/SPRED1/PLVAP/TLR2/ITGB2/SORBS1/TREM2/SELPLG/CAVIN1/CAV1/ENTPD1",25
"GO:0005901","caveola","19/1003","63/12493",0.301587301587302,3.75646077640096,6.48026800404089,2.65163151408252e-07,2.44392037881273e-05,2.44392037881273e-05,"CBL/SCARB1/CD36/CORO1C/CDH13/HCK/MYOF/KCNMA1/SLC2A1/CAV2/CAVIN3/ATP2B4/FASLG/SPRED1/PLVAP/SORBS1/CAVIN1/CAV1/ENTPD1",19
"GO:0031983","vesicle lumen","46/1003","263/12493",0.174904942965779,2.17855179708024,5.70715621462405,3.60919014325208e-07,2.85126021316914e-05,2.85126021316914e-05,"PYGL/ADA2/LYZ/TF/TGFB3/VEGFC/ARPC5/HPSE/DSN1/B2M/GM2A/CYB5R3/ANXA2/GPI/ALOX5/VEGFB/ALDOA/TXNDC5/CTSW/GYG1/HEXB/FABP5/PRF1/ALDOC/MNDA/ADM/DNASE1L1/PDGFA/PSMA2/DOCK2/CYRIB/TMSB4X/FASLG/RAB27A/PKM/VEGFA/VWF/SERPINB1/EGFR/PSMD7/ACLY/ACTN1/DBNL/TUBB/C3/CTSD",46
"GO:0060205","cytoplasmic vesicle lumen","45/1003","262/12493",0.17175572519084,2.1393262959214,5.50648199653182,8.17226043224096e-07,5.64907502378657e-05,5.64907502378657e-05,"PYGL/ADA2/LYZ/TF/TGFB3/VEGFC/ARPC5/HPSE/DSN1/B2M/GM2A/CYB5R3/ANXA2/GPI/ALOX5/VEGFB/ALDOA/TXNDC5/CTSW/GYG1/HEXB/FABP5/PRF1/ALDOC/MNDA/ADM/DNASE1L1/PDGFA/PSMA2/DOCK2/CYRIB/TMSB4X/FASLG/RAB27A/PKM/VEGFA/VWF/SERPINB1/PSMD7/ACLY/ACTN1/DBNL/TUBB/C3/CTSD",45
"GO:0030055","cell-substrate junction","59/1003","389/12493",0.151670951156812,1.88915771964313,5.26375402445523,1.31633269613954e-06,7.93518524588034e-05,7.93518524588034e-05,"PRAG1/RPS8/PTPN12/P4HB/CBL/ARHGAP26/PPP1CC/PPP1CB/SPRY4/LPXN/RPS3A/CORO1C/CDH13/ARPC5/PDLIM1/PTPRC/IQGAP1/RPS3/ITGA1/ARPC1B/B2M/ITGBL1/DMD/HCK/ANXA6/ACTB/CD151/GJA1/GIT2/RALA/AHNAK/RPL8/HSPG2/EFNB2/RPLP0/CAV2/PARVB/RPL19/RHOG/APBB1IP/FBLN7/NPM1/ITGB2/SORBS1/TES/ANXA1/MCAM/AFAP1/MPZL1/MAP4K4/THSD1/EGFR/MAPRE2/ARPC3/LCP1/CAV1/ACTN1/CSPG4/ITGB1",59
"GO:0005925","focal adhesion","58/1003","381/12493",0.152230971128609,1.89613312294089,5.24847976003617,1.43493404084635e-06,7.93518524588034e-05,7.93518524588034e-05,"PRAG1/RPS8/PTPN12/P4HB/CBL/ARHGAP26/PPP1CC/PPP1CB/SPRY4/LPXN/RPS3A/CORO1C/CDH13/ARPC5/PDLIM1/PTPRC/IQGAP1/RPS3/ITGA1/ARPC1B/B2M/ITGBL1/HCK/ANXA6/ACTB/CD151/GJA1/GIT2/RALA/AHNAK/RPL8/HSPG2/EFNB2/RPLP0/CAV2/PARVB/RPL19/RHOG/APBB1IP/FBLN7/NPM1/ITGB2/SORBS1/TES/ANXA1/MCAM/AFAP1/MPZL1/MAP4K4/THSD1/EGFR/MAPRE2/ARPC3/LCP1/CAV1/ACTN1/CSPG4/ITGB1",58
