"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","33/554","160/5969",0.20625,2.22221344765343,5.0121772396252,7.47075157973199e-06,0.00234581599603585,0.00234581599603585,"919/567/3455/51135/355/6890/7128/916/8819/890/1017/5601/9636/7097/1026/55080/4938/4067/3516/7979/595/5713/864/1643/3134/581/3133/4939/8717/4940/953/7188/3627",33
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","14/554","49/5969",0.285714285714286,3.07839092315627,4.67234047920282,9.4172470092874e-05,0.0100863255094421,0.0100863255094421,"7167/2597/2821/226/230/83440/2026/5214/5315/3939/3098/2023/5230/3099",14
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","34/554","188/5969",0.180851063829787,1.9485559566787,4.22678789216536,9.63661672876636e-05,0.0100863255094421,0.0100863255094421,"6202/116832/713/5648/6189/7099/6188/3455/51135/6231/2212/714/7098/6132/6157/6175/712/6143/5601/9636/7097/51187/4938/7450/1956/6139/51284/6171/834/4939/4940/6137/3627/718",34
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","35/554","199/5969",0.175879396984925,1.89498938737006,4.10701771669153,0.000136281223022321,0.0106980760072522,0.0106980760072522,"4069/1780/949/948/7099/84617/4688/821/6810/967/60/84329/6890/1520/2212/23480/4481/5873/7097/8411/3689/7846/338382/64581/653361/27072/3134/3133/2214/9140/10376/203068/3688/718/1509",35
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","60/554","416/5969",0.144230769230769,1.55399541793946,3.74678748053244,0.000275747615084181,0.0173169502272866,0.0173169502272866,"867/3566/26508/7852/7043/7424/2113/3714/330/3455/25780/59345/5371/27113/2791/1282/3561/6667/4854/7423/355/6688/57121/23462/1613/1029/5898/54567/675/4233/6513/5154/3915/890/1017/1050/3601/2771/23493/5601/11040/356/1441/182/1026/8312/7422/595/1956/3162/1643/581/11186/6932/1030/109/7188/7039/3688/112399",60
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","20/554","95/5969",0.210526315789474,2.26828804864146,3.98549979095142,0.000354709639927242,0.018563137822859,0.018563137822859,"7018/7099/2597/226/5163/230/6513/1978/2026/1026/5214/3939/7422/3098/1956/3162/2023/5230/3099/112399",20
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","36/554","221/5969",0.16289592760181,1.75510070731986,3.6585811572798,0.000519267075876205,0.0209725448364814,0.0209725448364814,"1780/7099/330/10092/5788/84617/5585/6188/10095/2597/51135/302/3071/6281/60/5898/79026/10392/9844/391/257364/5601/7097/7846/338382/23643/27072/10094/581/197259/834/6932/10376/8717/10552/203068",36
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","14/554","57/5969",0.245614035087719,2.64633605674837,3.99446632403371,0.000534332352521818,0.0209725448364814,0.0209725448364814,"713/7099/51135/714/10392/712/2771/5601/3689/23643/834/3394/3688/718",14
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","7/554","18/5969",0.388888888888889,4.19003208985158,4.33517255269818,0.000731052554400105,0.0255056113424036,0.0255056113424036,"355/5551/1363/356/942/3134/3133",7
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","6/554","14/5969",0.428571428571429,4.6175863847344,4.33423150381457,0.000975438807525696,0.0278443441420971,0.0278443441420971,"355/5551/356/942/3134/3133",6
