"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","21/685","61/8123",0.344262295081967,4.08239798970923,7.33298716208522,9.88111757401278e-09,1.32802220194732e-05,1.32802220194732e-05,"CD8A/CD200/CD247/CD1D/SLAMF7/B2M/CRTAM/CD300A/CD34/CD3E/CD200R1/LAIR1/CLEC2B/ITGB2/TREM2/TYROBP/HLA-F/HLA-E/FCGR3A/ITGB1/C3",21
"R-HSA-6798695","Neutrophil degranulation","61/685","388/8123",0.157216494845361,1.8643351644217,5.29439789557523,1.02571493175538e-06,0.000689280434139614,0.000689280434139614,"PYGL/ADA2/LYZ/CD36/ARPC5/PTPRC/IQGAP1/HPSE/PTAFR/DSN1/COMMD3/B2M/GM2A/CYB5R3/ANXA2/GPI/CD300A/ALOX5/CD63/ALDOA/NCKAP1L/TXNDC5/SIRPA/HVCN1/CTSS/FCGR2A/GYG1/HEXB/FABP5/SLC15A4/ALDOC/MNDA/DNASE1L1/LGALS3/PSMA2/LAIR1/RAB31/DOCK2/GLIPR1/ITGAX/RHOG/STK10/ATP8A1/RAB27A/TLR2/ITGB2/PKM/LPCAT1/DEGS1/PSMD7/RAP2B/TYROBP/PLEKHO2/ACLY/RAB24/PECAM1/DBNL/DOK3/TUBB/C3/CTSD",61
"R-HSA-416700","Other semaphorin interactions","8/685","15/8123",0.533333333333333,6.32447688564477,6.26346127795415,9.25663139098396e-06,0.00413132667546745,0.00413132667546745,"PLXNA2/PTPRC/ITGA1/SEMA6A/TREM2/PLXNC1/TYROBP/ITGB1",8
"R-HSA-109582","Hemostasis","67/685","473/8123",0.141649048625793,1.67973025107637,4.62258752075003,1.22956151055579e-05,0.00413132667546745,0.00413132667546745,"P2RY1/TF/KIF4A/CD36/TGFB3/VEGFC/MANF/ATP2A3/TUBB6/GUCY1A1/ITGA1/LCP2/GNB4/ANXA2/STX4/GNG11/CD2/CD63/VEGFB/ALDOA/INPP5D/S100A10/TAGLN2/CTSW/ACTB/SIRPA/KIF2A/KCNMA1/HSPG2/CALU/PDGFA/DOCK2/CD84/CAPZA1/ITGAX/RHOG/CYRIB/CDK2/DOCK10/TMSB4X/ATP2A2/APBB1IP/ATP2B4/GNAI2/GYPC/ITGB2/TUBA1A/SLC16A3/ARRB2/GUCY1B1/SERPINB8/SH2B3/SELPLG/LYN/PRKCH/SLC7A5/DOCK4/VEGFA/VWF/LHFPL2/P2RX7/CAV1/TUBA1B/ACTN1/CSK/PECAM1/ITGB1",67
"R-HSA-1236975","Antigen processing-Cross presentation","20/685","88/8123",0.227272727272727,2.6950895819509,4.85165311006111,3.17560970922299e-05,0.0085360388983914,0.0085360388983914,"CD36/PSMB10/TLR4/PSMB8/NCF2/B2M/STX4/TAP1/CTSS/PSMA2/SEC61G/UBC/TLR2/LY96/NCF1/PSMB9/SEM1/PSMD7/HLA-F/HLA-E",20
"R-HSA-449147","Signaling by Interleukins","51/685","352/8123",0.144886363636364,1.7181196084937,4.18001994494912,7.77225852625108e-05,0.0138181723826448,0.0138181723826448,"LMNB1/PTPN12/P4HB/CBL/IL4R/IL16/CD36/PTAFR/CANX/IRAK4/ANXA2/STX4/ALOX5/IL2RG/HCK/INPP5D/IL17RA/RALA/NOD1/ZEB1/RPLP0/PSMA2/CAPZA1/ITGAX/IL15RA/CCL5/IL18BP/MAPK9/FASLG/GAB2/UBC/CD86/CSF3R/ITGB2/CDKN1A/NLRC5/ANXA1/LYN/VEGFA/SEM1/CCND1/PSMD7/HMOX1/LCP1/MEF2C/CCL4/OSMR/IKBIP/CASP1/ITGB1/CXCL10",51
"R-HSA-9658195","Leishmania infection","26/685","139/8123",0.18705035971223,2.21811689334664,4.39576830732851,8.22510260871713e-05,0.0138181723826448,0.0138181723826448,"CD247/ARPC5/ARPC1B/RHBDF2/GNB4/GNG11/HCK/NCKAP1L/ACTB/FCGR2A/DPEP2/WASF2/ELMO1/NCK1/GNAI2/LYN/P2RX7/HMOX1/ARPC3/FCGR3A/CASP1/ENTPD1/ADCY3/ARPC1A/WIPF1/C3",26
"R-HSA-9824443","Parasitic Infection Pathways","26/685","139/8123",0.18705035971223,2.21811689334664,4.39576830732851,8.22510260871713e-05,0.0138181723826448,0.0138181723826448,"CD247/ARPC5/ARPC1B/RHBDF2/GNB4/GNG11/HCK/NCKAP1L/ACTB/FCGR2A/DPEP2/WASF2/ELMO1/NCK1/GNAI2/LYN/P2RX7/HMOX1/ARPC3/FCGR3A/CASP1/ENTPD1/ADCY3/ARPC1A/WIPF1/C3",26
"R-HSA-1236974","ER-Phagosome pathway","17/685","74/8123",0.22972972972973,2.72422568553955,4.52155375022912,0.000106694761208251,0.0159330843404322,0.0159330843404322,"CD36/PSMB10/TLR4/PSMB8/B2M/STX4/TAP1/PSMA2/SEC61G/UBC/TLR2/LY96/PSMB9/SEM1/PSMD7/HLA-F/HLA-E",17
"R-HSA-70263","Gluconeogenesis","8/685","20/8123",0.4,4.74335766423358,5.08630142774559,0.000123692385464385,0.0166242566064133,0.0166242566064133,"TPI1/GAPDH/GPI/ALDOA/ALDOC/ENO2/ENO1/PGK1",8
