"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
2,"A2M",0.626170197757508,0.298710947928865,0.0360607993182199,0.128933375021893,0.0407074980291132,1.2116328974859,0,0,0,1
9,"NAT1",-0.850367271810059,0.315683223039787,0.00706560985027999,0.0373005550553348,-1.46909501949157,-0.231639524128551,0,0,0,1
12,"SERPINA3",0.194372144261572,1.11118981421285,0.861140499295357,0.932849761774291,-1.98351987158337,2.37226416010651,0,0,0,1
14,"AAMP",-0.474506622195541,0.33385769940966,0.155234199334419,0.349011624083037,-1.12885568899987,0.179842444608792,0,0,0,1
16,"AARS1",0.144778559127423,0.288547469237692,0.615843714021496,0.790119508916619,-0.420764088408632,0.710321206663478,0,0,0,1
18,"ABAT",-3.27093780911653,0.381484216190642,9.97419146140599e-18,1.89411300667799e-15,-4.01863313352068,-2.52324248471238,0,0,0,1
19,"ABCA1",1.3255117028786,0.349821905650278,0.000151191402784086,0.00161147326777694,0.639873366800886,2.01115003895631,0,0,0,1
20,"ABCA2",-1.04300925460298,0.331325825114808,0.00164399234686611,0.0116295639101762,-1.69239593897602,-0.39362257022994,0,0,0,1
21,"ABCA3",0.732218290331346,0.31997023634245,0.0221145283193293,0.089433168965062,0.105088150975375,1.35934842968732,0,0,0,1
22,"ABCB7",0.237584218427696,0.246095686334792,0.334337497106192,0.558873354014727,-0.244754463539162,0.719922900394554,0,0,0,1
23,"ABCF1",-0.997902860760622,0.496125453939083,0.0442840481789837,0.147647940174033,-1.97029088229481,-0.0255148392264339,0,0,0,1
25,"ABL1",-0.253887256297929,0.337711476789501,0.452178879125589,0.665799697198899,-0.915789587971185,0.408015075375327,0,0,0,1
26,"AOC1",-1.55236781762419,0.580668603163406,0.00750834308340339,0.0391624718737052,-2.69045736677765,-0.414278268470733,0,0,0,1
27,"ABL2",-0.0205613870417006,0.249688392839668,0.934369834987224,0.969085268087134,-0.509941644365139,0.468818870281737,0,0,0,1
28,"ABO",-1.8956630921344,0.539103574597944,0.000437565878759052,0.0039276389180787,-2.95228668228317,-0.839039501985628,0,0,0,1
29,"ABR",-0.882012381611884,0.357590284812993,0.0136423742522961,0.0616214847717614,-1.58287646106677,-0.181148302156998,0,0,0,1
30,"ACAA1",-0.881682947155289,0.412616638875173,0.0326135298900479,0.120704974885401,-1.6903966987726,-0.0729691955379804,0,0,0,1
31,"ACACA",0.15676790577147,0.304052469171309,0.606137365390272,0.784077301097624,-0.439163983214771,0.752699794757711,0,0,0,1
32,"ACACB",-0.358250092903146,0.397371927661412,0.367296722085182,0.591385443500657,-1.13708475958677,0.420584573780477,0,0,0,1
33,"ACADL",0.349853692523361,0.313644439126816,0.264658995037078,0.48378740088452,-0.264878112116464,0.964585497163186,0,0,0,1
34,"ACADM",-1.34067759819749,0.241533766509883,2.8455413599936e-08,9.52020698679744e-07,-1.81407508160717,-0.867280114787813,0,0,0,1
35,"ACADS",-0.250085039881057,0.318982420430249,0.433034918738872,0.650434974829635,-0.875279095625758,0.375109015863644,0,0,0,1
36,"ACADSB",-2.19516254495522,0.324162580635997,1.27194280487939e-11,8.20555255415735e-10,-2.83050952813733,-1.5598155617731,0,0,0,1
37,"ACADVL",-0.291089746613177,0.256858206782234,0.257100809811068,0.475056902656247,-0.794522581039897,0.212343087813543,0,0,0,1
38,"ACAT1",-1.87668785172968,0.249390384325083,5.26795520030765e-14,5.34043909516902e-12,-2.36548402309745,-1.38789168036191,0,0,0,1
39,"ACAT2",-0.824342524074203,0.268900031370106,0.0021722672910255,0.0145281150222702,-1.3513769010013,-0.297308147147105,0,0,0,1
47,"ACLY",1.41042569139713,0.282184818506456,5.78578153328905e-07,1.35433493773153e-05,0.857353610140505,1.96349777265376,0,0,0,1
48,"ACO1",-1.64161641890525,0.414181585260655,7.38531050879938e-05,0.000890663162702522,-2.45339740907584,-0.829835428734661,0,0,0,1
50,"ACO2",-0.445947259682857,0.312449513245323,0.153504442431501,0.346509358329806,-1.05833705263076,0.166442533265047,0,0,0,1
51,"ACOX1",-0.889554831553992,0.201555902042229,1.01741037818201e-05,0.000163306477726524,-1.28459714042824,-0.49451252267974,0,0,0,1
52,"ACP1",0.365951390604781,0.196192020810522,0.0621433538188985,0.186485386053908,-0.0185779042379749,0.750480685447537,0,0,0,1
53,"ACP2",-0.649125266125824,0.415412295597055,0.118145567800358,0.292661526851411,-1.46331840423116,0.165067871979511,0,0,0,1
54,"ACP5",-1.07922284087556,0.58831266919744,0.0665890726361648,0.195816895605978,-2.23229448415117,0.0738488024000492,0,0,0,1
55,"ACP3",-2.34151834786823,0.350441558459031,2.36310449098606e-11,1.44170759511154e-09,-3.02837118113402,-1.65466551460244,0,0,0,1
59,"ACTA2",1.3375977723627,0.446819806913331,0.00275711189349489,0.0175826624495442,0.46184704323343,2.21334850149197,0,0,0,1
60,"ACTB",0.92929236458797,0.293150622102107,0.00152430182135993,0.0109378187639148,0.354727703222329,1.50385702595361,0,0,0,1
70,"ACTC1",1.22370932485547,0.415637809079705,0.00323819667173703,0.0199545730004709,0.409074188446113,2.03834446126483,0,0,0,1
71,"ACTG1",0.367475489965831,0.283448690355617,0.194822396175026,0.40360478826735,-0.188073734596224,0.923024714527886,0,0,0,1
72,"ACTG2",2.00164215691286,0.424219879477335,2.37698288459227e-06,4.67866572743906e-05,1.17018647161136,2.83309784221436,0,0,0,1
81,"ACTN4",-0.179578140348845,0.318211351865118,0.57252544528944,0.760902964892806,-0.803260929476279,0.444104648778589,0,0,0,1
86,"ACTL6A",0.0759615607305121,0.268117947687215,0.776936167750543,0.887660384296926,-0.449539960345223,0.601463081806248,0,0,0,1
87,"ACTN1",1.36289399902496,0.33945464332295,5.94579684446422e-05,0.000739549620423534,0.697575123727088,2.02821287432283,0,0,0,1
90,"ACVR1",-0.286497798702218,0.349836723071108,0.412816548726638,0.631997902405048,-0.972165176391102,0.399169578986666,0,0,0,1
91,"ACVR1B",-0.829608123662822,0.362460593586707,0.022089641690082,0.089386146130665,-1.54001783290778,-0.119198414417867,0,0,0,1
92,"ACVR2A",-0.423515273259059,0.280540394453247,0.131135061179191,0.312770923382105,-0.973364342596084,0.126333796077965,0,0,0,1
93,"ACVR2B",-1.27100746239292,0.317613114470945,6.28763986275176e-05,0.000776339269867051,-1.89351772777357,-0.64849719701227,0,0,0,1
94,"ACVRL1",0.757402612765221,0.280645562927181,0.00695926904528719,0.036825676820097,0.207347417006977,1.30745780852347,0,0,0,1
95,"ACY1",-3.33375697517573,0.457786163558708,3.28065737539503e-13,2.96866465721149e-11,-4.23100136837156,-2.4365125819799,0,0,0,1
97,"ACYP1",-0.443250920398564,0.395764052010304,0.262718949736113,0.481806256704571,-1.2189342087144,0.332432367917269,0,0,0,1
98,"ACYP2",0.556899148194452,0.216771335136827,0.0101974009599858,0.0495108236022644,0.132035138445609,0.981763157943295,0,0,0,1
101,"ADAM8",-0.116211017864863,0.440327601783872,0.79184198900102,0.895599749001804,-0.979237258760147,0.746815223030421,0,0,0,1
102,"ADAM10",0.653342980098911,0.234926614752853,0.00541831652659524,0.0302380636291737,0.192895276173403,1.11379068402442,0,0,0,1
103,"ADAR",0.00411236988226727,0.305242860397419,0.989250863473768,0.995898558367566,-0.594152643034661,0.602377382799196,0,0,0,1
104,"ADARB1",0.272227419934246,0.286536283961139,0.342080422317609,0.567195688283252,-0.289373376893528,0.83382821676202,0,0,0,1
107,"ADCY1",-0.583905497123444,0.349991337790129,0.0952477139267405,0.251414433608896,-1.26987591409309,0.102064919846201,0,0,0,1
108,"ADCY2",-0.202485140202991,0.405548438093491,0.617577077992702,0.791219283787115,-0.997345472852705,0.592375192446723,0,0,0,1
109,"ADCY3",1.21800201573151,0.377483780056086,0.00125255547312999,0.00933565806755755,0.478147402073542,1.95785662938948,0,0,0,1
111,"ADCY5",0.555316547431881,0.461174113974643,0.228536854578277,0.443361497881857,-0.348568106560589,1.45920120142435,0,0,0,1
