"Gene_Symbol","Gene_ID","log2FC","Regulation","Degree","Betweenness","Closeness","Eigenvector","PageRank"
"ALB","213",-7.16626456015287,"Downregulated",80,0.139140515225313,0.482076637824475,1,0.0178466032909718
"EGFR","1956",1.6994851062454,"Upregulated",72,0.110080081402569,0.46594982078853,0.831651179559737,0.017213905135558
"TPI1","7167",1.40677914253172,"Upregulated",46,0.0343169908558139,0.41890440386681,0.81871205597691,0.00898799380222847
"ERBB2","2064",-1.50549442898978,"Downregulated",44,0.0421633196327672,0.420258620689655,0.552885357244921,0.0108308107509111
"PKM","5315",1.42611553548164,"Upregulated",39,0.0323815678145962,0.420711974110032,0.736618844688039,0.00788712242942659
"B2M","567",1.34948291299554,"Upregulated",38,0.0256090722330836,0.408376963350785,0.492230053544377,0.00791890955066652
"CD8A","925",2.28004621970257,"Upregulated",38,0.0140119027484774,0.395136778115502,0.517716860851318,0.00785719800448907
"ACLY","47",1.35422478383417,"Upregulated",37,0.0110081977692482,0.382352941176471,0.682375919504335,0.00689411161287859
"CXCR4","7852",2.33968437454743,"Upregulated",35,0.0117867447171655,0.399181166837257,0.497779006089194,0.00751138881720798
"AGXT","189",-5.19198828574683,"Downregulated",34,0.018563089034702,0.391959798994975,0.513736505966516,0.0067303549642194
"PGK1","5230",1.4411394961477,"Upregulated",34,0.0141229368923846,0.39553752535497,0.656824872623118,0.00658753684091593
"GPT","2875",-2.53543109792098,"Downregulated",34,0.0266003645746102,0.408805031446541,0.640203683382745,0.00691253425152247
"SLC2A1","6513",2.63981207308841,"Upregulated",32,0.0289206631955402,0.410094637223975,0.59373718033973,0.00705256520777733
"PCK1","5105",-5.11708408544342,"Downregulated",32,0.0124405238576979,0.38160469667319,0.602213803089145,0.00640636039938467
"CAV1","857",2.58546833345491,"Upregulated",31,0.0343810915769428,0.396341463414634,0.308457173773427,0.00816446341283507
"FCGR3A","2214",3.67747180294929,"Upregulated",30,0.00955279745650228,0.384615384615385,0.429224372266284,0.00648053938673905
"ACOX1","51",-0.942585881864831,"Downregulated",30,0.00916731347226175,0.375,0.473157368057306,0.0057694260124717
"AGXT2","64902",-3.07587870577825,"Downregulated",30,0.00977859955416855,0.34452296819788,0.363288771969031,0.00631931916753499
"CCL5","6352",2.10236308971064,"Upregulated",29,0.00368314696089087,0.371428571428571,0.405490124016058,0.00598099728261943
"EPHX2","2053",-1.57906195170112,"Downregulated",28,0.0214156928094485,0.356489945155393,0.292338585709591,0.00668344682888863
"PHGDH","26227",-2.31290964210041,"Downregulated",28,0.0168470215943378,0.396744659206511,0.515625424168811,0.00576787100272633
"ALDOA","226",1.60632746085763,"Upregulated",28,0.00598247553648173,0.39039039039039,0.586653459847211,0.00533908634525738
"ALDOB","229",-7.05795377643419,"Downregulated",27,0.00369098875956583,0.38160469667319,0.589292549441629,0.00502629625490571
"KNG1","3827",-9.47486028945941,"Downregulated",26,0.0162497294528405,0.387673956262425,0.322845654499751,0.00603041909590432
"FBP1","2203",-4.92991761152472,"Downregulated",26,0.00182169624008283,0.372137404580153,0.586971854969199,0.00475320979147194
